,__v,_id,created_at,nd_key,rated_by,rating,rating_max,student_comment,updated_at,user_key
0,0,58b7033630db860004ded140,2017-03-01T17:21:57.959Z,nd008,{'name': 'Alejandro R.'},5,5,"Great program. During the course you?ll get in touch with several scenarios that can be very illustrative to prepare you for the real world, at every project submission you get a very good feedback.",2017-03-01T17:21:58.809Z,5475719110
1,0,58b218c303598f0004339d7e,2017-02-25T23:50:59.841Z,nd008,{'name': 'sanjay k.'},5,5,"Great. A different field for me with my many years of accounting, finance and governance background. I enjoyed the learning. Three months of hard work. I know this course is new and it is a work in progress. I admire the efforts taken by various people at Udacity in developing this program. Thanks, Sanjay.",2017-02-25T23:52:35.698Z,9852356514
2,0,58af035980e5530004124434,2017-02-23T15:44:27.146Z,nd008,{'name': 'Siraj S.'},5,5,To a large extent yes. ,2017-02-23T15:44:25.457Z,380488986
3,0,58ad4c9fb85bc5000425d491,2017-02-22T08:32:31.818Z,nd008,{'name': 'wafic f.'},5,5,"That was my first online course ever and both the material provided and the experience of studying at Udacity was amazing, I never expected to learn that much especially that this was a totally new field that I never knew existed. Udacity is a great choice for continuous learning in a fast moving world.",2017-02-22T08:32:31.534Z,8989028615
4,0,58a60f3f5964aa00040f451f,2017-02-16T20:44:47.008Z,nd008,{'name': 'Alejandro R.'},5,5,"Great program! First, it gives you the foundations to get it into practice and also shows you the path if you want to go deeper",2017-02-16T20:44:47.555Z,5475719110
5,0,58934834e9246a00044df35f,2017-02-02T14:54:43.594Z,nd008,,5,5,Excellent course. It provides you an insight on applied predictive analytics before going into the details of math and statistics.,2017-02-02T14:54:44.766Z,713398707
6,0,587742553c006e000407ad84,2017-01-12T08:46:13.162Z,nd008,{'name': 'Hernando R.'},5,5,Awesomee!!,2017-01-12T08:46:13.480Z,8347955140
7,0,587441565aecb000047ada64,2017-01-10T02:05:09.864Z,nd008,{'name': 'Hernando R.'},5,5,Awesomee,2017-01-10T02:05:10.841Z,8347955140
8,0,586e999cf2edb70004aef800,2017-01-05T19:08:12.255Z,nd008,{'name': 'Alexsandro B.'},5,5,A metodologia utilizada pelos instrutores ®¶ excelente. As explica??es s?o muito claras e muito bem conceituadas. Os projetos s?o desafiadores e de aplica??o pr®¢tica aos desafios reais de neg®Æcio.,2017-01-05T19:08:12.921Z,9646978965
9,0,586a0259d16bc40400ddcd04,2017-01-02T07:33:50.958Z,nd008,{'name': 'Mikhail N.'},5,5,"Great Nanodegree! 
Real-life examples and interesting projects.",2017-01-02T07:33:45.453Z,5442259852
10,0,5862fee778ad1f040018118a,2016-12-27T23:53:11.225Z,nd008,{'name': 'Corey M.'},5,5,"This program is going great. I just started, but I had already consumed the three intro courses as part of Udacity's free courseware. Both of the technologies featured are real tools I utilize in my work everyday, and the content has been a good refresher to concepts with some new information as well.",2016-12-27T23:53:11.960Z,606539176
11,0,5858637dcb980a04003e0717,2016-12-19T22:47:24.969Z,nd008,{'name': 'rakshit kumar s.'},5,5,"So far i am liking this program , a great insight into how a business analyst works day to day , we are getting a real world scenarios which helps in grasping the things faster",2016-12-19T22:47:25.816Z,8429576935
12,0,58407a100319b80400f52f2d,2016-12-01T19:29:27.284Z,nd008,{'name': 'Alexsandro B.'},5,5,Fundamentals concepts of analysis will be useful for all that need understand more data and how methods could be easy to use.,2016-12-01T19:29:20.583Z,9646978965
13,0,583cfc61ab31380400b55b15,2016-11-28T03:56:07.882Z,nd008,{'name': 'Shivanand T.'},5,5,Good design and good introduction to tools,2016-11-29T03:56:17.460Z,3359768579
14,0,58224ed65412d903004943d3,2016-11-08T22:16:54.801Z,nd008,{'name': 'Gnanasambantham S.'},5,5,Perfect start for a career in Predictive Analytics. Alteryx is an awesome tool.,2016-11-08T22:16:54.442Z,645218591
15,0,581c9acf21c4280300325320,2016-11-04T14:27:26.778Z,nd008,{'name': 'Andres I.'},5,5,"Interesting topics, very well explained, good projects",2016-11-04T14:27:27.074Z,5395649342
16,0,580fecfa8339980300017543,2016-10-25T23:38:22.373Z,nd008,{'name': 'Sam N.'},5,5,"This program really helped me connect the dots on how to go about executing these types of analyses/creating these models.  Plus, one thing I thought where it exceeded my expectations was knowing which model to select for the analysis - I thought I wouldn°Øt feel very confident picking a model, but it was the exact opposite.",2016-10-25T23:38:34.485Z,u500110
