album,singer,lyrics,title,sentiment,positive,negative
《爱程集》,王力宏,比你更好     如什么都可修补 孤单真可起诉 或者只得我欠回报 谁想将恋爱当回报 别的手 即使比你暖 没法再 掉转 若真心 都必须计算 OH 我会心酸 全世界 目标比天更高 失恋应 迅速过渡 我却继续去爱你 爱你有多古老 假使能找到比你更好 我亦拒绝更好 宁愿手牵手一起的退步 连内心都可修补 天生懂得拥抱 可否保证爱情美好 即使能找到比你更好 太习惯待你好 宁愿手牵手一起不进步 如什么都可修补 孤单真可起诉 或者只得我欠回报 谁想将恋爱当回报 旧的钟 即使可以转 我与你 别转 梦想可飞得比你远 爱 怎可再选 全世界 目标比天更高 失恋应 迅速过渡 我却继续去爱你 爱你有多古老 假使能找到比你更好 我亦拒绝更好 宁愿手牵手一起的退步 连内心都可修补 天生懂得拥抱 可否保证爱情美好 即使能找到比你更好 太习惯待你好 宁愿手牵手一起不进步 如什么都可修补 孤单真可起诉 或者只得我欠回报 谁想将恋爱当回报 陪着你 YEAH 嗯  好不好 怀念你 YEAH 比不想你有多好 假使能找到比你更好 我亦拒绝更好 宁愿手牵手一起的退步 连内心都可修补 天生懂得拥抱 可否保证爱情美好 即使能找到比你更好 太习惯待你好 宁愿手牵手一起不进步 如甚么都可修补 孤单真可起诉 或者只得我欠回报 谁想将恋爱当回报 纵使世界每天进步 但可惜恋爱欠回报 WO,比你更好,"[[0.9793199864315814, 0.020680013568418653]]",0.9793199864315814,0.020680013568418653
《爱情攻略》,王力宏,想爱　 就是这一夜 凝结了空气和时间 强烈感到你就在身边 我已明白那就是爱 沉溺幸福的味道叫做依赖 看着你的眼 心痛的感觉太强烈 无法掩饰的我 如何去表现 我已明白那就是爱 眷恋和你的每一秒 Im close to you Im close to you 如白天黑夜叫作半融合 爱如意随心 合乎你的心 有种心疼的感受 就是这一夜 凝结了空气和时间 强烈感到你就在我的身边 我已明白那就是爱 想爱~想爱 Im close to you Im close to you 如白天黑夜叫作半融合 爱如意随心 合乎你的心 有种心疼的感受 命运交叉 牵起你的手 痛苦的时刻 我就会在背后跟你走 不分开 wo~ Im close to you Im close to you 每一夜 每一天每一夜 合乎你的心 有种心疼的感受 有种心疼的感受,想爱,"[[0.5176620822106553, 0.48233791778934465]]",0.5176620822106553,0.48233791778934465
《公转自转》,王力宏,One of these days     我的脚很轻 走在台北 一个人 半夜的自己 空荡的街头 一个人 这一个我 面对不同游戏 另一个我 你对他不熟悉 One of these days One of these days 另一个我你能看见 One of these days One of these days 世界的一切会改变 One of these days One of these days 另一个我你能看见 One of these days One of these days 世界的一切会改变 我的脚很轻 走在台北 一个人 半夜的自己 空荡的街头 一个人 这一个我 理念感情之间 另一个我 没有选择空间 One of these days One of these days 另一个我你能看见 One of these days One of these days 世界的一切会改变 One of these days One of these days 另一个我你能看见 One of these days One of these days 世界的一切会改变 也许明天 也许明天 也许明天 另一个我你能看见 也许明天 也许明天 也许明天 另一个我你能看见 也许明天 也许明天 也许明天 另一个我你能看见 也许明天 也许明天 也许明天 另一个我你能看见,ONE,"[[0.4888568204534076, 0.5111431795465924]]",0.4888568204534076,0.5111431795465924
《公转自转》,王力宏,Please come back to me    邬裕康   盏盏街灯後退 车里播放思念 我难忘你的美 轻轻的笑 静静的哭 谁能帮我找到你 谁能替我说爱你 让我~的心 不轻易放弃 不轻易放弃 Please come back to me Please come back to me 雨中 淋湿的玫瑰 亲手 交给谁 快回到我的身边 听我说抱歉 为你擦乾泪 谁能帮我找到你 谁能替我说爱你 让我~的心 不轻易放弃 不轻易放弃 谁能帮我找到你 谁能替我说爱你 Baby 请相信这一切 Please come back to me Please come back to me 不要再离去 不要再伤心 Please come back to me Please come back to me 谁比我爱你 爱你 谁比我爱你,Please,"[[0.6983708972787412, 0.30162910272125876]]",0.6983708972787412,0.30162910272125876
《盖世英雄演唱会》,王力宏,Follow Me Live 词曲  你我之间距离不是 唯一的联系 你我之间还有一种 跳动的空气 其实快乐很容易 什么都可以音乐就是你我交集 其实浪漫很容易 什么都可以小事情就 不必在意 我对寂寞不客气 不会放弃守护着你 如果有伤心堆积 我为你清理 FOLLOW ME 我的天地一直一直等着你 FOLLOW ME 再也别回头 FOLLOW ME 我的音符一直一直敲着你 FOLLOW ME 烦恼都赶走 la .......FOLLW ME 若有问题我会处理 你不用着急 若是心情跌到谷底 我会来救你 其实快乐很容易 什么都可以音乐就是你我交集 其实浪漫很容易 什么都可以小事情就 不必在意 我对寂寞不客气 不会放弃守护着你 如果有伤心堆积 我为你清理 FOLLOW ME 我的天地一直一直等着你 FOLLOW ME 再也别回头 FOLLOW ME 我的音符一直一直敲着你 FOLLOW ME 烦恼都赶走 la .......FOLLW ME rap把我的新歌 已经装进你的IPOD里 我好想把你装进我的行李箱里 当我在唱歌的时候 心里在想你 但如果要人帮你就赶快 CALL ME 我马上过来给你 最舒服的节奏 没什么秘密泄漏 也不必要感谢罗 有这么浪漫的音乐逃犯 文字是子弹 就让我征服你的耳朵 来FOLLOW ME COME ON BOO I KNOW YOU DO LIKE THIS GROOVE 很舒服 IT MAKES YOU MOVE 摇屁股 但你不要怀疑我的基础 终点不在我衣服 我一副要让大家都领悟 OOOH CAUSE I`M A  LEADER FOR 十几亿个爱听歌 的人已腻了 你逼了我让自己的 耳朵变细致 押韵更密实 尤其是十年的历史 但我越来越有气势 FOLLOW ME 我的天地一直一直等着你 FOLLOW ME 再也别回头 FOLLOW ME 我的音符一直一直敲着你 FOLLOW ME 烦恼都赶走 la .......FOLLW ME,Follow,"[[0.9940741885287397, 0.005925811471260264]]",0.9940741885287397,0.005925811471260264
《改变自己》,王力宏,Intro  很久没 很久没 不如用 唱歌好吗 wo 很久没 wo 听见那 wo 又新鲜 wo 又熟悉 wo 的声音 wo 请准备 改变自己,Intro,"[[0.1972324914821748, 0.8027675085178252]]",0.1972324914821748,0.8027675085178252
《盖世英雄演唱会》,王力宏,此歌曲为纯音乐请您欣赏,Solo,"[[0.9754749054218115, 0.02452509457818854]]",0.9754749054218115,0.02452509457818854
《永远的第一天》,王力宏,各位亲爱的观众朋友大家晚安! 在下面的节目进行之前 请将您的摄像机关掉停止摄像 谢谢您的合作! 他应该是一匹生长在北国的狼 但是他却来自遥远的南方,Introduction,"[[0.8893726478702068, 0.11062735212979329]]",0.8893726478702068,0.11062735212979329
《如果你听见我的歌》,王力宏,去爱  许常德  吴旭文 眼睁开 梦也醒来 眼睁开 梦也醒来 时间从来不为谁停下来 时间从来不为谁停下来 我想给的承诺 我想给的承诺 不该还深埋在我心海 不该还深埋在我心海 是决定 不是选择 是决定 不是选择 爱情没有第二条路可走 爱情没有第二条路可走 人害怕 心太傻 人害怕 心太傻 拥有就是唯一的牵挂 拥有就是唯一的牵挂 去爱她为你 她给你的爱 去爱她为你 她给你的爱 去爱她为你 她给你的爱 去爱她怨你 她伤你的爱 去爱她怨你 她伤你的爱 去爱她怨你 她伤你的爱 去等待 去依赖 去等待 去依赖 去等待 去依赖 谁不是重来又重来 谁不是重来又重来 谁不是重来又重来 爱是游戏谜猜 爱是游戏谜猜 爱是游戏谜猜 风雨成灾 不能去怪 风雨成灾 不能去怪 风雨成灾 不能去怪 去爱她说的 她要的将来 去爱她说的 她要的将来 去爱她说的 她要的将来 去爱她留的 她闯的祸害 去爱她留的 她闯的祸害 去爱她留的 她闯的祸害 决定了 你是我爱 决定了 你是我爱 决定了 你是我爱 我会从此定下心来 不离开 我会从此定下心来 不离开 我会从此定下心来 不离开 不离开,去爱,"[[0.5863249644160184, 0.41367503558398155]]",0.5863249644160184,0.41367503558398155
《不可能错过你》,王力宏,钓灵感   多喝水 多喝水 风扇吹 风扇吹 眼睛垂 眼睛垂 我假装小睡 我假装小睡 灵感游去又游回 灵感游去又游回 鬼鬼祟祟 鬼鬼祟祟 泼清凉泉水 泼清凉泉水 眼见它在我四周围 眼见它在我四周围 我把琴弦一拉 我把琴弦一拉 钓起灵感一尾 钓起灵感一尾 你是我的音乐 你是我的音乐 你是我的音乐 好多感觉在飞 好多感觉在飞 好多感觉在飞 仿佛我在水底世界 仿佛我在水底世界 仿佛我在水底世界 爱是我的音乐 爱是我的音乐 爱是我的音乐 呼吸都会陶醉 呼吸都会陶醉 呼吸都会陶醉 付出它就会回馈 付出它就会回馈 付出它就会回馈 我是我的音乐 我是我的音乐 我是我的音乐 试着自我了解 试着自我了解 试着自我了解 我勇敢打开我心扉 我勇敢打开我心扉 我勇敢打开我心扉 别忽略自己的感觉 别忽略自己的感觉 别忽略自己的感觉 钓起你的灵感 钓起你的灵感 钓起你的灵感 世界你指挥 世界你指挥 世界你指挥 在垂钓的时候 在垂钓的时候 在垂钓的时候 很孤独 很自由 很孤独 很自由 很孤独 很自由 我陪着我 我陪着我 我陪着我 探心灵水流 探心灵水流 探心灵水流 难说追寻可能一无所有 难说追寻可能一无所有 难说追寻可能一无所有 我还是执着追求 我还是执着追求 我还是执着追求,钓灵感,"[[0.9481093358177115, 0.051890664182288535]]",0.9481093358177115,0.051890664182288535
《不可能错过你》,王力宏,不降落的滑翔翼  飞离地面一分零九秒 空气很少 刺骨的风割着我的脸 我想念她 现在我要飞去的地方 我不知道 我把从前留在天上吧 我只管飞翔 寂寞的滑翔翼 别降落吧 甩开地心引力 让风吹吧 飘在地球上空 多自由 飞得越远 我越想念她 勇敢的滑翔翼 带我飞吧 飞过爱的时差 忘掉她吧 半空中的世界 想起她 说过的话 永远是个问号 飞在天空三千三百尺 天气很好 波浪之上海豚在赛跑 我想念她 终于知道要去的地方 叫什么名字 那地方叫做思念岛 我不停飞翔 寂寞的滑翔翼 别降落吧 甩开地心引力 让风吹吧 飘在地球上空 多自由 飞得越远 我越想念她 勇敢的滑翔翼 带我飞吧 飞过爱的时差 忘掉她吧 半空中的世界 想起她 说过的话 永远是个问号 寂寞的滑翔翼 别降落吧 甩开地心引力 让风吹吧 飘在地球上空 多自由 飞得越远 我越想念她 五湖四海 飘洋过海 全世界只剩下了我在天上 不降落 寂寞的滑翔翼 别降落吧 甩开地心引力 让风吹吧 飘在地球上空 多自由 飞得越远 我越想念她 勇敢的滑翔翼 带我飞吧 飞过爱的时差 忘掉她吧 半空中的世界 想起她 说过的话 永远是个问号 LALALALALALA,不降落的滑翔翼,"[[0.6525138131074948, 0.34748618689250527]]",0.6525138131074948,0.34748618689250527
《Nature》,王力宏,该音频暂无歌词请您欣赏,一窝黑猩猩,"[[0.9754749054218115, 0.02452509457818854]]",0.9754749054218115,0.02452509457818854
