,用户姓名,评分情况,个人主页,已经看过的电影,想看的电影,注册日期
0,麻蛋吖蛋巨蛋,1.0,https://www.douban.com/people/yejiajunlove,['352部'],['1部'],2013-11-03
1,雪中笑,3.0,https://www.douban.com/people/155553736,['7部'],[],2016-12-26
2,贝克街的手心,5.0,https://www.douban.com/people/160036365,['1部'],[],2017-04-08
3,Leo,4.0,https://www.douban.com/people/132407945,['19部'],['14部'],2015-08-03
4,新月,5.0,https://www.douban.com/people/162605587,['1部'],[],2017-06-16
5,凌人,,https://www.douban.com/people/61621619,['29部'],['2部'],2012-05-23
6,坤少,,https://www.douban.com/people/139251537,['1部'],[],2015-12-20
7,電波玖爺,1.0,https://www.douban.com/people/kuso99tt99,['628部'],['83部'],2009-07-12
8,琉璃目月华人199,4.0,https://www.douban.com/people/146389417,['2部'],[],2016-05-28
9,在路上的他,3.0,https://www.douban.com/people/60592207,['732部'],['361部'],2012-04-20
10,是耶非耶,3.0,https://www.douban.com/people/155382204,['13部'],[],2016-12-22
11,Victor.L,4.0,https://www.douban.com/people/155724879,['51部'],['1部'],2016-12-30
12,富哥,1.0,https://www.douban.com/people/134013092,['4部'],['1部'],2015-09-02
13,♪Mrs.亚萌＆,3.0,https://www.douban.com/people/159568885,['2部'],['1部'],2017-03-26
14,鱼鱼菲菲,3.0,https://www.douban.com/people/153908341,['423部'],['4部'],2016-11-16
15,zouzirongrz,1.0,https://www.douban.com/people/162571509,['1部'],[],2017-06-15
16,喝一听,4.0,https://www.douban.com/people/138562041,['141部'],['21部'],2015-12-04
17,青梅子,1.0,https://www.douban.com/people/162565764,['1部'],[],2017-06-15
18,黄庆,1.0,https://www.douban.com/people/152551920,['5部'],['2部'],2016-10-16
19,小月,5.0,https://www.douban.com/people/162401102,['8部'],[],2017-06-11
20,DelMar,1.0,https://www.douban.com/people/131024844,['181部'],['30部'],2015-07-10
21,xuancen,3.0,https://www.douban.com/people/xuancen,['665部'],['108部'],2009-04-26
22,Knove,1.0,https://www.douban.com/people/Knove1,['15部'],[],2010-05-23
23,销魂,1.0,https://www.douban.com/people/32487448,['40部'],['14部'],2010-01-11
24,白泽,3.0,https://www.douban.com/people/84738527,['128部'],['1部'],2014-03-13
25,abigsmile365,1.0,https://www.douban.com/people/159518023,['300部'],['22部'],2017-03-25
26,胡方舟,1.0,https://www.douban.com/people/152604295,['28部'],['5部'],2016-10-17
27,日天,1.0,https://www.douban.com/people/141366972,['46部'],[],2016-01-31
28,看过,1.0,https://www.douban.com/people/162260961,['2部'],['4部'],2017-06-07
29,greenjoker,3.0,https://www.douban.com/people/149979557,['12部'],['9部'],2016-08-19
30,坤妖,1.0,https://www.douban.com/people/63561227,['100部'],['33部'],2012-08-02
31,长生,1.0,https://www.douban.com/people/4311656,['91部'],['7部'],2009-06-01
32,中泽正宇,4.0,https://www.douban.com/people/iBOY,['40部'],['1部'],2011-10-01
33,失心疯。,1.0,https://www.douban.com/people/103668786,['95部'],['2部'],2014-10-22
34,看过,3.0,https://www.douban.com/people/83318934,['712部'],[],2014-02-08
35,007,,https://www.douban.com/people/51973563,['142部'],['4部'],2011-05-30
36,wwwlz,3.0,https://www.douban.com/people/159229329,['1208部'],['12部'],2017-03-18
37,keker_C,3.0,https://www.douban.com/people/154865222,['14部'],[],2016-12-10
38,F班的袁湘琴,3.0,https://www.douban.com/people/161206792,['503部'],['3部'],2017-05-09
39,ISPN国际护士,3.0,https://www.douban.com/people/93439466,['1部'],[],2014-07-21
40,南有喬木,3.0,https://www.douban.com/people/106253413,['56部'],['4部'],2014-11-08
41,一桶,3.0,https://www.douban.com/people/50719255,['335部'],['28部'],2011-04-08
42,萱,3.0,https://www.douban.com/people/130053491,['894部'],['27部'],2015-06-20
43,晚秋,1.0,https://www.douban.com/people/152594598,['1部'],['6部'],2016-10-16
44,daylily,3.0,https://www.douban.com/people/154105819,['238部'],['4部'],2016-11-21
45,古雨雨,3.0,https://www.douban.com/people/99096321,['2部'],[],2014-08-28
46,realsppc,1.0,https://www.douban.com/people/162635599,['12部'],[],2017-06-17
