,用户姓名,评分情况,个人主页,已经看过的电影,想看的电影,注册日期
0,麻蛋吖蛋巨蛋,1.0,https://www.douban.com/people/yejiajunlove,['353'],['56'],2013-11-03
1,雪中笑,3.0,https://www.douban.com/people/155553736,['7'],[],2016-12-26
2,贝克街的手心,5.0,https://www.douban.com/people/160036365,['1'],[],2017-04-08
3,Leo,4.0,https://www.douban.com/people/132407945,['19'],['14'],2015-08-03
4,新月,5.0,https://www.douban.com/people/162605587,['1'],[],2017-06-16
5,凌人,,https://www.douban.com/people/61621619,['29'],['2'],2012-05-23
6,坤少,,https://www.douban.com/people/139251537,['1'],[],2015-12-20
7,電波玖爺,1.0,https://www.douban.com/people/kuso99tt99,['628'],['83'],2009-07-12
8,琉璃目月华人199,4.0,https://www.douban.com/people/146389417,['2'],[],2016-05-28
9,在路上的他,3.0,https://www.douban.com/people/60592207,['732'],['361'],2012-04-20
10,是耶非耶,3.0,https://www.douban.com/people/155382204,['13'],[],2016-12-22
11,Victor.L,4.0,https://www.douban.com/people/155724879,['51'],['1'],2016-12-30
12,富哥,1.0,https://www.douban.com/people/134013092,['4'],['1'],2015-09-02
13,♪Mrs.亚萌＆,3.0,https://www.douban.com/people/159568885,['2'],['1'],2017-03-26
14,鱼鱼菲菲,3.0,https://www.douban.com/people/153908341,['423'],['4'],2016-11-16
15,zouzirongrz,1.0,https://www.douban.com/people/162571509,['1'],[],2017-06-15
16,喝一听,4.0,https://www.douban.com/people/138562041,['141'],['21'],2015-12-04
17,青梅子,1.0,https://www.douban.com/people/162565764,['1'],[],2017-06-15
18,黄庆,1.0,https://www.douban.com/people/152551920,['5'],['2'],2016-10-16
19,小月,5.0,https://www.douban.com/people/162401102,['8'],[],2017-06-11
20,DelMar,1.0,https://www.douban.com/people/131024844,['181'],['30'],2015-07-10
21,xuancen,3.0,https://www.douban.com/people/xuancen,['665'],['108'],2009-04-26
22,Knove,1.0,https://www.douban.com/people/Knove1,['15'],[],2010-05-23
23,销魂,1.0,https://www.douban.com/people/32487448,['40'],['14'],2010-01-11
24,白泽,3.0,https://www.douban.com/people/84738527,['128'],['1'],2014-03-13
25,abigsmile365,1.0,https://www.douban.com/people/159518023,['300'],['22'],2017-03-25
26,胡方舟,1.0,https://www.douban.com/people/152604295,['28'],['5'],2016-10-17
27,日天,1.0,https://www.douban.com/people/141366972,['46'],[],2016-01-31
28,看过,1.0,https://www.douban.com/people/162260961,['2'],['4'],2017-06-07
29,greenjoker,3.0,https://www.douban.com/people/149979557,['12'],['9'],2016-08-19
30,坤妖,1.0,https://www.douban.com/people/63561227,['101'],['34'],2012-08-02
31,长生,1.0,https://www.douban.com/people/4311656,['91'],['7'],2009-06-01
32,中泽正宇,4.0,https://www.douban.com/people/iBOY,['40'],['1'],2011-10-01
33,失心疯。,1.0,https://www.douban.com/people/103668786,['95'],['2'],2014-10-22
34,看过,3.0,https://www.douban.com/people/83318934,['713'],[],2014-02-08
35,007,,https://www.douban.com/people/51973563,['142'],['5'],2011-05-30
36,wwwlz,3.0,https://www.douban.com/people/159229329,['1208'],['12'],2017-03-18
37,keker_C,3.0,https://www.douban.com/people/154865222,['14'],[],2016-12-10
38,F班的袁湘琴,3.0,https://www.douban.com/people/161206792,['537'],['3'],2017-05-09
39,ISPN国际护士,3.0,https://www.douban.com/people/93439466,['1'],[],2014-07-21
40,南有喬木,3.0,https://www.douban.com/people/106253413,['56'],['4'],2014-11-08
41,一桶,3.0,https://www.douban.com/people/50719255,['335'],['28'],2011-04-08
42,萱,3.0,https://www.douban.com/people/130053491,['894'],['27'],2015-06-20
43,晚秋,1.0,https://www.douban.com/people/152594598,['136'],['85'],2016-10-16
44,daylily,3.0,https://www.douban.com/people/154105819,['238'],['4'],2016-11-21
45,古雨雨,3.0,https://www.douban.com/people/99096321,['2'],[],2014-08-28
46,realsppc,1.0,https://www.douban.com/people/162635599,['12'],[],2017-06-17
47,Ira™,1.0,https://www.douban.com/people/canonflamenco,['392'],['6'],2010-10-10
48,Dagny,3.0,https://www.douban.com/people/chanel0214,['1824'],['366'],2006-03-13
49,拾荒快乐,3.0,https://www.douban.com/people/55480499,['131'],[],2011-10-23
50,、白尔,1.0,https://www.douban.com/people/wfdyj317,['170'],['2'],2009-05-22
51,香格里拉,1.0,https://www.douban.com/people/162553016,['1'],[],2017-06-15
52,你们没有幽默感,3.0,https://www.douban.com/people/ayumiya,['397'],['55'],2009-11-28
53,silk,1.0,https://www.douban.com/people/silk530,['236'],['52'],2009-03-24
54,温润歌,4.0,https://www.douban.com/people/154575060,['100'],['1'],2016-12-03
55,就是爱大幂,1.0,https://www.douban.com/people/43218675,['218'],['6'],2010-07-10
56,🍬你威。,3.0,https://www.douban.com/people/94881677,['289'],['3'],2014-08-01
57,看过,1.0,https://www.douban.com/people/52592910,['73'],['23'],2011-06-24
58,_江紊,3.0,https://www.douban.com/people/128194295,['2'],['1'],2015-05-24
59,晴天,1.0,https://www.douban.com/people/131112952,['95'],['1'],2015-07-11
60,94就是,3.0,https://www.douban.com/people/144335441,['43'],['94'],2016-04-08
61,简单丶,1.0,https://www.douban.com/people/154554849,['3'],[],2016-12-02
62,小手冰凉,,https://www.douban.com/people/1246008,['1676'],['538'],2006-08-29
63,喜剧病毒,1.0,https://www.douban.com/people/33722846,['780'],['25'],2010-01-24
64,柳絮飘飞遇见你,3.0,https://www.douban.com/people/123002309,['731'],['29'],2015-03-16
