,用户序号,评分,个人主页,看过,想看,注册日期
0,0,1.0,https://www.douban.com/people/yejiajunlove,352,1.0,2013-11-03
1,1,3.0,https://www.douban.com/people/155553736,7,,2016-12-26
2,2,5.0,https://www.douban.com/people/160036365,1,,2017-04-08
3,3,4.0,https://www.douban.com/people/132407945,19,14.0,2015-08-03
4,4,5.0,https://www.douban.com/people/162605587,1,,2017-06-16
5,5,,https://www.douban.com/people/61621619,29,2.0,2012-05-23
6,6,,https://www.douban.com/people/139251537,1,,2015-12-20
7,7,1.0,https://www.douban.com/people/kuso99tt99,628,83.0,2009-07-12
8,8,4.0,https://www.douban.com/people/146389417,2,,2016-05-28
9,9,3.0,https://www.douban.com/people/60592207,732,361.0,2012-04-20
10,10,3.0,https://www.douban.com/people/155382204,13,,2016-12-22
11,11,4.0,https://www.douban.com/people/155724879,51,1.0,2016-12-30
12,12,1.0,https://www.douban.com/people/134013092,4,1.0,2015-09-02
13,13,3.0,https://www.douban.com/people/159568885,2,1.0,2017-03-26
14,14,3.0,https://www.douban.com/people/153908341,423,4.0,2016-11-16
15,15,1.0,https://www.douban.com/people/162571509,1,,2017-06-15
16,16,4.0,https://www.douban.com/people/138562041,141,21.0,2015-12-04
17,17,1.0,https://www.douban.com/people/162565764,1,,2017-06-15
18,18,1.0,https://www.douban.com/people/152551920,5,2.0,2016-10-16
19,19,5.0,https://www.douban.com/people/162401102,8,,2017-06-11
20,20,1.0,https://www.douban.com/people/131024844,181,30.0,2015-07-10
21,21,3.0,https://www.douban.com/people/xuancen,665,108.0,2009-04-26
22,22,1.0,https://www.douban.com/people/Knove1,15,,2010-05-23
23,23,1.0,https://www.douban.com/people/32487448,40,14.0,2010-01-11
24,24,3.0,https://www.douban.com/people/84738527,128,1.0,2014-03-13
25,25,1.0,https://www.douban.com/people/159518023,300,22.0,2017-03-25
26,26,1.0,https://www.douban.com/people/152604295,28,5.0,2016-10-17
27,27,1.0,https://www.douban.com/people/141366972,46,,2016-01-31
28,28,1.0,https://www.douban.com/people/162260961,2,4.0,2017-06-07
29,29,3.0,https://www.douban.com/people/149979557,12,9.0,2016-08-19
30,30,1.0,https://www.douban.com/people/63561227,100,33.0,2012-08-02
31,31,1.0,https://www.douban.com/people/4311656,91,7.0,2009-06-01
32,32,4.0,https://www.douban.com/people/iBOY,40,1.0,2011-10-01
33,33,1.0,https://www.douban.com/people/103668786,95,2.0,2014-10-22
34,34,3.0,https://www.douban.com/people/83318934,712,,2014-02-08
35,35,,https://www.douban.com/people/51973563,142,4.0,2011-05-30
36,36,3.0,https://www.douban.com/people/159229329,1208,12.0,2017-03-18
37,37,3.0,https://www.douban.com/people/154865222,14,,2016-12-10
38,38,3.0,https://www.douban.com/people/161206792,503,3.0,2017-05-09
39,39,3.0,https://www.douban.com/people/93439466,1,,2014-07-21
40,40,3.0,https://www.douban.com/people/106253413,56,4.0,2014-11-08
41,41,3.0,https://www.douban.com/people/50719255,335,28.0,2011-04-08
42,42,3.0,https://www.douban.com/people/130053491,894,27.0,2015-06-20
43,43,1.0,https://www.douban.com/people/152594598,1,6.0,2016-10-16
44,44,3.0,https://www.douban.com/people/154105819,238,4.0,2016-11-21
45,45,3.0,https://www.douban.com/people/99096321,2,,2014-08-28
46,46,1.0,https://www.douban.com/people/162635599,12,,2017-06-17
47,47,1.0,https://www.douban.com/people/canonflamenco,1,6.0,2010-10-10
48,48,3.0,https://www.douban.com/people/chanel0214,11,366.0,2006-03-13
49,49,3.0,https://www.douban.com/people/55480499,131,,2011-10-23
50,50,1.0,https://www.douban.com/people/wfdyj317,170,2.0,2009-05-22
51,51,1.0,https://www.douban.com/people/162553016,1,,2017-06-15
52,52,3.0,https://www.douban.com/people/ayumiya,397,1.0,2009-11-28
53,53,1.0,https://www.douban.com/people/silk530,236,52.0,2009-03-24
54,54,4.0,https://www.douban.com/people/154575060,100,1.0,2016-12-03
55,55,1.0,https://www.douban.com/people/43218675,1,6.0,2010-07-10
56,56,3.0,https://www.douban.com/people/94881677,6,3.0,2014-08-01
57,57,1.0,https://www.douban.com/people/52592910,73,23.0,2011-06-24
58,58,3.0,https://www.douban.com/people/128194295,2,1.0,2015-05-24
59,59,1.0,https://www.douban.com/people/131112952,95,1.0,2015-07-11
60,60,3.0,https://www.douban.com/people/144335441,43,94.0,2016-04-08
61,61,1.0,https://www.douban.com/people/154554849,3,,2016-12-02
62,62,,https://www.douban.com/people/1246008,1676,536.0,2006-08-29
63,63,1.0,https://www.douban.com/people/33722846,780,25.0,2010-01-24
64,64,3.0,https://www.douban.com/people/123002309,731,29.0,2015-03-16
