,rating,time
155,4,2017/8/6 23:59
23250,3,2017/8/6 23:59
25079,4,2017/8/6 23:59
72742,4,2017/8/6 23:59
108400,2,2017/8/6 23:59
92050,1,2017/8/6 23:59
22735,4,2017/8/6 23:59
109456,4,2017/8/6 23:59
55541,5,2017/8/6 23:59
80275,5,2017/8/6 23:59
107307,3,2017/8/6 23:59
30544,4,2017/8/6 23:59
74115,,2017/8/6 23:59
19680,1,2017/8/6 23:59
96316,5,2017/8/6 23:59
96687,5,2017/8/6 23:59
97933,5,2017/8/6 23:59
56609,,2017/8/6 23:58
61601,5,2017/8/6 23:58
59094,4,2017/8/6 23:58
82174,4,2017/8/6 23:58
93123,4,2017/8/6 23:58
44480,4,2017/8/6 23:58
10013,5,2017/8/6 23:58
14999,4,2017/8/6 23:58
30893,3,2017/8/6 23:58
77396,5,2017/8/6 23:58
65300,4,2017/8/6 23:58
76580,5,2017/8/6 23:58
109861,5,2017/8/6 23:58
89191,,2017/8/6 23:58
63903,4,2017/8/6 23:58
26672,1,2017/8/6 23:58
62417,3,2017/8/6 23:58
84530,5,2017/8/6 23:58
111411,5,2017/8/6 23:58
39391,1,2017/8/6 23:58
99739,5,2017/8/6 23:58
76429,4,2017/8/6 23:58
14240,4,2017/8/6 23:58
72033,5,2017/8/6 23:58
46663,4,2017/8/6 23:58
108688,5,2017/8/6 23:58
33978,5,2017/8/6 23:58
65315,5,2017/8/6 23:58
59715,5,2017/8/6 23:57
76389,4,2017/8/6 23:57
57377,4,2017/8/6 23:57
83350,5,2017/8/6 23:57
78493,1,2017/8/6 23:57
60142,1,2017/8/6 23:57
64232,5,2017/8/6 23:57
68148,4,2017/8/6 23:57
49257,4,2017/8/6 23:57
31937,3,2017/8/6 23:57
55150,5,2017/8/6 23:57
69619,4,2017/8/6 23:57
51307,1,2017/8/6 23:56
80887,5,2017/8/6 23:56
20209,4,2017/8/6 23:56
37905,3,2017/8/6 23:56
105893,4,2017/8/6 23:56
107417,5,2017/8/6 23:56
26049,3,2017/8/6 23:56
97196,4,2017/8/6 23:56
5028,4,2017/8/6 23:56
57662,5,2017/8/6 23:56
3901,3,2017/8/6 23:56
87430,4,2017/8/6 23:56
11119,5,2017/8/6 23:56
6849,4,2017/8/6 23:56
55238,5,2017/8/6 23:56
69210,4,2017/8/6 23:56
102021,4,2017/8/6 23:56
93274,1,2017/8/6 23:56
77177,5,2017/8/6 23:56
95591,1,2017/8/6 23:56
28481,5,2017/8/6 23:56
4816,5,2017/8/6 23:56
110506,5,2017/8/6 23:56
48820,5,2017/8/6 23:56
92570,4,2017/8/6 23:55
11684,3,2017/8/6 23:55
40779,4,2017/8/6 23:55
22847,2,2017/8/6 23:55
105669,5,2017/8/6 23:55
106644,3,2017/8/6 23:55
17180,5,2017/8/6 23:55
55886,5,2017/8/6 23:55
100771,4,2017/8/6 23:55
56273,4,2017/8/6 23:55
104889,5,2017/8/6 23:55
27449,3,2017/8/6 23:55
60368,4,2017/8/6 23:55
95999,5,2017/8/6 23:55
75553,4,2017/8/6 23:55
111061,1,2017/8/6 23:55
111065,,2017/8/6 23:54
65327,5,2017/8/6 23:54
23453,5,2017/8/6 23:54
33291,2,2017/8/6 23:54
41106,4,2017/8/6 23:54
27566,5,2017/8/6 23:54
10169,3,2017/8/6 23:54
18954,3,2017/8/6 23:54
37000,1,2017/8/6 23:54
65423,5,2017/8/6 23:54
14958,4,2017/8/6 23:54
35044,5,2017/8/6 23:54
2624,1,2017/8/6 23:54
85071,3,2017/8/6 23:54
112444,4,2017/8/6 23:54
44640,,2017/8/6 23:54
86656,3,2017/8/6 23:54
103280,4,2017/8/6 23:54
8779,3,2017/8/6 23:54
35683,5,2017/8/6 23:53
6168,5,2017/8/6 23:53
24619,3,2017/8/6 23:53
41008,5,2017/8/6 23:53
7974,5,2017/8/6 23:53
76855,,2017/8/6 23:53
32846,5,2017/8/6 23:53
91963,5,2017/8/6 23:53
60743,5,2017/8/6 23:53
22481,5,2017/8/6 23:53
26798,5,2017/8/6 23:53
41741,4,2017/8/6 23:53
103762,3,2017/8/6 23:53
2331,3,2017/8/6 23:53
111253,3,2017/8/6 23:53
55297,3,2017/8/6 23:53
13231,1,2017/8/6 23:53
65546,5,2017/8/6 23:53
91085,4,2017/8/6 23:52
32807,5,2017/8/6 23:52
95304,3,2017/8/6 23:52
102946,4,2017/8/6 23:52
59700,3,2017/8/6 23:52
52824,3,2017/8/6 23:52
36537,4,2017/8/6 23:52
91596,2,2017/8/6 23:52
81376,5,2017/8/6 23:52
102919,3,2017/8/6 23:52
58833,1,2017/8/6 23:52
53735,5,2017/8/6 23:52
12469,5,2017/8/6 23:52
38851,3,2017/8/6 23:52
27208,5,2017/8/6 23:52
34945,3,2017/8/6 23:52
5859,2,2017/8/6 23:52
70460,4,2017/8/6 23:52
47607,4,2017/8/6 23:51
108548,5,2017/8/6 23:51
111799,5,2017/8/6 23:51
39336,4,2017/8/6 23:51
22801,5,2017/8/6 23:51
29809,3,2017/8/6 23:51
43029,5,2017/8/6 23:51
75391,4,2017/8/6 23:51
45928,3,2017/8/6 23:51
64466,3,2017/8/6 23:51
53088,3,2017/8/6 23:51
10035,4,2017/8/6 23:51
81306,5,2017/8/6 23:51
35193,5,2017/8/6 23:51
65646,1,2017/8/6 23:51
88898,5,2017/8/6 23:50
35287,1,2017/8/6 23:50
86724,4,2017/8/6 23:50
69695,4,2017/8/6 23:50
2615,5,2017/8/6 23:50
34460,3,2017/8/6 23:50
70841,4,2017/8/6 23:50
106494,3,2017/8/6 23:50
55172,4,2017/8/6 23:50
105715,5,2017/8/6 23:50
14639,4,2017/8/6 23:50
18669,5,2017/8/6 23:50
53132,5,2017/8/6 23:50
45425,5,2017/8/6 23:50
43079,5,2017/8/6 23:50
46486,3,2017/8/6 23:50
35677,4,2017/8/6 23:50
111663,5,2017/8/6 23:49
5306,5,2017/8/6 23:49
24121,4,2017/8/6 23:49
26325,3,2017/8/6 23:49
9334,4,2017/8/6 23:49
57578,5,2017/8/6 23:49
7986,3,2017/8/6 23:49
17727,5,2017/8/6 23:49
76730,3,2017/8/6 23:49
28030,5,2017/8/6 23:49
107031,4,2017/8/6 23:49
11538,2,2017/8/6 23:48
72086,5,2017/8/6 23:48
54930,5,2017/8/6 23:48
54998,5,2017/8/6 23:48
109461,5,2017/8/6 23:48
56005,4,2017/8/6 23:48
55358,4,2017/8/6 23:48
36173,4,2017/8/6 23:48
54399,5,2017/8/6 23:48
49745,4,2017/8/6 23:48
21507,4,2017/8/6 23:48
96095,5,2017/8/6 23:48
60904,5,2017/8/6 23:48
85865,3,2017/8/6 23:48
9261,4,2017/8/6 23:48
64678,3,2017/8/6 23:48
40468,5,2017/8/6 23:48
94059,2,2017/8/6 23:48
98867,2,2017/8/6 23:47
60113,4,2017/8/6 23:47
44384,4,2017/8/6 23:47
15523,5,2017/8/6 23:47
24020,4,2017/8/6 23:47
12770,5,2017/8/6 23:47
45306,4,2017/8/6 23:47
40328,5,2017/8/6 23:47
49729,5,2017/8/6 23:47
37872,4,2017/8/6 23:47
49986,4,2017/8/6 23:47
109173,4,2017/8/6 23:47
75628,4,2017/8/6 23:46
58344,5,2017/8/6 23:46
12176,5,2017/8/6 23:46
12764,4,2017/8/6 23:46
106205,5,2017/8/6 23:46
46007,4,2017/8/6 23:46
49377,3,2017/8/6 23:46
104931,4,2017/8/6 23:46
91979,5,2017/8/6 23:46
68277,5,2017/8/6 23:46
85780,5,2017/8/6 23:46
103824,3,2017/8/6 23:46
38056,3,2017/8/6 23:46
69491,4,2017/8/6 23:45
38862,5,2017/8/6 23:45
33992,5,2017/8/6 23:45
62089,4,2017/8/6 23:45
87964,5,2017/8/6 23:45
12519,5,2017/8/6 23:45
23021,5,2017/8/6 23:45
55490,4,2017/8/6 23:45
89087,5,2017/8/6 23:45
14902,3,2017/8/6 23:45
7742,5,2017/8/6 23:45
932,5,2017/8/6 23:45
37312,5,2017/8/6 23:45
