user,userid,item,itemid,score_all
万科公益基金会,3,北京凯恩克劳斯经济研究基金会,211,38.79999924
万科公益基金会,3,北京春苗儿童救助基金会,277,32.79999924
万科公益基金会,3,海南省医疗救助基金会,753,36.70000076
万科公益基金会,3,深圳壹基金公益基金会,764,44.79999924
万科公益基金会,3,爱佑慈善基金会,857,56.20000076
万科公益基金会,3,陕西师范大学教育基金会,1008,48.70000076
上海中欧国际工商学院教育发展基金会,4,北京凯恩克劳斯经济研究基金会,211,27.70000076
上海乐三兰馨教育发展基金会,5,上海交通大学教育发展基金会,4,51.70000076
上海乐三兰馨教育发展基金会,5,上海复旦大学教育发展基金会,12,51.70000076
上海仁德基金会,6,云南省扶贫基金会,148,30.70000076
上海仁德基金会,6,爱德基金会,858,47.79999924
上海华信公益基金会,7,上海市慈善基金会,24,52.90000153
上海同一苍穹下公益基金会,9,凉山州关心下一代基金会,184,48.70000076
上海唐君远教育基金会,10,上海交通大学教育发展基金会,4,48.70000076
上海唐君远教育基金会,10,上海大学教育发展基金会,14,35.79999924
上海唐君远教育基金会,10,无锡城市职业技术学院教育发展基金会,617,30.70000076
上海复大公益基金会,12,上海复旦大学教育发展基金会,12,45.70000076
上海复星公益基金会,13,上海交响乐团文化发展基金会,3,53.79999924
上海复星公益基金会,13,上海医学创新发展基金会,6,48.70000076
上海复星公益基金会,13,上海市罕见病防治基金会,29,45.70000076
上海复星公益基金会,13,北京戏曲艺术教育基金会,270,39.70000076
上海复星公益基金会,13,北京成龙慈善基金会,272,42.70000076
上海复星公益基金会,13,四川桃花源生态保护基金会,391,51.70000076
上海复星公益基金会,13,浙江华坤教育基金会,729,39.70000076
上海夏征农民族文化教育发展基金会,14,上海市拥军优属基金会,25,48.70000076
上海大学教育发展基金会,15,上海谢晋电影艺术基金会,52,48.70000076
上海天下文化发展基金会,16,上海宋庆龄基金会,15,48.70000076
上海宋庆龄基金会,17,上海市华侨事业发展基金会,18,27.70000076
上海宋庆龄基金会,17,成都市青少年发展基金会,597,24.70000076
上海宋庆龄基金会,17,浙江省微笑明天慈善基金会,740,27.70000076
上海工商界爱国建设特种基金会,18,上海市慈善基金会,24,34.90000153
上海工商界爱国建设特种基金会,18,上海市老年基金会,30,30.70000076
上海市东方红公益基金会,19,上海交通大学教育发展基金会,4,45.70000076
上海市中小学幼儿教师奖励基金会,20,上海市宝山区教育发展基金会,20,27.70000076
上海市人口福利基金会,21,北京市鸿儒金融教育基金会,260,42.70000076
上海市人口福利基金会,21,湖南省长郡未来基金会,849,53.79999924
上海市儿童基金会,23,上海科普教育发展基金会,49,36.70000076
上海市建国社会公益基金会,24,星云文化教育公益基金会,623,39.70000076
上海市建国社会公益基金会,24,清华大学教育基金会,802,50.79999924
上海市慈善基金会,25,上海华信公益基金会,8,24.70000076
上海市慈善基金会,25,上海市儿童基金会,16,28.89999962
上海市慈善基金会,25,上海市帮困互助基金会,21,32.79999924
上海市慈善基金会,25,上海市青年创业就业基金会,33,26.79999924
上海市慈善基金会,25,上海特殊关爱基金会,43,23.20000076
上海市慈善基金会,25,上海科普教育发展基金会,49,26.79999924
上海市慈善基金会,25,北京市永源公益基金会,254,24.70000076
上海市慈善基金会,25,都江堰市教育发展基金会,968,23.20000076
上海市慈善基金会,25,青海妇女儿童发展基金会,1030,23.20000076
上海市慈善基金会,25,青海省青少年发展基金会,1037,23.20000076
上海市教育发展基金会,26,上海市徐汇区教育基金会,23,24.70000076
上海市教育发展基金会,26,上海视觉艺术学院教育发展基金会,51,42.70000076
上海市教育发展基金会,26,安徽怀宁独秀教育基金会,445,33.70000076
上海市残疾人福利基金会,27,云南省残疾人福利基金会,150,55
上海市残疾人福利基金会,27,浙江省残疾人福利基金会,743,45.70000076
上海市老年基金会,28,上海市慈善基金会,24,35.79999924
上海市老年基金会,28,上海科普教育发展基金会,49,24.70000076
上海市青少年发展基金会,29,上海交响乐团文化发展基金会,3,36.70000076
上海市青少年发展基金会,29,安徽省青少年发展基金会,453,40.90000153
上海市青少年发展基金会,29,江西省青少年发展基金会,682,36.70000076
上海市青年创业就业基金会,30,中国青年创业就业基金会,127,53.79999924
