身高,男方,差,,,身高,差
130,168.1,38.1,,,130,38.1
142,167.5,25.5,,,142,25.5
144,165,21,,,144,21
145,172.1363636,27.13636364,,,145,27.13636364
146,176.375,30.375,,,146,30.375
147,171.5,24.5,,,147,24.5
148,172.1,24.1,,,148,24.1
149,174,25,,,149,25
150,171.3490566,21.3490566,,,150,21.3490566
151,171.6206897,20.62068966,,,151,20.62068966
152,172.4478261,20.44782609,,,152,20.44782609
153,171.9473684,18.94736842,,,153,18.94736842
154,173.470297,19.47029703,,,154,19.47029703
155,173.5817647,18.58176471,,,155,18.58176471
156,173.9182939,17.91829394,,,156,17.91829394
157,174.2656627,17.26566265,,,157,17.26566265
158,174.8839648,16.88396482,,,158,16.88396482
159,174.9271137,15.9271137,,,159,15.9271137
160,175.5956627,15.59566265,,,160,15.59566265
161,176.3085183,15.30851825,,,161,15.30851825
162,176.6523973,14.65239726,,,162,14.65239726
163,177.2692175,14.26921751,,,163,14.26921751
164,177.5350932,13.53509317,,,164,13.53509317
165,178.2356678,13.23566785,,,165,13.23566785
166,178.3109076,12.31090764,,,166,12.31090764
167,178.7442748,11.74427481,,,167,11.74427481
168,179.2718072,11.27180723,,,168,11.27180723
169,180.6394472,11.63944724,,,169,11.63944724
170,177.5365217,7.536521739,,,170,7.536521739
171,182.9366197,11.93661972,,,171,11.93661972
172,182.5783898,10.57838983,,,172,10.57838983
173,182.1616162,9.161616162,,,173,9.161616162
174,180.7545455,6.754545455,,,174,6.754545455
175,181.9935065,6.993506494,,,175,6.993506494
176,178.3392857,2.339285714,,,176,2.339285714
177,176.0909091,-0.909090909,,,177,-0.909090909
178,175.6190476,-2.380952381,,,178,-2.380952381
179,176.5,-2.5,,,179,-2.5
180,179.1428571,-0.857142857,,,180,-0.857142857
181,196,15,,,181,15
182,197,15,,,182,15
183,186,3,,,183,3
185,179,-6,,,185,-6
190,184.75,-5.25,,,190,-5.25
199,178.5,-20.5,,,199,-20.5
