,id
0,168337151
1,105136729
2,144702453
3,157876837
4,89478709
5,141681049
6,114651282
7,163959992
8,96302970
9,138426984
10,129611184
11,161442660
12,159650620
13,145795794
14,148895189
15,167063228
16,134652246
17,155399098
18,101026251
19,88722879
20,98385689
21,92521668
22,137317346
23,100478612
24,165743837
25,150512261
26,168215516
27,154392874
28,137550592
29,167140582
30,55211742
31,86163714
32,83860854
33,23062171
34,41434003
35,29828459
36,42596992
37,33727548
38,48759305
39,86039037
40,77374251
41,80721283
42,69335006
43,68475178
44,50157434
45,60771606
46,22434631
47,43433262
48,20888297
49,51779500
50,31296658
51,85836890
52,82125259
53,73573346
54,162738805
55,144307752
56,167491917
57,147210477
58,16593250
59,20656425
60,166598587
61,163254223
62,163905802
63,139629312
64,131597126
65,167990834
66,166543899
67,142122638
68,119810865
69,167185252
70,125538430
71,19594023
72,122240870
73,122356261
74,117933081
75,141688657
76,156891951
77,164258471
78,161491439
79,155069498
80,154767140
81,168150906
82,135654136
83,148345567
84,113363318
85,116108623
86,101677121
87,73382648
88,85473681
89,95516100
90,72751350
91,77026250
92,115904225
93,95411696
94,71712316
95,87034127
96,73998593
97,108054154
98,76896102
99,74877973
100,108322723
101,109373196
102,113699230
103,95283621
104,89808853
105,107979806
106,86418884
107,91526295
108,88271860
109,142848442
110,106870189
111,37398477
112,58427305
113,38861927
114,70083056
115,36221880
116,48082266
117,70030551
118,50104635
119,71448046
120,59027342
121,70378757
122,34951706
123,53149401
124,48607286
125,60129763
126,38747215
127,66935734
128,49572454
129,43500742
130,67771942
131,56436120
132,68213326
133,40646807
134,35450386
135,147477878
136,131962564
137,101654905
138,30508603
139,30496369
140,24617992
141,27974663
142,20106767
143,2399498
144,26065971
145,2233885
146,4481844
147,29256735
148,31736375
149,28977641
150,32650803
151,27619644
152,23538748
153,19688255
154,23343741
155,32545785
156,30200986
157,32674431
158,2561583
159,22433243
160,15633027
161,30754147
162,143026275
163,165512215
164,46898793
165,88920643
166,111898638
167,81105793
168,94965330
169,58421815
170,148896367
171,89133484
172,92451427
173,120145135
174,58772951
175,54638503
176,163224075
177,86644538
178,69756319
179,49571223
180,134636753
181,80045905
182,1594161
183,70581448
184,116481866
185,158138024
186,158373991
187,91309932
188,146313860
189,35030670
190,25632524
191,23640713
192,25653864
193,154792179
194,161678972
195,29110277
196,42346233
197,30586545
198,25985437
199,30254701
200,28688823
201,40098156
202,116224576
203,163737213
204,13328987
205,138926574
206,119306453
207,159928868
208,18492029
209,31850542
210,40666558
211,32247809
212,147370229
213,27054171
214,109379425
215,167517733
216,142074059
217,166811328
218,155714140
219,42594309
220,59842013
221,29122634
222,104736298
223,4131777
224,4125108
225,53781332
226,161979389
227,56158958
228,47855918
229,39653338
230,75983242
231,18319128
232,39915998
233,46811332
234,6918530
235,45710451
236,49632732
237,168113612
238,151135998
239,39514370
240,115415882
241,148272954
242,151149908
243,147739893
244,56268527
245,18139202
246,92833300
247,2140419
248,153070442
249,152922618
250,118029612
251,1351201
252,140843583
253,106863264
254,60599784
255,90603775
256,165631318
257,97146994
258,21857706
259,105473843
260,121697412
261,3325267
262,165605912
263,131518511
264,46020034
265,134303312
266,26704311
267,52647940
268,102811355
269,143843510
270,135970725
271,20868832
272,45543283
273,112955854
274,47830111
275,104356558
276,75418268
277,26329118
278,90053644
279,130962065
280,58577896
281,111382321
282,76095866
283,88391672
284,56564845
285,5223711
286,68079577
287,20796424
288,154859013
289,113173024
290,71851765
291,35623427
292,63608670
293,78333574
294,91002842
295,112301824
296,164544779
297,146558552
298,58766124
299,23451533
300,112407747
301,20611091
302,83464351
303,90422897
304,47131145
305,41679757
306,95606156
307,41910472
308,126021482
309,165017959
310,161782652
311,41705163
312,4849737
313,19639648
314,20219930
315,100590841
316,34809796
317,165949910
318,107408374
319,152233470
320,168012832
321,165492631
322,29270824
323,92412497
324,164594753
325,145372446
326,26545805
327,165885155
328,125585274
329,109538026
330,31514918
331,80898734
332,148672000
333,36793871
334,45578443
335,43908710
336,73460742
337,90181330
338,74878796
339,164148381
340,141826825
341,75714300
342,74864197
343,92949773
344,167305367
345,33951681
346,41715890
347,146159572
348,38456209
349,26592610
350,71122452
351,69460944
352,97437748
353,157707188
354,12898385
355,1347261
356,34059683
357,105534675
358,167332377
359,90570083
360,117320856
361,25187421
362,14288532
363,3047115
364,48968904
365,83794042
366,155589374
367,75958891
368,125767521
369,119620601
370,106693622
371,27245039
372,93314460
373,119177283
374,166548804
375,112944689
376,167731984
377,113958788
378,3667549
379,43927042
380,101666756
381,44761514
382,29494646
383,57673010
384,12437188
385,74069557
386,122582398
387,57788057
388,70930482
389,143346181
390,149753021
391,115182946
392,152155511
393,167138395
394,166842951
395,144597037
396,1212060
397,16446349
398,134419933
399,156015540
400,81849218
401,108867175
402,154441117
403,167054193
404,139546907
405,157827267
406,32678046
407,112720374
408,29985880
409,19933064
410,55067277
411,116951369
412,39721517
413,4970880
414,49970982
415,97003188
416,49303193
417,35438005
418,164390895
419,167013920
420,43115423
421,50564984
422,148291908
423,167141446
424,151168754
425,103812602
426,63223232
427,48908696
428,134538132
429,108799195
430,38630282
431,165202431
432,17702703
433,41937697
434,168300129
435,157891755
436,168180965
437,105887198
438,167994680
439,168313295
440,51499142
441,47489526
442,39563363
443,168042469
444,79843722
445,168379015
446,167664772
447,105526663
448,168359278
449,167190182
450,164877614
451,167716811
452,134636580
453,168191166
454,162524070
455,140679430
456,92318015
457,117485969
458,166289713
459,163160752
460,141175622
461,159844910
462,161098711
463,156935768
464,156199308
465,123086308
466,160748727
467,163434953
468,164193923
469,164298646
470,125661292
471,151229509
472,151138228
473,159192769
474,165184717
475,145684501
476,163199395
477,165481783
478,144582842
479,166731910
480,149800300
481,166850484
482,167310059
483,110746417
484,86996420
485,168190168
486,110065553
487,168224983
488,168119946
489,168354793
490,168098194
491,168298066
492,168312242
493,168175176
494,168014623
495,167877129
496,168369290
497,168261208
498,168296581
499,168358444
500,168217452
501,168369109
502,168357346
503,168112122
504,120438230
505,168349828
506,167991947
507,168316968
508,168325068
509,141525291
510,131216588
511,165945439
512,163095043
513,167520303
514,164052740
515,165131789
516,166145091
517,166933104
518,167170807
519,166098980
520,162239831
521,163120090
522,166016941
523,163403066
524,162698258
525,164958658
526,164914782
527,166125245
528,166398186
529,166713284
530,164816156
531,164002432
532,165418021
533,167273292
534,166905638
535,95509370
536,147577860
537,148494885
538,153280918
539,151204832
540,150119917
541,154591020
542,160930887
543,148607975
544,161186063
545,161035490
546,155313884
547,158472796
548,155069270
549,149665797
550,153037733
551,156911535
552,150441099
553,160459135
554,144799041
555,154160885
556,161028471
557,156101636
558,147124675
559,159973014
560,123395151
561,158840081
562,161457871
563,115550027
564,132407404
565,168274867
566,74672025
567,133791418
568,168113472
569,133287145
570,138204462
571,168109902
572,84051547
573,93355509
574,168275571
575,168284974
576,89227027
577,122215952
578,100351381
579,168271099
580,168112989
581,116190915
582,91569482
583,71432399
584,132499353
585,144737896
586,168105166
587,162855846
588,165445450
589,166542008
590,168239245
591,160208590
592,46676318
593,155619933
594,61782048
595,97360097
596,167600187
597,165596355
598,151375095
599,168248874
600,166057368
601,112532785
602,155951603
603,167664551
604,118905810
605,151634826
606,153330913
607,135171831
608,168251193
609,145500185
610,161588400
611,101355582
612,135047095
613,159150348
614,139495326
615,60427646
616,136214240
617,164769807
618,168234792
619,168073092
620,168164010
621,150201603
622,167092490
623,164016095
624,143254150
625,146136983
626,144180840
627,166811952
628,168074772
629,167548343
630,161618725
631,133705954
632,167881584
633,162709561
634,164872013
635,152880716
636,165819295
637,166196456
638,166628801
639,167184182
640,147553405
641,49342428
642,12548656
643,151204654
644,159941407
645,167950679
646,167936695
647,162519536
648,134023001
649,168139765
650,168148383
651,113762405
652,161113411
653,168218202
654,134134342
655,167983491
656,165200415
657,167930024
658,160702302
659,168170838
660,134280763
661,168140717
662,132400105
663,167989667
664,168071699
665,162853620
666,135940742
667,107798432
668,107752651
669,156374434
670,155835639
671,157143780
672,149145939
673,167821139
674,163151598
675,98550105
676,68927420
677,159672214
678,168118558
679,167864891
680,151445231
681,168122392
682,100855332
683,148868685
684,159963571
685,155988135
686,148249823
687,124793917
688,155368148
689,168098720
690,167874302
691,138785771
692,168034239
693,137219660
694,149346415
695,124884217
696,139403227
697,164467503
698,114647369
699,158724987
700,166180043
701,165718958
702,104008079
703,167816316
704,167977445
705,167777884
706,162740194
707,160204566
708,106053950
709,167980693
710,167773336
711,143499266
712,128274751
713,122977658
714,75408888
715,167931741
716,167803537
717,150744709
718,168074867
719,149461825
720,116787724
721,157556281
722,136312749
723,98765430
724,148686166
725,167884884
726,153791379
727,166793775
728,167679792
729,167904254
730,155450847
731,167877273
732,122480392
733,97800866
734,114937776
735,165099013
736,115412174
737,160840478
738,167214065
739,157494980
740,166015349
741,150819860
742,167839805
743,164204547
744,167646599
745,167634668
746,133567052
747,96824192
748,159694167
749,112475651
750,159418927
751,149152784
752,161867174
753,166079617
754,122677431
755,153853672
756,167650079
757,153666936
758,146247045
759,160324688
760,150862509
761,167651676
762,167614536
763,153316229
764,147515075
765,143990915
766,158510938
767,112194901
768,165344265
769,156760784
770,153541720
771,106329760
772,164800002
773,149396705
774,125800975
775,161045684
776,135855304
777,113612723
778,166236614
779,167518292
780,151310052
781,110725084
782,136570312
783,127687840
784,167744388
785,167702440
786,167557265
787,149094275
788,167705354
789,167699089
790,167707439
791,167512701
792,167544937
793,167505173
794,167517584
795,103083192
796,167754138
797,157590076
798,107466003
799,144573400
800,146614425
801,152729032
802,167461273
803,159891433
804,150450105
805,167435125
806,167443919
807,165198882
808,167476644
809,165940691
810,152581267
811,167463108
812,167440180
813,125567394
814,167509642
815,167439386
816,133165641
817,164495263
818,167626384
819,167612381
820,131227792
821,162181256
822,107867493
823,167621663
824,167435372
825,165202693
826,167041481
827,154797599
828,165159692
829,167337034
830,167616828
831,167533793
832,167335825
833,142246503
834,167321459
835,165422700
836,159079485
837,167370195
838,167318391
839,167361508
840,164793855
841,165229188
842,164377461
843,167311763
844,167312109
845,167603229
846,167319819
847,156115854
848,163029513
849,163819890
850,148569800
851,165472315
852,167321758
853,168261543
854,168283531
855,137558953
856,156759927
857,167218831
858,167194562
859,155747448
860,167457221
861,165900129
862,167304486
863,167243785
864,133083909
865,167204391
866,167253590
867,167145476
868,166072917
869,167439728
870,165753416
871,161142617
872,167216462
873,164407889
874,152026563
875,167153681
876,167205903
877,167176293
878,167305551
879,135958627
880,152199071
881,137548991
882,40393084
883,167129502
884,167141779
885,150950756
886,125142170
887,148316352
888,167282956
889,100647720
890,156148613
891,147260473
892,167095668
893,167048332
894,140529859
895,161654254
896,98230143
897,158400444
898,128991614
899,154838602
900,152061999
901,164200400
902,167071393
903,167079363
904,120090473
905,167113275
906,167177195
907,163847778
908,45515982
909,164693341
910,149478985
911,111608903
912,167075287
913,105079401
914,166827418
915,166960805
916,166980955
917,166830478
918,166814716
919,166871495
920,167162705
921,167087413
922,146546879
923,92126303
924,166416015
925,165668457
926,167218520
927,167109984
928,166907895
929,166874550
930,166358652
931,166914292
932,166963015
933,166874851
934,153700188
935,153842017
936,71347923
937,166779333
938,166713585
939,168363061
940,153310005
941,167001290
942,167412431
943,166987835
944,167681625
945,167388669
946,166663842
947,168379977
948,166954877
949,61599516
950,166965288
951,149263362
952,166988418
953,166839752
954,134014223
955,166210613
956,165648295
957,146710148
958,78039048
959,167338237
960,61048310
961,47427495
962,117051829
963,120397033
964,115490140
965,85699316
966,139485562
967,156533442
968,67676487
969,164781187
970,165052468
971,149527926
972,102335047
973,73438930
974,167348392
975,103896936
976,163249797
977,162277832
978,159153191
979,151013771
980,67035874
981,100817227
982,165419492
983,108733938
984,163851530
985,154638213
986,149251141
987,153499197
988,92016160
989,52913078
990,113504750
991,57223892
992,146575172
993,103027606
994,148115576
995,145336706
996,166609492
997,161481696
998,163460262
999,140129269
1000,134678537
1001,159343158
1002,142178435
1003,148967616
1004,111557763
1005,149282325
1006,125275776
1007,161512676
1008,149360220
1009,153962428
1010,154554023
1011,165212899
1012,163776909
1013,49786341
1014,167298894
1015,118000968
1016,36400972
1017,153139669
1018,34395063
1019,166323537
1020,157373595
1021,116181444
1022,108231785
1023,134703147
1024,150247006
1025,151403636
1026,73588434
1027,146650584
1028,151987851
1029,30973143
1030,122543321
1031,81912212
1032,154753603
1033,148172372
1034,112733945
1035,80492886
1036,155784405
1037,58828399
1038,166737177
1039,143048545
1040,163334461
1041,133753346
1042,68779186
1043,120476251
1044,156693444
1045,101131929
1046,155839384
1047,52215470
1048,76791065
1049,72766259
1050,166768393
1051,144991229
1052,146464125
1053,81311125
1054,162234215
1055,160431801
1056,142080856
1057,161535362
1058,108546141
1059,122384145
1060,125348869
1061,144780989
1062,166801701
1063,165351716
1064,147446521
1065,166442662
1066,134253309
1067,143307257
1068,160153589
1069,107401715
1070,95169418
1071,164797862
1072,150157211
1073,159255871
1074,150482404
1075,165823101
1076,168337151
1077,152558729
1078,168141012
1079,143375276
1080,144581524
1081,165605469
1082,154441117
1083,167910405
1084,168007672
1085,151149908
1086,160908984
1087,167978650
1088,168067721
1089,168127898
1090,167698727
1091,160265272
1092,163249759
1093,156532232
1094,165052468
1095,157054056
1096,149956485
1097,162329582
1098,162845622
1099,153546837
1100,167140582
1101,168215516
1102,163249797
1103,147739893
1104,79728427
1105,135749528
1106,143072905
1107,95332219
1108,91721853
1109,112798697
1110,109452265
1111,120016541
1112,122451307
1113,108733938
1114,134074756
1115,137314966
1116,136153261
1117,101869821
1118,100817227
1119,135886287
1120,90498187
1121,127138648
1122,142235456
1123,117051829
1124,112475113
1125,123175231
1126,115897113
1127,94140693
1128,101320336
1129,101611359
1130,158263171
1131,154392874
1132,33980747
1133,57173891
1134,77674119
1135,81013957
1136,39499547
1137,72668596
1138,70709817
1139,31210818
1140,67676487
1141,168260823
1142,65054258
1143,71694643
1144,57223892
1145,166551424
1146,69651047
1147,65239836
1148,89928847
1149,71122452
1150,71347923
1151,155670087
1152,164653833
1153,153842017
1154,35914198
1155,54644176
1156,153696401
1157,162452698
1158,129780740
1159,113784763
1160,148909768
1161,167517733
1162,142471374
1163,142591680
1164,127356896
1165,109115431
1166,148174154
1167,120789119
1168,34458434
1169,162236767
1170,35567262
1171,150675590
1172,144128679
1173,138877171
1174,167272150
1175,152469392
1176,139046566
1177,148678017
1178,68779186
1179,143530155
1180,143915378
1181,145630446
1182,168208128
1183,153700188
1184,63989367
1185,135938013
1186,112799636
1187,103663366
1188,167192170
1189,167166386
1190,118836368
1191,167054430
1192,147282624
1193,133220278
1194,167039606
1195,167046918
1196,167406194
1197,167123410
1198,160613760
1199,167202974
1200,105082816
1201,130210886
1202,167220122
1203,166991760
1204,150817810
1205,154350942
1206,167165446
1207,167081776
1208,149780976
1209,120057924
1210,40393084
1211,152199071
1212,167951669
1213,98623721
1214,142178435
1215,163204945
1216,161431995
1217,29270824
1218,150883265
1219,40567534
1220,63363499
1221,148622619
1222,137528951
1223,167950575
1224,167971047
1225,94815528
1226,96578944
1227,167850836
1228,28293265
1229,168151351
1230,90754528
1231,156282875
1232,26653236
1233,153503231
1234,96354048
1235,157556281
1236,139485562
1237,108546141
1238,158860997
1239,142848442
1240,151428032
1241,101284810
1242,42885542
1243,148540306
1244,149539350
1245,162129590
1246,125602660
1247,167677115
1248,111781900
1249,143307257
1250,156078827
1251,142816570
1252,125634512
1253,113370727
1254,143071390
1255,163294619
1256,29615618
1257,109411618
1258,135094909
1259,162130588
1260,167784399
1261,53417530
1262,71400536
1263,151135729
1264,64852956
1265,112733945
1266,54320039
1267,167338237
1268,55597319
1269,150580307
1270,167395293
1271,75771734
1272,108222258
1273,98044403
1274,167435157
1275,70467279
1276,109210029
1277,95414129
1278,164961821
1279,167510740
1280,135970725
1281,139495326
1282,167436070
1283,165674616
1284,72756517
1285,165400466
1286,167325904
1287,167398736
1288,167326128
1289,128708777
1290,95509370
1291,162316771
1292,131330664
1293,109843748
1294,166788389
1295,34395063
1296,167039077
1297,150058505
1298,167200601
1299,143247743
1300,139139281
1301,167039820
1302,40630078
1303,161564950
1304,166906605
1305,166823879
1306,166863914
1307,166906159
1308,150621835
1309,166824425
1310,166865656
1311,166865696
1312,166864256
1313,166906105
1314,166967181
1315,166824394
1316,59964126
1317,167217437
1318,139483789
1319,154534922
1320,166739281
1321,166823741
1322,167394005
1323,168044191
1324,66651164
1325,166823151
1326,166823058
1327,166754380
1328,166760445
1329,166822883
1330,155978206
1331,134735503
1332,166779474
1333,168254037
1334,163250293
1335,156692578
1336,166823106
1337,99990267
1338,166822705
1339,166739535
1340,166739303
1341,166674837
1342,166782759
1343,166739014
1344,167926779
1345,156237173
1346,158745529
1347,146650584
1348,167393619
1349,167765106
1350,167258560
1351,168368206
1352,167846480
1353,168189270
1354,167884827
1355,168142151
1356,167830440
1357,168299097
1358,168368067
1359,167946534
1360,168033293
1361,167998771
1362,167860321
1363,168148165
1364,167918999
1365,168306961
1366,168291091
1367,167739920
1368,168057348
1369,167863505
1370,168102964
1371,162277832
1372,103115564
1373,124884217
1374,167370764
1375,167494965
1376,167729649
1377,167325130
1378,165819359
1379,165571412
1380,166255627
1381,167491917
1382,167589383
1383,166372929
1384,166984532
1385,167495213
1386,167436082
1387,167665892
1388,167067900
1389,167370664
1390,166296968
1391,165904029
1392,166801701
1393,165983672
1394,166737177
1395,165685192
1396,167309986
1397,167656049
1398,98996020
1399,47465719
1400,160153589
1401,162908274
1402,162992042
1403,165017130
1404,165350629
1405,162491348
1406,161791859
1407,163748830
1408,163832342
1409,164136811
1410,163753955
1411,162169796
1412,164653841
1413,163638672
1414,164200752
1415,165140877
1416,164743870
1417,163717753
1418,162996948
1419,162997891
1420,163421223
1421,163334461
1422,164907964
1423,163636408
1424,144780989
1425,163872707
1426,167798506
1427,146169214
1428,151944490
1429,155839384
1430,159962616
1431,153435518
1432,99960494
1433,140366164
1434,167693114
1435,145097540
1436,156299498
1437,167764416
1438,160602232
1439,164240342
1440,154512396
1441,147554524
1442,148172372
1443,167761752
1444,150544206
1445,116181444
1446,154425632
1447,149778478
1448,152749538
1449,139093987
1450,143497667
1451,134703147
1452,138538631
1453,145427322
1454,144340702
1455,149146517
1456,131962564
1457,148471278
1458,134058967
1459,144409865
1460,144307752
1461,152113253
1462,135870308
1463,138743067
1464,149549598
1465,143031038
1466,139365235
1467,143198738
1468,149621532
1469,119311929
1470,125800975
1471,147446521
1472,134350751
1473,163301986
1474,90169591
1475,167655497
1476,92003928
1477,168255378
1478,89004232
1479,101793934
1480,168126889
1481,115382103
1482,168307020
1483,105876188
1484,75303729
1485,102335047
1486,100513091
1487,62330853
1488,115603266
1489,88510226
1490,68265605
1491,168223202
1492,168322342
1493,168301679
1494,110398070
