,age,blood,car,constellation,education,ethnic,height,house,id,js_age,js_education,js_ethnic,js_height,js_location,js_marriaged,js_member,js_photo,location,marriaged,membership,nickname,salary,shengxiao,weight
0,31岁,O型,已购车（经济型）,天蝎座,本科,汉族,160cm,已购房（有贷款）,159824907,31-39岁之间,不限,不限,160-185厘米,浙江舟山,不限,不限,有照片,舟山,"离异,有小孩归自己",高级会员,amorka,2000～5000元,牛,--
1,50岁,--,--,金牛座,高中中专及以下,--,163cm,--,165413807,47-56岁之间,高中中专及以下或以上,不限,173-184厘米,浙江舟山,不限,不限,有照片,舟山,离异,普通会员,在九州岛蹊跷的凡霜,2000～5000元,羊,--
2,33岁,B型,暂未购车,水瓶座,大专,汉族,156cm,与父母同住,153290544,31-42岁之间,不限,不限,170-182厘米,浙江舟山,离异,不限,不限,舟山,"离异,无小孩",普通会员,陈果果,2000～5000元,鼠,50公斤
3,29岁,--,暂未购车,射手座,本科,苗族,157cm,暂未购房,166848123,30-40岁之间,本科,不限,170-175厘米,不限,未婚、离异,不限,有照片,舟山,离异,高级会员,纠结的幻柏在亚丁,2000～5000元,兔,45公斤
4,32岁,O型,已购车（经济型）,魔羯座,本科,--,165cm,与父母同住,144054252,30-40岁之间,本科或以上,不限,170-188厘米,浙江,离异、丧偶,不限,不限,舟山,"离异,有小孩归自己",普通会员,真爱,5000～10000元,鼠,48公斤
5,45岁,B型,--,处女座,高中中专及以下,汉族,160cm,--,159941186,48-54岁之间,不限,不限,172-185厘米,浙江舟山,不限,不限,不限,舟山,离异,高级会员,江南雨,2000～5000元,猪,--
6,23岁,--,--,天秤座,高中中专及以下,--,158cm,--,166891460,25-31岁之间,不限,不限,173-176厘米 *,江西,未婚,不限,有照片,舟山,未婚,普通会员,zhy,2000～5000元,鸡,46公斤
7,42岁,--,--,水瓶座,大专,--,165cm,--,166451231,46-50岁之间,大专,不限,170-190厘米,浙江舟山,不限,不限,有照片,舟山,离异,高级会员,颜如玉,5000～10000元,虎,--
8,44岁,AB型,--,魔羯座,高中中专及以下,汉族,150cm,--,159829464,44-54岁之间,不限,汉族,168-175厘米,浙江,未婚、丧偶,星级会员,有照片,舟山,"离异,无小孩",普通会员,荆棘,2000元以下,鼠,48公斤
9,24岁,--,暂未购车,白羊座,大专,--,158cm,与父母同住,123411005,25-30岁之间,不限,不限,173-185厘米 *,浙江,未婚,不限,有照片,舟山,未婚,普通会员,午后阳光,5000～10000元,鸡,47公斤
