,id
0,168337151
2,167310892
4,163577518
6,153527228
8,144609591
10,165344474
12,144544917
14,160063927
16,146622629
18,137478824
20,141902989
22,156641339
24,150260956
26,141482827
28,149851183
30,166725226
32,168183096
34,150933494
36,151152415
38,145891772
40,149741282
42,167565483
44,143547968
46,139385742
48,164593925
50,165819359
52,167706912
54,108867175
56,168215516
58,167140582
60,112748959
62,90169591
64,124452666
66,110494585
68,93512965
70,136485288
72,124294961
74,133437847
76,131394004
78,124665998
80,100386512
82,120932738
84,116155031
86,102570144
88,119568502
90,111855145
92,125712025
94,120208603
96,115600227
98,126345807
100,136032928
102,92612309
104,137265421
106,99336129
110,35030670
112,112798697
114,120057924
118,35943529
120,33134397
122,56696453
124,64850832
126,75998791
128,66017691
130,38071079
132,15832652
134,36389561
136,77337261
138,39842533
140,44650614
142,88554663
144,89528682
146,70682285
148,30181337
150,41037990
152,29482947
154,27873936
156,36403409
158,75722110
160,75587366
162,28472135
164,168350476
170,149543234
172,162738805
174,134678537
176,167190252
178,168124266
180,161608557
182,167435612
184,166420584
186,165739691
188,164796442
190,161597941
192,157202796
194,167758383
196,163302934
198,168221749
200,168014324
202,161673247
204,167082471
206,166185650
208,166095337
210,167579888
212,157718654
214,168188354
216,168160208
218,168186261
220,168327592
222,167652764
224,148622619
226,119748738
232,167067147
234,142644542
236,150428058
238,144551966
240,144744500
242,150023633
244,146061102
246,148641863
248,143744279
250,147139981
252,148345683
254,154346936
256,156846566
258,152011255
260,146793577
262,146930293
264,146358858
266,141900939
268,148215255
270,140882237
272,154923791
274,150982295
276,143191357
278,154881510
280,144663405
284,44312581
286,166513496
290,167063725
292,110991451
294,139404700
296,137700445
298,107959584
300,110649192
302,133836731
304,118704037
306,134289463
308,108069048
310,139889431
312,137023506
314,124411522
316,119015448
318,114993512
320,133806362
322,134196628
324,136093402
326,134478638
328,114083453
330,119133978
332,127131660
334,111552269
336,135715091
338,116350073
340,153696401
342,25609326
346,139495326
350,92459795
352,101203160
354,99110897
356,92505261
358,95076098
360,95575290
362,98069243
364,103347287
366,102803255
368,97110877
370,104139777
372,100288334
374,94558056
376,86445740
378,105705494
379,90556567
381,106987574
383,93012067
385,88097371
387,104236866
389,90660794
391,80765724
393,91913171
395,93980267
397,151987851
401,136312749
405,137558953
407,65902828
409,76943289
411,77913886
413,71362404
415,57888616
417,80377231
419,58487834
421,55131948
423,57142790
425,74633531
427,76433633
429,60157415
431,69148850
433,60688731
435,75209896
437,61374132
439,62377337
441,80451692
443,63834684
445,73281115
447,71895651
449,75657938
451,79572839
453,58964642
455,26592610
459,136214240
461,143048545
465,39755173
467,42085602
469,32031706
471,48660968
473,54287942
475,47495124
477,49287980
479,47302252
481,49603342
483,36565034
485,44485123
487,54363919
489,51927069
491,47923324
493,33786021
495,46904475
497,30989478
499,44273218
501,50216770
503,48803486
505,51113015
507,53343998
509,42483314
511,40266153
513,118836368
517,29317765
521,117051829
523,15409362
525,28368389
527,16314350
529,167746576
531,29287891
533,149174784
535,27098181
537,168101212
539,167304767
541,18825362
543,29645787
545,30010000
547,25700371
549,167882336
551,164034200
553,18587007
555,30103798
557,146842103
559,28843385
561,147576146
563,27041100
565,154095121
567,161318930
569,22495408
573,159046210
577,164693341
579,166217723
581,105049326
583,95369379
585,100396950
587,88885946
589,128698387
591,144442666
593,62599784
595,87658573
597,116689841
599,101601980
601,91145166
603,143200112
605,135654136
607,134532176
609,77700073
611,145137248
613,91203864
615,145487844
617,112669929
619,119374319
621,94119797
623,142932152
625,88241594
627,98578449
629,168261209
635,168170838
637,168255378
639,50122885
641,29151397
643,16088207
645,25457024
647,53392094
649,57373146
651,38557899
653,56738640
655,45126038
657,31249254
659,18778568
661,24802052
663,30703549
665,56989213
667,168026420
669,15540137
671,58843472
673,37784635
675,25982401
677,53538509
679,5745225
681,34790200
683,40186634
685,56712849
687,148115576
691,164233415
693,96824192
697,150017914
699,142675155
701,138616654
703,135984442
705,157749307
707,141663087
709,162574722
711,142135870
713,111764924
715,116456579
717,136236754
719,119735863
721,154311069
723,148683883
725,135848492
727,120476433
729,154406070
731,161493121
733,146065258
735,158871893
737,163743852
739,127828085
741,159592292
743,154215833
747,71347923
749,101284810
751,47427495
755,82279199
757,166502839
759,26069498
761,31888458
763,83869326
765,74218664
767,74577968
769,164147556
771,81493212
773,141678109
775,62210843
777,23689059
779,96816721
781,168218059
783,29115458
785,159090078
787,109737385
789,28597126
791,71121612
793,167556265
795,23085657
797,110524619
799,106434100
801,100920975
809,167041481
811,168178110
813,69382600
815,95428200
817,111871992
819,45270608
821,104469626
823,103049542
825,17117728
827,87340727
829,81451192
831,98410833
833,137210059
835,83971148
837,100172942
839,152729032
841,100070260
843,72965574
847,77369772
849,94941431
851,73254773
853,116849503
855,138215438
857,82687808
859,168230576
861,165680472
863,148172372
867,137856019
871,28632342
873,34339469
875,108340789
877,162855930
879,35203032
881,168148406
883,112580249
885,35116330
887,113686278
889,48374971
891,69452786
893,167918080
895,73744987
897,163869906
899,161563785
901,167940699
903,102221688
905,69069508
907,112144146
909,102379007
911,155711305
913,47811576
915,51393660
917,73337956
919,71408621
921,159343158
923,148967616
929,29761135
931,19563929
933,35857636
935,101050197
937,168110616
939,49431139
941,150282084
943,108793360
945,148228959
947,45375734
949,151456286
951,89070565
953,84301900
955,91645738
957,66720444
959,44281931
961,65782620
963,81705780
965,83962282
967,94093122
969,44389253
971,116424694
973,29939386
975,134580277
977,129741875
981,146389964
983,163220470
987,49872901
989,167947880
991,57606829
993,103169354
995,168089853
997,146118256
999,120607637
1001,115546343
1003,70234053
1005,157633579
1007,34581825
1009,90775773
1011,45701759
1013,95838524
1015,89983664
1017,156076606
1019,35395221
1021,84389397
1023,162342769
1025,147344047
1027,162638126
1029,28850194
1031,55865648
1033,150942411
1035,150247006
1037,151603444
1041,81912212
1045,114718197
1047,19076961
1049,99298728
1051,41195839
1053,36944619
1055,95826920
1057,37533990
1059,11753442
1061,108489733
1063,138189740
1065,80297664
1067,135068770
1069,114938653
1071,139750269
1073,151206735
1075,163318296
1077,166418403
1079,165374333
1081,155017337
1083,145657148
1085,158136685
1087,112415553
1089,101854459
1091,56143309
1095,153842017
1097,146417804
1099,112733945
1103,138163847
1105,52425230
1107,81874237
1109,150642265
1111,82462907
1113,164558260
1115,110977922
1117,152443439
1119,95927319
1121,107107940
1123,155796211
1125,163630121
1127,151115085
1129,112468770
1131,158674030
1133,162113480
1135,51933904
1137,35606179
1139,136639146
1141,58202197
1143,107618444
1145,27797721
1147,163352019
1149,31277432
1153,113791388
1157,168164551
1159,105378979
1161,31488407
1163,167043519
1165,114865197
1167,74371948
1169,167640103
1171,167640395
1173,167639581
1175,167639981
1177,120227611
1179,167640056
1181,73049876
1183,66254445
1185,111696635
1187,19109951
1189,167640865
1191,105562859
1193,37640989
1195,33983537
1197,24590111
1199,167640693
1201,167783568
1203,167639876
1205,167639917
1207,139389859
1211,79728427
1213,164797862
1215,47465719
1219,146763809
1221,116518561
1223,49696874
1225,49978940
1227,131383004
1229,139340100
1231,3399308
1233,21072092
1235,150191772
1237,131921200
1239,160691412
1241,65902953
1243,155160350
1245,166923985
1247,156544064
1249,167450107
1251,145683253
1253,102746677
1255,99595917
1257,23791000
1259,36164658
1261,120321562
1263,83037894
1265,102602301
1267,115323111
1271,161259519
1275,167731984
1277,128420271
1279,101960363
1281,98929086
1283,144703403
1285,162988093
1287,75223268
1289,108518784
1291,125402053
1293,162306269
1295,94748191
1297,135534250
1299,98293303
1301,156834703
1303,144397638
1305,58838172
1307,40424614
1309,44716676
1311,167504959
1313,47177042
1315,138508586
1317,131278314
1319,143864775
1321,153071211
1323,117301561
1327,149539350
1329,158520156
1333,116181444
1335,61176926
1337,96699458
1339,164738553
1341,73833692
1343,161910911
1345,161139161
1347,52676862
1349,158704729
1351,152867602
1353,155390198
1355,111000077
1357,134641392
1359,117376961
1361,142495613
1363,115229287
1365,161497393
1367,142982785
1369,103187136
1371,136072007
1373,165742725
1375,138385942
1377,45051124
1379,28890686
1381,39053541
1383,127768956
1385,22352572
1391,163305790
1393,57983483
1395,37868534
1397,83606039
1399,135861156
1401,21807742
