,id
0,168337151
2,165403614
4,166528571
6,165729564
8,167337308
10,168208341
12,168359195
14,167820098
16,166487018
18,168335096
20,168140595
22,165052725
24,168121296
26,168284013
28,167983267
30,164837993
32,167042798
34,168302261
36,167587736
38,168214833
40,165995828
42,168139300
44,168209354
46,165087730
48,168320210
50,168215516
52,149680922
54,151987851
56,55597319
58,167140582
60,157705794
62,161843130
64,155882155
66,157828433
68,155474601
70,158843102
72,154857928
74,163442767
76,161145403
78,160794615
80,164292314
82,160219153
84,156719491
86,162121404
88,162098121
90,159568450
92,161349286
94,163218634
96,156998022
98,158099868
100,155398752
102,156944255
104,162710501
106,161573050
112,158745529
114,151102489
116,144780989
118,133202184
120,137024369
122,136413725
124,152745995
126,152337457
128,134908033
130,130236141
132,143603589
134,147723261
136,151004502
138,148387353
140,143223441
142,136901898
144,137173899
146,139127180
148,149769962
150,152407889
152,144535714
154,142389190
156,146710148
158,151727936
160,150272001
162,150656700
164,147220580
168,165135505
172,129780740
174,164888028
176,164799702
178,160873644
180,167989810
182,155911224
184,154609464
186,68588688
188,149546516
190,67615344
192,136561518
194,168283046
196,139785370
198,142963684
200,119163760
202,165612080
204,168264438
206,167715538
208,70484270
210,66967664
212,145766864
214,92392360
216,152037028
218,154695250
220,162657262
222,158224140
224,165476348
226,165194424
232,166451369
236,167718198
238,167793431
240,167886506
242,54836578
244,83477387
246,32192981
248,74980968
250,168286830
252,168297707
254,168311541
256,166763679
258,165276514
260,24543391
262,13393876
264,168319231
266,168169737
268,43980849
270,77202750
272,82648132
274,75537958
276,168055079
278,33473244
280,168300299
282,129327146
284,114038138
288,49696874
292,99429738
294,122795450
296,116183746
298,139700953
300,145698446
302,144233183
304,164484185
306,155937290
308,115831667
310,125348869
312,160005879
314,146338277
316,103073650
318,140492549
320,137327363
322,124862640
324,123474301
326,128661594
328,110848650
330,157454070
332,153478088
334,114098096
338,142583912
340,158781513
342,46597778
346,34599358
350,60608651
356,162637925
366,54867755
368,168248771
374,162087459
376,167793343
380,157528785
382,165252031
386,48776199
388,162972251
394,90469175
400,73198825
404,156282875
406,148272954
408,149780607
410,107504758
414,113898690
416,155107288
418,105349361
422,143628659
424,119351133
426,102464070
