,id
0,168337151
2,156748365
4,146971082
6,164471224
8,100582821
10,83364592
12,144848114
14,164898077
16,108697670
18,157213397
20,164837261
22,108586690
24,157553124
26,93405485
28,106190176
30,160767016
32,167147283
34,167065999
36,99890399
38,168191318
40,90393661
42,122315921
44,85002951
46,92675705
48,85122122
50,150893088
52,168215516
54,167140582
56,167406957
58,126345807
60,35431769
62,30939405
64,34762973
66,37763207
68,40842166
70,80417352
72,67839804
74,19580484
76,29217979
78,20882605
80,32435898
82,52807590
84,34281669
86,30144811
88,75483928
90,36988181
92,21037376
94,13709013
96,52712452
98,36858689
100,69808681
102,72095971
104,32357791
106,50234357
110,47427495
114,163753955
116,165512215
118,167876859
120,163159061
122,166371224
124,2290437
126,5165652
128,160454110
130,156749432
132,168292344
134,1562176
136,168135797
138,157483160
140,167285458
142,164983517
144,159788424
146,168223073
148,168354188
150,163580119
152,165447904
154,168253054
156,163664931
158,161297617
160,153007087
162,165476997
164,161910929
166,152729032
170,108867175
174,88629024
176,146908407
178,150459889
180,133742325
182,118752133
184,146794334
186,146426052
188,143202817
190,137996628
192,123096640
194,145592961
196,134901858
198,120321105
200,147389140
202,136072277
204,150382272
206,142582893
208,144915764
210,149713020
212,138583365
214,134596395
216,117212943
218,151902691
220,131501094
222,148960883
224,167067900
226,152469392
228,147477878
234,92956836
236,89350641
238,93457325
240,97001587
242,96506409
244,107592254
246,82792751
248,115033172
250,113260734
252,114596870
254,104562188
256,110902448
258,103097924
260,97924933
262,116595574
264,94259210
266,92037700
268,117209278
270,111000881
272,99180340
274,83111213
276,110873011
278,113089268
280,114964083
282,162525073
284,143843510
286,158520156
292,79886708
294,53831800
296,64047307
298,50702655
300,72739501
302,56571178
304,49359611
306,81834931
308,80091272
310,66629380
312,53025741
314,57175156
316,82284637
318,58277816
320,51011797
322,51010994
324,53063720
326,80114725
328,78053567
330,72837458
332,50356946
334,60841375
336,54787438
338,55336467
340,131962564
342,168185514
344,135870308
350,37461163
352,43813433
354,38726474
356,38442963
358,30035351
360,29641350
362,38253693
364,48616697
366,42613370
368,32862956
370,37751863
372,27884503
374,29766831
376,39726261
378,31480648
380,42832351
382,34442822
384,30624493
386,31597218
388,28724004
390,45751185
392,31070644
394,44493035
396,48391975
400,168157894
402,166499775
408,21373030
410,21737887
412,21275858
414,17757993
416,7524575
418,19382766
420,20956201
422,2469809
424,22388353
426,4337797
428,26429127
430,20810612
432,17460157
434,17389582
436,18010744
438,23501985
440,12389691
442,21831253
444,14765722
446,7225144
448,27680887
450,27688540
452,2291777
454,20835446
458,150482404
460,120057924
464,141960809
466,151975318
468,165062536
470,168245904
472,122090864
474,148312117
476,147916933
478,168176432
480,141802798
482,150578386
484,1418997
486,163854030
488,168119349
490,161323818
492,168246772
494,168118993
496,161650817
498,168101942
500,150290314
502,168118773
504,1201913
506,129079879
508,156493308
510,167221371
512,144334700
516,164797862
520,63989367
522,141525291
524,77047332
526,59429944
528,81085306
530,76047288
532,97897159
534,121630458
536,56082172
538,50379207
540,99345157
542,119991439
544,102961108
546,101719684
548,47283412
550,42398936
552,39885606
554,82175294
556,78186549
558,110177451
560,91704162
562,66454735
564,39824742
566,38329177
568,58050050
570,69321521
572,111557763
574,119325352
580,94581065
582,3154589
584,159705748
586,98344800
588,126749962
590,35644909
592,83832541
594,22748897
596,162215942
598,99981303
600,135771930
602,95324231
604,37605328
606,87456050
608,168004494
610,36404710
612,133144168
614,30192476
616,160558941
618,117848905
620,21060448
622,2904943
624,162298655
626,24978065
628,151753003
630,149527926
632,124802638
634,165648295
640,70872043
642,168055155
644,41818804
646,68994362
648,168048895
650,23676932
652,40519404
654,72280499
656,34094263
658,49460422
660,50177704
662,52073614
664,82922047
666,17105930
668,168048998
670,81040259
672,75983131
674,45025018
676,13587163
678,26903468
680,68009171
682,14134835
684,37235157
686,56084124
688,159717590
690,168092903
692,118000968
698,126419830
700,20287113
702,26389697
704,101009146
706,115724539
708,137167615
710,72986378
712,158737226
714,146318163
718,157080912
720,168048662
722,70901140
724,163594649
726,24922132
728,79527918
730,133902842
732,151271392
734,134907117
736,28200624
738,47534301
740,90174490
742,91314707
744,168048847
746,67035874
748,137856019
750,149360220
756,7766203
758,70443828
760,25564921
762,139282251
764,168135749
766,1230388
768,167176909
770,36453047
772,43146810
774,35951122
776,75730906
778,70681838
780,41157507
782,48533972
784,168140181
786,168136289
788,4298788
790,86249882
792,101851350
794,83087480
796,167131105
798,1073144
800,143928974
802,3681348
804,162277832
808,49342428
812,154797599
814,167168251
816,116816611
818,142278902
820,112036402
822,138390466
824,57311003
826,45021998
828,2569623
830,50687650
832,27242228
834,50889626
836,69890145
838,39401626
840,136425323
842,125785055
844,49140875
846,82048144
848,44793436
850,149171096
852,165817581
854,16821927
856,44072520
858,164544779
860,44730900
864,140679430
866,92318015
868,66338111
872,132622738
874,1051909
876,2454799
878,26869723
880,167918897
882,157922862
884,90265196
886,135078729
888,31535113
890,109041255
892,28450319
894,14484999
896,16728685
898,167881522
900,32115367
902,20655068
904,167881845
906,154081820
908,144164739
910,79877329
912,161614725
914,40071434
916,143962617
918,167882088
922,88271860
926,87825083
928,31210818
930,29766269
932,87351514
934,16036783
936,164749872
938,55297826
940,167857054
942,161649060
944,167871433
946,164365038
948,88898947
950,131342030
952,1174780
954,131630479
956,25429008
958,74146451
960,143676503
962,143565575
964,62519976
966,71431909
968,112851412
970,167789503
972,27634130
974,167806196
976,88836926
980,166323537
986,67676487
988,131839890
990,116330575
992,136821990
994,167683140
996,27620880
998,167688349
1000,165309540
1002,38877467
1004,133021330
1006,100209330
1008,125945000
1010,167722498
1012,1490557
1014,67815239
1016,167367818
1018,19469474
1020,167722611
1022,164589156
1024,116408479
1026,167590693
1028,97763318
1030,21559535
1032,147618106
1034,48885462
1036,19056919
1042,90780507
1044,158285762
1046,24063910
1048,167675758
1050,92308798
1052,93733134
1054,167639761
1056,77676244
1058,80083620
1060,52729063
1062,60470241
1064,1637263
1066,48078735
1068,15700690
1070,113423706
1072,167676317
1074,61112122
1076,165800515
1078,167747309
1080,155972733
1082,55758765
1084,156912239
1086,156900430
1088,82388549
1090,60840393
1092,167677254
1096,38630282
1100,157981613
1102,108799195
1104,145752033
1106,61455043
1108,14460925
1110,163178837
1112,152004107
1114,162685890
1116,85448903
1118,161840980
1120,156085622
1122,155762979
1124,156974570
1126,135976493
1128,136579264
1130,106055139
1132,33419572
1134,11928424
1136,116438065
1138,19575381
1140,119400250
1142,66129646
1144,121381405
1146,30255986
1148,145338196
1150,167689347
1152,153546651
1154,166145091
1156,157082653
1162,136840872
1164,81326309
1166,147369105
1168,34223904
1170,30679988
1172,51880242
1174,43427489
1176,167301719
1178,120430714
1180,133084392
1182,162606041
1184,52783273
1186,146544435
1188,105621694
1190,51964042
1192,22081323
1194,61315975
1196,162255998
1198,104520711
1200,48509881
1202,70635763
1204,110046780
1206,167627649
1208,69909704
1210,151403636
1212,163305790
1218,161481696
1220,157951159
1222,165646467
1224,36686582
1226,42610394
1228,158941076
1230,72016868
1232,165803074
1234,12590241
1236,72091310
1238,101704465
1240,79881097
1242,165503381
1244,87368470
1246,29290315
1248,108245467
1250,145090014
1252,65888141
1254,91840919
1256,164031486
1258,119860379
1260,145152947
1262,153316768
1264,55913773
1266,165872107
1268,151624452
1274,163460262
1276,49786341
1278,34658969
1280,160195105
1282,114725569
1284,80956905
1286,12939802
1288,158263762
1290,37674776
1292,166964765
1294,98966325
1296,166718925
1298,166754939
1300,104645948
1302,102948424
1304,159741532
1306,19144542
1308,56121426
1310,49459870
1312,110109744
1314,129965897
1316,33466880
1318,69571745
1320,41617063
1322,28431441
1324,22197591
1326,114284823
1330,149539350
1334,167859026
1336,165829063
1338,167963509
1340,163503927
1342,158416195
1344,159601648
1346,164958876
1348,166294993
1350,167417345
1352,164950071
1354,163171020
1356,164862462
1358,165387405
1360,167275089
1362,162333329
1364,165231609
1366,158347392
1368,158009324
1370,162713893
1372,167079789
1374,166294756
1376,167653254
1378,167050840
1380,167695073
1382,167459788
1384,168221216
1388,49767879
1392,146313860
1394,143031764
1396,157072008
1398,147013459
1400,128396728
1402,142063893
1404,127173187
1406,152647312
1408,148306129
1410,149232974
1412,134903348
1414,154773913
1416,150655112
1418,126976809
1420,151350254
1422,144376625
1424,134218566
1426,150777625
1428,147524933
1430,154591339
1432,157634095
1434,133573764
1436,146772222
1438,147373440
1440,153967741
1442,156237173
1448,151579772
1450,163337577
1452,82335177
1454,168147390
1456,168335797
1458,167442711
1460,167191145
1462,74512865
1464,167984295
1466,168298299
1468,167347160
1470,167152025
1472,168154547
1474,167439326
1476,167549149
1478,95322410
1480,167887142
1482,125579040
1484,89226107
1486,168123954
1488,120222885
1490,166429165
1492,167788388
1494,168325162
1496,168120262
1498,167108313
1500,95169418
1506,143814600
1508,153842017
1510,162017489
1512,160501533
1514,163854199
1516,165138091
1518,163990812
1520,164756733
1522,163219307
1524,164063694
1526,164648936
1528,163029145
1530,166145631
1532,165854630
1534,164504227
1536,159999804
1538,159928473
1540,161029490
1542,162805416
1544,165817039
1546,161754902
1548,161717479
1550,165004912
1552,165575755
1554,164562851
1556,164372151
1560,103027606
1562,148345567
1564,152848525
1568,154513749
1570,154957390
1572,150279916
1574,156529917
1576,155134909
1578,157154333
1580,156015684
1582,153962899
1584,159400427
1586,157171803
1588,153903355
1590,159234930
1592,158626330
1594,158249619
1596,158341358
1598,150011045
1600,153390356
1602,152348422
1604,149767639
1606,157214595
1608,150872212
1610,149460216
1612,159769509
1614,157061235
1620,161741320
1622,105378979
1624,166609492
1626,120899543
1628,119700945
1630,148262495
1632,133686469
1634,145172875
1636,139294908
1638,142929821
1640,144317402
1642,140496463
1644,126263086
1646,143740870
1648,145984969
1650,115988416
1652,137207507
1654,137556477
1656,128383519
1658,137973450
1660,133702023
1662,147773703
1664,146878234
1666,148974887
1668,134289928
1670,125342521
1672,146621682
1674,92412497
1678,138013206
1682,144991229
1684,114350811
1686,110303015
1688,167654330
1690,167226533
1692,110230555
1694,168281467
1696,168111248
1698,88409516
1700,168099675
1702,168281685
1704,86642651
1706,168108492
1708,100569109
1710,111357094
1712,167913070
1714,112420927
1716,168336126
1718,62930918
1720,168113177
1722,168266066
1724,96753656
1726,168269132
1728,46173897
1730,76842183
1736,163776909
1738,156693444
1740,101131929
1742,162926542
1744,165510437
1746,149683461
1748,138924234
1750,147837304
1752,145771884
1754,159088841
1756,144818515
1758,162327907
1760,151310582
1762,143265423
1764,163548415
1766,164015196
1768,162238174
1770,166126686
1772,166772850
1774,160257538
1776,164489628
1778,166183966
1780,166590739
1782,163619863
1784,165589396
1786,166680096
1788,146021625
1790,34395063
1798,135866229
1800,117208524
1802,70757840
1804,135940218
1806,165935943
1808,168077814
