,id
0,168337151
2,154147692
4,162877470
6,161844772
8,157276193
10,150396245
12,168329935
14,161186796
16,143152282
18,158644461
20,167490715
22,155510229
24,144642811
26,157805209
28,142800247
30,160864019
32,159472950
34,146691854
36,167438567
38,163179166
40,166648932
42,157261519
44,141635221
46,167694245
48,168262088
50,129780740
52,148909768
54,168215516
56,167140582
58,134999911
60,109227661
62,112630758
64,134635649
66,141596386
68,111742215
70,98293697
72,99232717
74,125285841
76,109878427
78,104951840
80,112821728
82,95273067
84,91623918
86,88870205
88,126624245
90,101314594
92,91899748
94,136337697
96,104568561
98,125179008
100,126263553
102,137273024
104,132562592
106,110415870
110,45515982
112,114759179
114,158840081
118,62340863
120,74492903
122,72199890
124,87250717
126,86767596
128,82139132
130,79987687
132,62345709
134,64548279
136,78727809
138,70204936
140,75304564
142,56461093
144,81583419
146,76614002
148,74678982
150,79578094
152,60498837
154,60332919
156,77472825
158,70801158
160,70518401
162,81714672
164,80353256
166,156533442
170,167684991
172,168185514
176,42805066
178,29727500
180,45526082
182,42808732
184,32815531
186,29166590
188,50279173
190,35587115
192,29112702
194,35248953
196,30250408
198,31355339
200,28582909
202,51909927
204,26945462
206,52328065
208,53226772
210,29470991
212,28163699
214,30661368
216,38043568
218,37682904
220,54595863
222,46067033
224,167913855
228,166442662
232,140129269
234,22437593
236,24627285
238,22892321
240,4167958
242,17803059
244,15179978
246,19557794
248,11954879
250,14201976
252,1943577
254,4975230
256,168224718
258,15162477
260,1895097
262,21732630
264,13125074
266,1840619
268,168353015
270,7564912
272,1355246
274,14904303
276,26217430
278,3806272
280,16872668
282,71400536
288,144780989
290,162277832
292,158828846
294,164166701
296,165813818
298,163032854
300,156564035
302,158483479
304,162623789
306,164263064
308,161535954
310,165746457
312,164464568
314,165614093
316,159067415
318,161362047
320,163831694
322,159545304
324,165809568
326,155848558
328,164551038
330,159963405
332,161058994
334,159264728
336,163492875
338,161901373
340,159343158
342,87825083
346,146313860
350,150812315
352,154557961
354,147109114
356,149865313
358,153861163
360,152860412
362,146379998
364,150816069
366,149466361
368,148113312
370,155322303
372,155065802
374,147082936
376,146530451
378,150927120
380,146678937
382,149773265
384,154297502
386,147357325
388,155426981
390,153352238
392,151712947
394,152495127
396,147810006
398,135870308
400,131962564
402,149702426
408,132226977
410,142812850
412,127049054
414,135069046
416,124688450
418,143492572
420,142882262
422,144600732
424,144231926
426,126615060
428,144346322
430,146279806
432,145174095
434,141740421
436,141898180
438,135363408
440,126312712
442,144129811
444,144745161
446,126389548
448,143176901
450,136905660
452,136041552
454,130962285
458,160416519
460,167913808
462,165648010
466,109709548
468,114645787
470,122228317
472,116696356
474,122324625
476,116955148
478,113061461
480,113445004
482,113732496
484,122182013
486,112235669
488,114224061
490,119233126
492,120682742
494,112773480
496,116420537
498,108680380
500,124588304
502,121430143
504,112046350
506,122884547
508,114743359
510,111345814
512,117513346
516,46949605
518,145201384
520,110473093
524,100194462
526,100522707
528,97928372
530,99670101
532,107724962
534,106078009
536,106816133
538,107702818
540,104095022
542,98214236
544,102895840
548,105296307
550,95132451
552,99157893
554,104422500
556,106237164
560,101928255
562,104338175
566,102899675
568,98771450
570,95923929
572,150512261
574,72756517
578,95332219
582,95055316
584,79559495
586,79035313
588,83427362
590,80400035
592,81289661
594,94778986
596,85342458
598,79127262
600,90428176
602,84676660
604,89398879
606,82423457
608,84888046
610,94401197
612,89567106
614,89142006
616,90273058
618,93440681
620,89839526
622,87360760
624,84246170
626,89440860
628,80785305
630,123395151
632,155065572
636,125348869
640,67711585
642,60181091
644,77004262
646,63710780
648,71578108
650,75582225
652,77212482
654,75094603
656,70459172
658,70147529
660,78895891
662,62656880
664,65224305
666,70109672
668,78140806
670,75608698
672,65884222
674,65864595
676,76834162
678,67228568
680,62221613
682,72573998
684,62663933
686,66090279
690,161457871
692,140485229
694,12548656
698,54420134
700,48602799
702,42629642
704,53238831
706,42113555
708,49991163
710,48953216
712,51552058
714,47561243
716,43652501
718,43537015
720,58256258
722,53279175
724,55323333
726,51456311
728,55319826
730,50327295
732,52637679
734,51273335
736,51842991
738,48589300
740,57374115
742,43773336
744,45874279
748,165823101
752,131330664
754,152469392
756,32686294
758,35049055
760,32322451
762,34283946
764,34947863
766,39716040
768,34761535
770,36477011
772,40865551
774,41319847
776,37211289
778,36512115
780,36903629
782,32414761
784,30785588
786,34557537
788,42014740
790,31571057
792,38836726
794,33403985
796,37469515
798,41328117
800,35398237
802,38240366
806,58136606
810,102811355
812,143026275
814,28741668
816,27476295
818,23291743
820,26732354
822,25912875
824,27001302
826,23904855
828,29283012
830,22352572
832,29547334
834,26026553
836,22138747
838,28666475
840,30471589
842,26427998
844,25577814
846,28713410
848,22229049
850,26861573
852,26591250
854,30220223
856,24387079
858,27811628
860,25669373
862,166920613
864,159694167
866,44312581
872,20009014
874,14832278
876,12633840
878,21362313
880,21550603
882,13385552
884,17947296
886,15083153
888,22058975
890,17399603
892,16264808
894,12360109
896,21779374
898,18761834
900,19953281
902,18205051
904,14935872
906,12563830
908,18799373
910,18482479
912,19353686
914,19716211
916,19103636
918,20027294
924,149956485
926,115116926
928,105389131
930,164693438
932,155846702
934,4691498
936,160635377
938,155296020
940,164363299
942,5147835
944,3378444
946,2178938
948,1794600
950,5326138
952,1524716
954,12060929
956,164473663
958,1781580
960,168227063
962,162374532
964,1344766
966,168258185
968,165574379
970,1229215
972,168119044
974,8368824
976,2455592
982,141863840
986,157556281
988,122070419
990,104666736
992,150442206
994,143264793
996,142964030
998,116730282
1000,148985893
1002,148467277
1004,150729892
1006,150642625
1008,112566729
1010,131743127
1012,128071446
1014,155221104
1016,148103665
1018,147262710
1020,124525735
1022,149671021
1024,120368291
1026,154146834
1028,141649662
1030,112787336
1032,148256126
1034,143419256
1036,49974947
1040,134253309
1042,98996020
1046,102309527
1048,91658810
1050,78504085
1052,94920554
1054,80009128
1056,53610328
1058,81808455
1060,88266177
1062,74865856
1064,78371172
1066,99337740
1068,54996563
1070,58673943
1072,83967932
1074,52863631
1076,91574547
1078,93416408
1080,61612652
1082,76642832
1084,90983449
1086,52746223
1088,81094263
1090,60469588
1092,81826033
1096,49767879
1098,163872707
1102,40393084
1104,31665395
1106,24217410
1108,29458237
1110,42117430
1112,42857815
1114,30070397
1116,28549392
1118,40951929
1120,26663089
1122,40583572
1124,44502377
1126,49155146
1128,30141100
1130,33025652
1132,49183139
1134,49003754
1136,41538911
1138,43439499
1140,28046625
1142,30315726
1144,29951732
1146,43923805
1148,36796241
1150,29434828
1154,54898225
1156,149780976
1160,38630282
1162,152008925
1164,131704412
1166,146689905
1168,139333036
1170,115275358
1172,160114820
1174,151908719
1176,154511779
1178,130441294
1180,114479116
1182,157718522
1184,118872985
1186,156081286
1188,154892552
1190,112007714
1192,118516515
1194,150789331
1196,140094114
1198,119398442
1200,158002814
1202,131629316
1204,152757038
1206,134485814
1208,135794943
1210,168221216
1212,121329667
1218,45707914
1220,73486998
1222,61044370
1224,111070746
1226,89970222
1228,76599537
1230,54417657
1232,71787076
1234,60952870
1236,103661266
1238,86227977
1240,81589919
1242,109679314
1244,62138159
1246,106472528
1248,57719160
1250,54871755
1252,109647707
1254,76918511
1256,60231277
1258,69917865
1260,76086583
1262,83479335
1264,61952156
1266,74866250
1268,157784302
1272,30573730
1276,168187188
1278,20297348
1280,27664470
1282,52143015
1284,24298006
1286,52922684
1288,41520483
1290,36274284
1292,24086399
1294,18183918
1296,16810470
1298,26787637
1300,50352732
1302,29960415
1304,22430393
1306,31521755
1308,48418743
1310,43411555
1312,35952682
1314,50911641
1316,42800819
1318,51276189
1320,31563336
1322,20825057
1324,54020614
1330,148172372
1334,146464125
1336,142574563
1338,120097642
1340,168048950
1342,158836433
1344,13592166
1346,151074904
1348,129976289
1350,146662692
1352,166711801
1354,12235824
1356,135772458
1358,168053199
1360,1350319
1362,14904507
1364,95809686
1366,142068864
1368,16607056
1370,99202432
1372,136202718
1374,99799803
1376,97561074
1378,116630130
1380,161508669
1382,145953602
1384,87275527
1386,141902680
1388,112475651
1394,80490356
1396,18345518
1398,18383244
1400,72025618
1402,82261630
1404,95375007
1406,40002109
1408,52692979
1410,23753218
1412,27631994
1414,34557718
1416,62389254
1418,37718955
1420,33670228
1422,74649862
1424,32012584
1426,83957873
1428,46934925
1430,17429883
1432,37328109
1434,16616036
1436,54286563
1438,39871017
1440,23043110
1444,153075109
1446,143525323
1448,163220470
1452,74282030
1454,155895535
1456,139740170
1458,98165609
1460,72250437
1462,3927557
1464,113646369
1466,162923295
1468,89176158
1470,11510021
1472,168185609
1474,168110966
1476,148553026
1478,14479725
1480,168124432
1482,142159637
