,id
0,168337151
2,105136729
4,144702453
6,157876837
8,89478709
10,141681049
12,114651282
14,163959992
16,96302970
18,138426984
20,129611184
22,161442660
24,159650620
26,145795794
28,148895189
30,167063228
32,134652246
34,155399098
36,101026251
38,88722879
40,98385689
42,92521668
44,137317346
46,100478612
48,165743837
50,150512261
52,168215516
54,154392874
56,137550592
58,167140582
62,55211742
64,86163714
66,83860854
68,23062171
70,41434003
72,29828459
74,42596992
76,33727548
78,48759305
80,86039037
82,77374251
84,80721283
86,69335006
88,68475178
90,50157434
92,60771606
94,22434631
96,43433262
98,20888297
100,51779500
102,31296658
104,85836890
106,82125259
108,73573346
110,162738805
112,144307752
114,167491917
122,147210477
124,16593250
126,20656425
128,166598587
130,163254223
132,163905802
134,139629312
136,131597126
138,167990834
140,166543899
142,142122638
144,119810865
146,167185252
148,125538430
150,19594023
152,122240870
154,122356261
156,117933081
158,141688657
160,156891951
162,164258471
164,161491439
166,155069498
168,154767140
170,168150906
172,135654136
174,148345567
182,113363318
184,116108623
186,101677121
188,73382648
190,85473681
192,95516100
194,72751350
196,77026250
198,115904225
200,95411696
202,71712316
204,87034127
206,73998593
208,108054154
210,76896102
212,74877973
214,108322723
216,109373196
218,113699230
220,95283621
222,89808853
224,107979806
226,86418884
228,91526295
230,88271860
232,142848442
238,106870189
242,37398477
244,58427305
246,38861927
248,70083056
250,36221880
252,48082266
254,70030551
256,50104635
258,71448046
260,59027342
262,70378757
264,34951706
266,53149401
268,48607286
270,60129763
272,38747215
274,66935734
276,49572454
278,43500742
280,67771942
282,56436120
284,68213326
286,40646807
288,35450386
292,147477878
296,131962564
298,101654905
302,30508603
304,30496369
306,24617992
308,27974663
310,20106767
312,2399498
314,26065971
316,2233885
318,4481844
320,29256735
322,31736375
324,28977641
326,32650803
328,27619644
330,23538748
332,19688255
334,23343741
336,32545785
338,30200986
340,32674431
342,2561583
344,22433243
346,15633027
348,30754147
350,143026275
354,165512215
362,46898793
364,88920643
366,111898638
368,81105793
370,94965330
372,58421815
374,148896367
376,89133484
378,92451427
380,120145135
382,58772951
384,54638503
386,163224075
388,86644538
390,69756319
392,49571223
394,134636753
396,80045905
398,1594161
400,70581448
402,116481866
404,158138024
406,158373991
408,91309932
412,146313860
416,35030670
422,25632524
424,23640713
426,25653864
428,154792179
430,161678972
432,29110277
434,42346233
436,30586545
438,25985437
440,30254701
442,28688823
444,40098156
446,116224576
448,163737213
450,13328987
452,138926574
454,119306453
456,159928868
458,18492029
460,31850542
462,40666558
464,32247809
466,147370229
468,27054171
472,109379425
474,167517733
478,142074059
482,166811328
484,155714140
486,42594309
488,59842013
490,29122634
492,104736298
494,4131777
496,4125108
498,53781332
500,161979389
502,56158958
504,47855918
506,39653338
508,75983242
510,18319128
512,39915998
514,46811332
516,6918530
518,45710451
520,49632732
522,168113612
524,151135998
526,39514370
528,115415882
530,148272954
534,151149908
538,147739893
542,56268527
544,18139202
546,92833300
548,2140419
550,153070442
552,152922618
554,118029612
556,1351201
558,140843583
560,106863264
562,60599784
564,90603775
566,165631318
568,97146994
570,21857706
572,105473843
574,121697412
576,3325267
578,165605912
580,131518511
582,46020034
584,134303312
586,26704311
588,52647940
592,102811355
594,143843510
598,135970725
602,20868832
604,45543283
606,112955854
608,47830111
610,104356558
612,75418268
614,26329118
616,90053644
618,130962065
620,58577896
622,111382321
624,76095866
626,88391672
628,56564845
630,5223711
632,68079577
634,20796424
636,154859013
638,113173024
640,71851765
642,35623427
644,63608670
646,78333574
648,91002842
652,112301824
654,164544779
656,146558552
662,58766124
664,23451533
666,112407747
668,20611091
670,83464351
672,90422897
674,47131145
676,41679757
678,95606156
680,41910472
682,126021482
684,165017959
686,161782652
688,41705163
690,4849737
692,19639648
694,20219930
696,100590841
698,34809796
700,165949910
702,107408374
704,152233470
706,168012832
708,165492631
714,29270824
716,92412497
718,164594753
722,145372446
724,26545805
726,165885155
728,125585274
730,109538026
732,31514918
734,80898734
736,148672000
738,36793871
740,45578443
742,43908710
744,73460742
746,90181330
748,74878796
750,164148381
752,141826825
754,75714300
756,74864197
758,92949773
760,167305367
762,33951681
764,41715890
766,146159572
768,38456209
774,26592610
778,71122452
782,69460944
784,97437748
786,157707188
788,12898385
790,1347261
792,34059683
794,105534675
796,167332377
798,90570083
800,117320856
802,25187421
804,14288532
806,3047115
808,48968904
810,83794042
812,155589374
814,75958891
816,125767521
818,119620601
820,106693622
822,27245039
824,93314460
826,119177283
828,166548804
832,112944689
834,167731984
842,113958788
844,3667549
846,43927042
848,101666756
850,44761514
852,29494646
854,57673010
856,12437188
858,74069557
860,122582398
862,57788057
864,70930482
866,143346181
868,149753021
870,115182946
872,152155511
874,167138395
876,166842951
878,144597037
880,1212060
882,16446349
884,134419933
886,156015540
888,81849218
892,108867175
894,154441117
896,167054193
902,139546907
904,157827267
906,32678046
908,112720374
910,29985880
912,19933064
914,55067277
916,116951369
918,39721517
920,4970880
922,49970982
924,97003188
926,49303193
928,35438005
930,164390895
932,167013920
934,43115423
936,50564984
938,148291908
940,167141446
942,151168754
944,103812602
946,63223232
948,48908696
952,134538132
954,108799195
956,38630282
962,165202431
964,17702703
966,41937697
968,168300129
970,157891755
972,168180965
974,105887198
976,167994680
978,168313295
980,51499142
982,47489526
984,39563363
986,168042469
988,79843722
990,168379015
992,167664772
994,105526663
996,168359278
998,167190182
1000,164877614
1002,167716811
1004,134636580
1006,168191166
1008,162524070
1012,140679430
1014,92318015
1016,117485969
1022,166289713
1024,163160752
1026,141175622
1028,159844910
1030,161098711
1032,156935768
1034,156199308
1036,123086308
1038,160748727
1040,163434953
1042,164193923
1044,164298646
1046,125661292
1048,151229509
1050,151138228
1052,159192769
1054,165184717
1056,145684501
1058,163199395
1060,165481783
1062,144582842
1064,166731910
1066,149800300
1068,166850484
1072,167310059
1074,110746417
1076,86996420
1082,168190168
1084,110065553
1086,168224983
1088,168119946
1090,168354793
1092,168098194
1094,168298066
1096,168312242
1098,168175176
1100,168014623
1102,167877129
1104,168369290
1106,168261208
1108,168296581
1110,168358444
1112,168217452
1114,168369109
1116,168357346
1118,168112122
1120,120438230
1122,168349828
1124,167991947
1126,168316968
1128,168325068
1130,141525291
1138,131216588
1142,165945439
1144,163095043
1146,167520303
1148,164052740
1150,165131789
1152,166145091
1154,166933104
1156,167170807
1158,166098980
1160,162239831
1162,163120090
1164,166016941
1166,163403066
1168,162698258
1170,164958658
1172,164914782
1174,166125245
1176,166398186
1178,166713284
1180,164816156
1182,164002432
1184,165418021
1186,167273292
1188,166905638
1198,95509370
1202,147577860
1204,148494885
1206,153280918
1208,151204832
1210,150119917
1212,154591020
1214,160930887
1216,148607975
1218,161186063
1220,161035490
1222,155313884
1224,158472796
1226,155069270
1228,149665797
1230,153037733
1232,156911535
1234,150441099
1236,160459135
1238,144799041
1240,154160885
1242,161028471
1244,156101636
1246,147124675
1248,159973014
1250,123395151
1254,158840081
1256,161457871
1262,115550027
1264,132407404
1266,168274867
1268,74672025
1270,133791418
1272,168113472
1274,133287145
1276,138204462
1278,168109902
1280,84051547
1282,93355509
1284,168275571
1286,168284974
1288,89227027
1290,122215952
1292,100351381
1294,168271099
1296,168112989
1298,116190915
1300,91569482
1302,71432399
1304,132499353
1306,144737896
1308,168105166
1314,162855846
1316,165445450
1318,166542008
1322,168239245
1324,160208590
1326,46676318
1328,155619933
1330,61782048
1332,97360097
1334,167600187
1336,165596355
1338,151375095
1340,168248874
1342,166057368
1344,112532785
1346,155951603
1348,167664551
1350,118905810
1352,151634826
1354,153330913
1356,135171831
1358,168251193
1360,145500185
1362,161588400
1364,101355582
1366,135047095
1368,159150348
1370,139495326
1372,60427646
1376,136214240
1382,164769807
1384,168234792
1386,168073092
1388,168164010
1390,150201603
1392,167092490
1394,164016095
1396,143254150
1398,146136983
1400,144180840
1402,166811952
1404,168074772
1406,167548343
1408,161618725
1410,133705954
1412,167881584
1414,162709561
1416,164872013
1418,152880716
1420,165819295
1422,166196456
1424,166628801
1426,167184182
1428,147553405
1432,49342428
1434,12548656
1442,151204654
1444,159941407
1446,167950679
1448,167936695
1450,162519536
1452,134023001
1454,168139765
1456,168148383
1458,113762405
1460,161113411
1462,168218202
1464,134134342
1466,167983491
1468,165200415
1470,167930024
1472,160702302
1474,168170838
1476,134280763
1478,168140717
1480,132400105
1482,167989667
1484,168071699
1486,162853620
1488,135940742
1492,107798432
1496,107752651
1502,156374434
1504,155835639
1506,157143780
1508,149145939
1510,167821139
1512,163151598
1514,98550105
1516,68927420
1518,159672214
1520,168118558
1522,167864891
1524,151445231
1526,168122392
1528,100855332
1530,148868685
1532,159963571
1534,155988135
1536,148249823
1538,124793917
1540,155368148
1542,168098720
1544,167874302
1546,138785771
1548,168034239
1554,137219660
1556,149346415
1558,124884217
1562,139403227
1564,164467503
1566,114647369
1568,158724987
1570,166180043
1572,165718958
1574,104008079
1576,167816316
1578,167977445
1580,167777884
1582,162740194
1584,160204566
1586,106053950
1588,167980693
1590,167773336
1592,143499266
1594,128274751
1596,122977658
1598,75408888
1600,167931741
1602,167803537
1604,150744709
1606,168074867
1608,149461825
1610,116787724
1614,157556281
1616,136312749
1622,98765430
1624,148686166
1626,167884884
1628,153791379
1630,166793775
1632,167679792
1634,167904254
1636,155450847
1638,167877273
1640,122480392
1642,97800866
1644,114937776
1646,165099013
1648,115412174
1650,160840478
1652,167214065
1654,157494980
1656,166015349
1658,150819860
1660,167839805
1662,164204547
1664,167646599
1666,167634668
1668,133567052
1672,96824192
1676,159694167
1678,112475651
1682,159418927
1684,149152784
1686,161867174
1688,166079617
1690,122677431
1692,153853672
1694,167650079
1696,153666936
1698,146247045
1700,160324688
1702,150862509
1704,167651676
1706,167614536
1708,153316229
1710,147515075
1712,143990915
1714,158510938
1716,112194901
1718,165344265
1720,156760784
1722,153541720
1724,106329760
1726,164800002
1728,149396705
1730,125800975
1736,161045684
1738,135855304
1742,113612723
1744,166236614
1746,167518292
1748,151310052
1750,110725084
1752,136570312
1754,127687840
1756,167744388
1758,167702440
1760,167557265
1762,149094275
1764,167705354
1766,167699089
1768,167707439
1770,167512701
1772,167544937
1774,167505173
1776,167517584
1778,103083192
1780,167754138
1782,157590076
1784,107466003
1786,144573400
1788,146614425
1794,152729032
1802,167461273
1804,159891433
1806,150450105
1808,167435125
1810,167443919
1812,165198882
1814,167476644
1816,165940691
1818,152581267
1820,167463108
1822,167440180
1824,125567394
1826,167509642
1828,167439386
1830,133165641
1832,164495263
1834,167626384
1836,167612381
1838,131227792
1840,162181256
1842,107867493
1844,167621663
1846,167435372
1848,165202693
1850,167041481
1854,154797599
1856,165159692
1862,167337034
1864,167616828
1866,167533793
1868,167335825
1870,142246503
1872,167321459
1874,165422700
1876,159079485
1878,167370195
1880,167318391
1882,167361508
1884,164793855
1886,165229188
1888,164377461
1890,167311763
1892,167312109
1894,167603229
1896,167319819
1898,156115854
1900,163029513
1902,163819890
1904,148569800
1906,165472315
1908,167321758
1910,168261543
1912,168283531
1918,137558953
1922,156759927
1924,167218831
1926,167194562
1928,155747448
1930,167457221
1932,165900129
1934,167304486
1936,167243785
1938,133083909
1940,167204391
1942,167253590
1944,167145476
1946,166072917
1948,167439728
1950,165753416
1952,161142617
1954,167216462
1956,164407889
1958,152026563
1960,167153681
1962,167205903
1964,167176293
1966,167305551
1968,135958627
1974,152199071
1976,137548991
1978,40393084
1982,167129502
1984,167141779
1986,150950756
1988,125142170
1990,148316352
1992,167282956
1994,100647720
1996,156148613
1998,147260473
2000,167095668
2002,167048332
2004,140529859
2006,161654254
2008,98230143
2010,158400444
2012,128991614
2014,154838602
2016,152061999
2018,164200400
2020,167071393
2022,167079363
2024,120090473
2026,167113275
2028,167177195
2032,163847778
2034,45515982
2038,164693341
2042,149478985
2044,111608903
2046,167075287
2048,105079401
2050,166827418
2052,166960805
2054,166980955
2056,166830478
2058,166814716
2060,166871495
2062,167162705
2064,167087413
2066,146546879
2068,92126303
2070,166416015
2072,165668457
2074,167218520
2076,167109984
2078,166907895
2080,166874550
2082,166358652
2084,166914292
2086,166963015
2088,166874851
2092,153700188
2094,153842017
2096,71347923
2102,166779333
2104,166713585
2106,168363061
2108,153310005
2110,167001290
2112,167412431
2114,166987835
2116,167681625
2118,167388669
2120,166663842
2122,168379977
2124,166954877
2126,61599516
2128,166965288
2130,149263362
2132,166988418
2134,166839752
2136,134014223
2140,166210613
2144,165648295
2152,146710148
2156,78039048
2160,167338237
2164,61048310
2172,47427495
2176,117051829
2180,120397033
2186,115490140
2188,85699316
2190,139485562
2196,156533442
2200,67676487
2204,164781187
2210,165052468
2212,149527926
2216,102335047
2224,73438930
2226,167348392
2234,103896936
2238,163249797
2240,162277832
2244,159153191
2246,151013771
2250,67035874
2258,100817227
2260,165419492
2262,108733938
2270,163851530
2272,154638213
2276,149251141
2292,153499197
2304,92016160
2306,52913078
2310,113504750
2332,57223892
2334,146575172
2342,103027606
2346,148115576
2348,145336706
2352,166609492
2354,161481696
2360,163460262
2366,140129269
2368,134678537
2370,159343158
2380,142178435
2382,148967616
2384,111557763
2388,149282325
2390,125275776
2396,161512676
2400,149360220
2406,153962428
2408,154554023
2414,165212899
2416,163776909
2420,49786341
2424,167298894
2426,118000968
2430,36400972
2438,153139669
2440,34395063
2450,166323537
2452,157373595
2454,116181444
2462,108231785
2464,134703147
2472,150247006
2480,151403636
2488,73588434
2496,146650584
2502,151987851
2504,30973143
2510,122543321
2514,81912212
2516,154753603
2520,148172372
2526,112733945
2532,80492886
2536,155784405
2546,58828399
2560,166737177
2564,143048545
2568,163334461
2572,133753346
2574,68779186
2580,120476251
2582,156693444
2586,101131929
2594,155839384
2596,52215470
2606,76791065
2608,72766259
2610,166768393
2622,144991229
2624,146464125
2636,81311125
2640,162234215
2644,160431801
2648,142080856
2652,161535362
2654,108546141
2666,122384145
2672,125348869
2676,144780989
2696,166801701
2702,165351716
2704,147446521
2706,166442662
2712,134253309
2714,143307257
2716,160153589
2724,107401715
2726,95169418
2730,164797862
2736,150157211
2738,159255871
2742,150482404
2750,165823101
