,id
0,168337151
2,152558729
4,168141012
6,143375276
8,144581524
10,165605469
12,154441117
14,167910405
16,168007672
18,151149908
20,160908984
22,167978650
24,168067721
26,168127898
28,167698727
30,160265272
32,163249759
34,156532232
36,165052468
38,157054056
40,149956485
42,162329582
44,162845622
46,153546837
48,167140582
50,168215516
52,163249797
54,147739893
56,79728427
60,135749528
62,143072905
64,95332219
66,91721853
68,112798697
70,109452265
72,120016541
74,122451307
76,108733938
78,134074756
80,137314966
82,136153261
84,101869821
86,100817227
88,135886287
90,90498187
92,127138648
94,142235456
96,117051829
98,112475113
100,123175231
102,115897113
104,94140693
106,101320336
108,101611359
110,158263171
112,154392874
120,33980747
122,57173891
124,77674119
126,81013957
128,39499547
130,72668596
132,70709817
134,31210818
136,67676487
138,168260823
140,65054258
142,71694643
144,57223892
146,166551424
148,69651047
150,65239836
152,89928847
154,71122452
156,71347923
158,155670087
160,164653833
162,153842017
164,35914198
166,54644176
172,153696401
174,162452698
176,129780740
180,113784763
182,148909768
184,167517733
186,142471374
188,142591680
190,127356896
192,109115431
194,148174154
196,120789119
198,34458434
200,162236767
202,35567262
204,150675590
206,144128679
208,138877171
210,167272150
212,152469392
214,139046566
216,148678017
218,68779186
220,143530155
222,143915378
224,145630446
226,168208128
230,153700188
234,63989367
236,135938013
240,112799636
242,103663366
244,167192170
248,167166386
250,118836368
252,167054430
254,147282624
256,133220278
258,167039606
260,167046918
262,167406194
264,167123410
266,160613760
268,167202974
270,105082816
272,130210886
274,167220122
276,166991760
278,150817810
280,154350942
282,167165446
284,167081776
286,149780976
288,120057924
292,40393084
296,152199071
300,167951669
302,98623721
304,142178435
306,163204945
308,161431995
310,29270824
312,150883265
314,40567534
316,63363499
318,148622619
320,137528951
322,167950575
324,167971047
326,94815528
328,96578944
330,167850836
332,28293265
334,168151351
336,90754528
338,156282875
340,26653236
342,153503231
344,96354048
346,157556281
348,139485562
350,108546141
354,158860997
360,142848442
362,151428032
364,101284810
366,42885542
370,148540306
372,149539350
374,162129590
376,125602660
378,167677115
380,111781900
382,143307257
384,156078827
386,142816570
388,125634512
390,113370727
392,143071390
394,163294619
396,29615618
398,109411618
400,135094909
402,162130588
404,167784399
406,53417530
410,71400536
412,151135729
414,64852956
420,112733945
422,54320039
424,167338237
426,55597319
428,150580307
430,167395293
432,75771734
434,108222258
436,98044403
438,167435157
440,70467279
442,109210029
444,95414129
446,164961821
448,167510740
450,135970725
452,139495326
454,167436070
456,165674616
458,72756517
460,165400466
462,167325904
464,167398736
466,167326128
468,128708777
470,95509370
474,162316771
480,131330664
482,109843748
486,166788389
488,34395063
496,167039077
500,150058505
510,167200601
512,143247743
516,139139281
522,167039820
530,40630078
532,161564950
544,166906605
548,166823879
550,166863914
554,166906159
558,150621835
560,166824425
564,166865656
568,166865696
570,166864256
572,166906105
574,166967181
578,166824394
584,59964126
586,167217437
590,139483789
592,154534922
596,166739281
600,166823741
602,167394005
604,168044191
606,66651164
608,166823151
610,166823058
612,166754380
614,166760445
616,166822883
618,155978206
620,134735503
622,166779474
624,168254037
626,163250293
628,156692578
630,166823106
632,99990267
634,166822705
636,166739535
638,166739303
640,166674837
642,166782759
644,166739014
646,167926779
648,156237173
652,158745529
656,146650584
660,167393619
662,167765106
664,167258560
666,168368206
668,167846480
670,168189270
672,167884827
674,168142151
676,167830440
678,168299097
680,168368067
682,167946534
684,168033293
686,167998771
688,167860321
690,168148165
692,167918999
694,168306961
696,168291091
698,167739920
700,168057348
702,167863505
704,168102964
706,162277832
708,103115564
710,124884217
718,167370764
720,167494965
722,167729649
724,167325130
726,165819359
728,165571412
730,166255627
732,167491917
734,167589383
736,166372929
738,166984532
740,167495213
742,167436082
744,167665892
746,167067900
748,167370664
750,166296968
752,165904029
754,166801701
756,165983672
758,166737177
760,165685192
762,167309986
764,167656049
766,98996020
768,47465719
772,160153589
778,162908274
780,162992042
782,165017130
784,165350629
786,162491348
788,161791859
790,163748830
792,163832342
794,164136811
796,163753955
798,162169796
800,164653841
802,163638672
804,164200752
806,165140877
808,164743870
810,163717753
812,162996948
814,162997891
816,163421223
818,163334461
820,164907964
822,163636408
826,144780989
828,163872707
830,167798506
836,146169214
838,151944490
840,155839384
842,159962616
844,153435518
846,99960494
848,140366164
850,167693114
852,145097540
854,156299498
856,167764416
858,160602232
862,164240342
864,154512396
868,147554524
870,148172372
872,167761752
874,150544206
876,116181444
878,154425632
880,149778478
882,152749538
888,139093987
896,143497667
898,134703147
900,138538631
902,145427322
904,144340702
906,149146517
908,131962564
910,148471278
912,134058967
914,144409865
916,144307752
918,152113253
920,135870308
922,138743067
924,149549598
926,143031038
930,139365235
932,143198738
934,149621532
936,119311929
938,125800975
940,147446521
942,134350751
944,163301986
950,90169591
952,167655497
956,92003928
958,168255378
960,89004232
962,101793934
964,168126889
966,115382103
968,168307020
970,105876188
972,75303729
974,102335047
976,100513091
978,62330853
980,115603266
982,88510226
984,68265605
986,168223202
988,168322342
990,168301679
992,110398070
994,168278069
996,118560014
998,77380714
1000,115116926
1002,116684911
1010,94581065
1016,160286655
1018,167066792
1020,160052654
1022,162525073
1024,167338516
1026,158275356
1028,168111651
1030,159497675
1032,164778699
1034,161535362
1036,160087487
1038,165263270
1040,159904669
1042,167695089
1044,155451102
1046,168105293
1048,166210613
1050,162267150
1052,168046257
1054,162170443
1056,166945672
1058,168007871
1060,167481699
1062,155206377
1066,147413208
1068,111557763
1070,38283281
1076,168296333
1078,133374781
1082,120347465
1084,153994055
1086,145757356
1088,135855304
1090,151579772
1092,52640370
1094,105707841
1096,96124610
1098,101866688
1100,141960809
1102,153390571
1104,119578851
1106,149336429
1108,134853495
1110,168252959
1112,144149501
1114,153408437
1116,134039151
1118,142074059
1120,150414002
1122,147588727
1124,166923985
1126,133165641
1128,144962148
1136,168077367
1138,167991339
1140,168139574
1142,161149493
1144,160645229
1146,167830375
1148,166081578
1150,167447819
1154,165550825
1156,166665025
1158,168240924
1160,159193630
1162,166175651
1164,167216721
1166,164341007
1168,161114067
1170,166850491
1172,156533442
1174,163130898
1176,161875746
1178,166138124
1180,162013581
1182,160466006
1184,148272954
1186,154833368
1188,137856019
1198,123471448
1202,167059452
1210,166323537
1220,164198624
1224,164651215
1232,167946910
1234,167527161
1238,167092054
1240,167568425
1242,162351455
1244,161216287
1248,164011002
1250,164797862
1252,167724068
1254,162897089
1256,71408621
1258,68424247
1260,133776784
1262,155885181
1264,168090479
1266,124684133
1268,125395491
1270,162081581
1272,163102173
1274,161510936
1276,157957142
1278,90010937
1280,142080856
1282,143843510
1284,160431801
1294,95584823
1300,134014223
1304,167960521
1306,163608321
1308,167055237
1310,167664760
1312,159879634
1314,152632700
1316,150127599
1318,143609026
1320,161814620
1322,159822834
1326,160463661
1328,114284823
1330,149527926
1332,117236723
1334,167792514
1336,160962695
1338,154614784
1340,167980063
1342,118951599
1344,167376584
1346,167825226
1348,166177465
1350,164816843
1354,149702426
1358,154999781
1364,167738658
1366,143027134
1368,167916700
1370,167625198
1372,167707147
1374,167562974
1376,167907829
1378,164474033
1380,167851286
1382,145141930
1384,167744781
1386,167174051
