,id
0,168337151
2,88123250
4,108736143
6,139590092
8,117840953
10,94995481
12,161811178
14,142893893
16,114368210
18,164291845
20,150450757
22,133567022
24,119168434
26,113893346
28,87039948
30,84492268
32,101007564
34,168175824
36,102101033
38,166825646
40,160775094
42,158133860
44,111517868
46,117370703
48,113123114
50,86996420
52,167140582
54,156975592
56,114759179
58,168215516
62,53453034
64,80525600
66,48211128
68,35035914
70,81837832
72,36810946
74,47708960
76,26548178
78,24531961
80,33161233
82,37841142
84,38837357
86,67928570
88,60044825
90,35380918
92,77170920
94,35053449
96,73202356
98,53544461
100,79848101
102,61662202
104,62969008
106,76791065
108,54389234
112,135011874
114,150985290
116,149539350
122,151953079
124,167125461
126,168187577
128,17485064
130,152432943
132,163127957
134,154762767
136,152038423
138,161748794
140,18826595
142,168128760
144,157670844
146,165015821
148,2372774
150,168143171
152,1178699
154,161815598
156,1368002
158,161918788
160,158770424
162,9094738
164,168144136
166,168143119
168,15579180
170,116181444
174,149702426
178,134538132
182,107021308
184,143127163
186,111084676
188,102608198
190,105986830
192,118926160
194,103233960
196,136608533
198,116573867
200,101843660
202,101058437
204,121371914
206,121659456
208,108743072
210,114462625
212,104273107
214,147696117
216,107872474
218,100074011
220,133056358
222,150897469
224,142846305
226,148934372
228,123429948
232,52215470
234,157981613
238,150247355
242,82261174
244,80536932
246,90255423
248,93309809
250,91504009
252,89002020
254,94180930
256,72518622
258,88537645
260,94408809
262,81248714
264,77254194
266,84178936
268,81093934
270,88687667
272,82916584
274,81912212
276,82382276
278,97419966
280,76675349
282,93140094
284,75324524
286,97811862
288,77967898
290,165680472
296,101606502
298,167348392
302,47803227
304,56479760
306,58120066
308,45596300
310,58269412
312,70914193
314,50559769
316,55180024
318,50212948
320,65682211
322,50307044
324,45121343
326,65315834
328,60787204
330,56440479
332,60654882
334,47398092
336,68986349
338,55760799
340,69567614
342,50978846
344,44635677
346,49172790
348,70953053
350,148172372
352,145171397
356,165159692
362,28218152
364,41616285
366,21995366
368,18756256
370,33680730
372,42607866
374,17606545
376,33746219
378,25841649
380,31537595
382,26246987
384,25115504
386,15889751
388,40739684
390,18668971
392,38999793
394,23789707
396,25357595
398,18389656
400,29901830
402,20086457
404,15434369
406,41314535
408,34812789
410,138576223
412,163305790
416,80492886
422,149997022
424,11669796
426,134863938
428,161385407
430,2009247
432,13620185
434,2132622
436,142729073
438,153691000
440,11913959
442,5199780
444,168175750
446,166283419
448,3362153
450,1651979
452,153128305
454,136887691
456,122727488
458,151931329
460,158179920
462,134754031
464,2542523
466,164916127
468,145123332
482,28288190
484,161410012
486,157099363
488,16123805
490,102159625
492,1422902
494,96348207
496,15699234
498,81446118
500,166174926
502,11018247
504,54689795
506,118527034
508,32102592
510,86817365
512,3533405
514,118544455
516,11945390
518,159585156
520,93438746
524,37849881
526,29382726
532,155295653
534,166423055
536,164658538
540,69332835
542,65162529
544,97499637
546,112257848
548,65213337
550,119583115
552,65876843
554,89014682
556,134069859
558,137161379
560,103607925
562,57280858
564,156933390
566,77394294
568,64676349
570,54179722
572,143950941
574,146915166
576,79414900
578,77984640
580,95768504
582,143845882
584,142111221
586,54857781
588,158745529
594,112733945
596,95414129
600,158897979
602,49052795
604,138617185
606,29656701
608,15972257
610,150813154
612,157268547
614,73835280
616,103950938
618,1392679
620,155838897
622,31207484
624,38881196
626,116233028
628,167938510
630,53726047
632,52017571
634,49935950
636,118180194
638,35529785
640,141409976
642,158643905
644,112886455
646,80423127
648,112944689
654,161051417
656,167323212
660,153501293
662,52364526
664,152737945
666,159150120
668,70145470
670,69676820
672,152117927
674,90048975
676,113356044
678,21833848
680,107207497
682,16363813
684,60693862
686,164139652
688,27465517
690,73087314
692,80352046
694,49003653
696,116526465
698,12753972
700,16145492
702,156481255
704,154762436
706,151409661
710,41178281
714,146710148
716,161512676
720,142747457
722,123766265
724,117316271
726,115286467
728,141897436
730,5324752
732,121525319
734,148943606
736,17066938
738,77945214
740,118157137
742,161241221
744,112358582
746,92491725
748,67509847
750,158576399
752,49232563
754,71068527
756,47446550
758,75775577
760,88629024
762,102925507
764,55050834
766,87682387
770,161535362
772,39499547
776,152489338
780,23558129
782,14635390
784,76397308
786,47898139
788,52994163
790,110624228
792,57943107
794,35196480
796,25339988
798,101582149
800,92611426
802,143963986
804,21276089
806,18950597
808,86994380
810,138816228
812,167672258
814,28746240
816,160856052
818,103745475
820,59377474
822,37077644
824,92497519
826,44994279
828,167850347
834,133753346
836,168212247
840,57160270
842,73334410
844,103668036
846,25044341
848,48383668
850,23296612
852,13177209
854,167360228
856,157745497
858,89667660
860,34553242
862,157341535
864,134564589
866,91802592
868,111798020
870,12821512
872,71393022
874,109145700
876,140490327
878,149534106
880,77975293
882,115030890
884,149743474
886,2499468
888,122612726
890,154638213
896,138677805
900,30729623
902,89393878
904,73763951
906,160134703
908,57965066
910,133551824
912,101701612
914,143663205
916,118792681
918,120743111
920,167704570
922,102770436
924,102136925
926,101741408
928,45669594
930,165715947
932,133197951
934,15486835
936,109527555
938,166959079
940,86169951
942,120380844
944,21988438
946,54364904
948,163872707
952,137856019
954,101764870
960,113668499
962,63409873
964,157162112
966,162603649
968,110939185
970,130669551
972,142181761
974,85050246
976,156284855
978,125659332
980,118546843
982,67063879
984,167435648
986,120293067
988,32416080
990,55207849
992,117810553
994,19420879
996,74604119
998,18298045
1000,94728739
1002,104364179
