,id
0,168337151
2,143664202
4,167371665
6,130262992
8,140598216
10,163986916
12,161029326
14,155067670
16,160642660
18,167007388
20,162893462
22,159803023
24,163330026
26,161904631
28,131705527
30,163330865
32,163639540
34,161137675
36,143593533
38,167491015
40,138819353
42,162431897
44,153986409
46,139664220
48,155324001
50,167140582
52,116217795
54,168215516
56,151987851
58,137558953
62,98586032
64,126121518
66,110742843
68,96516033
70,95432496
72,119458148
74,74490523
76,104537470
78,90949269
80,127664047
82,88235324
84,95839660
86,94573802
88,78867553
90,97851591
92,98757612
94,106122208
96,92030944
98,128517266
100,107131397
102,112742897
104,101280251
106,85088349
108,120597876
112,137528951
114,72988583
116,162452698
122,52862167
124,40105396
126,39687400
128,32922822
130,30968195
132,31407013
134,35239650
136,30075073
138,48092983
140,61435465
142,37987901
144,35856225
146,58682750
148,70750229
150,35462210
152,44244845
154,36634947
156,62153604
158,55024887
160,29252726
162,45927256
164,33579843
166,41611423
168,70276227
172,167913808
174,125275776
176,146389964
182,2543631
184,23060738
186,168290185
188,14902209
190,168294566
192,25279182
194,14442618
196,21339006
198,168294456
200,19587693
202,2095881
204,15518596
206,168294929
208,16907384
210,168214765
212,168294498
214,168291402
216,13217665
218,12551793
220,168294435
222,23737941
224,168294753
226,28700075
228,168188002
230,149543234
232,108799195
238,38630282
242,167163958
244,161667560
246,166354995
248,168144319
250,157659579
252,159039670
254,164978294
256,161506879
258,166636783
260,155220807
262,157256961
264,166637399
266,162894185
268,166162740
270,165131687
272,158368888
274,162147456
276,156430313
278,153531239
280,155317629
282,165180233
284,162603844
286,168157404
288,164705076
294,163249797
296,103115564
298,142189371
302,145113436
304,147318179
306,153451508
308,144070589
310,144215062
312,149776941
314,143324110
316,150540267
318,152864851
320,145633301
322,151571089
324,153325145
326,149244850
328,142224125
330,139111002
332,146870389
334,145609982
336,151833648
338,144495456
340,141949526
342,136510680
344,150644482
346,148445952
348,151031177
350,95169418
354,73588434
358,166542008
362,130146942
364,118026691
366,132420331
368,120422164
370,135790325
372,135588223
374,117501424
376,124875778
378,123059417
380,126716104
382,134049717
384,124451952
386,117443556
388,131342263
390,135277800
392,118809521
394,136361906
396,134940665
398,126262643
400,129198078
402,135188210
404,128597332
406,119457278
408,117932010
410,135866229
414,162182399
418,139485562
422,105951328
424,99330000
426,116580247
428,106808544
430,100669006
432,97262711
434,94454875
436,97420777
438,92897029
440,97511168
442,90434870
444,101321702
446,86589745
448,101519545
450,107184007
452,116090286
454,92806499
456,115920611
458,104638026
460,89011229
462,101240222
464,114869133
466,117116082
468,89593269
470,150625547
472,154753603
478,165212899
482,76345442
484,69981415
486,69093673
488,72868721
490,69129393
492,74552774
494,75913560
496,71292944
498,77222796
500,76877092
502,70368731
504,78204096
506,81683688
508,84722746
510,77006703
512,74654190
514,79219236
516,86402101
518,71161258
520,78579557
522,85988730
524,73170850
526,71187642
528,78880337
530,154616375
536,154733717
538,129780740
542,61398306
544,66343568
546,60953619
548,65899314
550,57814813
552,48776768
554,48176686
556,62247351
558,68431656
560,61292849
562,56103067
564,49116372
566,58071336
568,49690617
570,45235558
572,54654820
574,51665742
576,50673065
578,48591696
580,48486524
582,51500960
584,59893242
586,54633860
588,64579597
594,168255378
596,168261209
598,168170838
602,39663980
604,41761720
606,34849531
608,33069629
610,34611731
612,39858019
614,39619000
616,32081510
618,42733978
620,33003570
622,33886010
624,33191312
626,35867185
628,33178676
630,38133075
632,38298677
634,40253093
636,41010771
638,32224261
640,44895063
642,43559482
644,42651640
646,38685587
648,42774793
650,165159692
654,107982055
656,61048310
662,30267296
664,24245961
666,26785749
668,29603243
670,31567053
672,23541115
674,26767878
676,21845985
678,30870225
680,30276190
682,25048739
684,31754350
686,21606693
688,26944652
690,22105807
692,28379271
694,28171161
696,23071280
698,26161413
700,29919901
702,24246767
704,29879385
706,27545720
708,28774139
710,29172251
714,160081456
722,2116858
724,4325226
