,id
0,168337151
2,146507721
4,138180857
6,102211860
8,142520506
10,64410224
12,144579746
14,63555372
16,58225374
18,95991060
20,147105473
22,166711692
24,168241250
26,167557968
28,168331940
30,166040625
32,101073143
34,135720156
36,163490341
38,76611951
40,114858157
42,66112546
44,168104254
46,168287826
48,85690821
50,167140582
52,168215516
54,81311125
56,133294978
58,167310059
62,28734003
64,42349536
66,168111706
68,167825619
70,166813290
72,16357498
74,168354749
76,38564864
78,167013472
80,34709379
82,51215902
84,168150775
86,168324536
88,29081586
90,21570829
92,167646702
94,168287380
96,13673834
98,13909187
100,167744203
102,28095755
104,168290271
106,168293680
108,28492601
110,160087487
116,29172251
118,49342428
122,137786192
124,145984534
126,123395151
128,131646461
130,141783049
132,114253539
134,166141093
136,154437886
138,116275989
140,118835237
142,117644491
144,115334866
146,166445254
148,158168562
150,158097416
152,112159608
154,166289159
156,166715791
158,165089496
160,121428458
162,129741875
164,136373905
166,137256585
168,118658707
170,168325068
172,152199071
174,168201172
182,90712365
184,79273548
186,97597426
188,72762560
190,60889624
192,90173379
194,96869527
196,74737983
198,101776906
200,107317308
202,102422351
204,88999999
206,79509816
208,103901331
210,110686753
212,102731692
214,66600635
216,93738438
218,110296336
220,111674346
222,96709523
224,84043287
226,66676273
228,96668146
230,95332219
232,95509370
236,160153589
242,38075821
244,53487056
246,30247669
248,49121020
250,31573886
252,40434763
254,37892437
256,34239862
258,30148889
260,58194701
262,31373010
264,31602575
266,45204111
268,44967901
270,37507909
272,54143610
274,47879592
276,51595629
278,48183948
280,54299817
282,41967613
284,58375583
286,41005246
288,48313640
292,166737177
294,161607463
298,168216821
302,22820167
304,162641523
306,12040046
308,168150903
310,163879830
312,165986230
314,164733499
316,168054401
318,168283531
320,139743686
322,159617696
324,119486263
326,21934353
328,28597310
330,143676826
332,167616131
334,112290803
336,27910250
338,167187585
340,110547107
342,28371838
344,162428936
346,28281277
348,118193317
352,144780989
354,139495326
356,101284810
362,44917146
