,id
0,168337151
2,160291864
4,136693033
6,144094356
8,165479966
10,97147161
12,168356707
14,133948535
16,167983100
18,163013046
20,92219656
22,164932669
24,111876602
26,109939269
28,154523590
30,152640143
32,107743771
34,91820982
36,158228436
38,151335962
40,105199127
42,108468795
44,153056235
46,96915804
48,135441070
50,157893343
52,167140582
54,137327554
56,168215516
58,101131929
60,42544128
62,61879757
64,63950227
66,67488669
68,33585400
70,84754221
72,78920359
74,34118513
76,31272132
78,53873023
80,33922750
82,64608382
84,75646848
86,60279018
88,62267570
90,52733978
92,80989153
94,60370043
96,48546372
98,53882779
100,75447870
102,28691336
104,40453930
106,56660176
108,112841402
110,54836578
112,162574618
118,12620257
120,167686753
122,168020037
124,167790901
126,167974985
128,168296265
130,163303960
132,168353668
134,167443728
136,168361622
138,167412213
140,168219150
142,167443802
144,165866088
146,168207673
148,19898380
150,167854689
152,168189050
154,166739873
156,167693724
158,168023716
160,165352523
162,167785036
164,165627491
166,146031739
168,73148690
174,106434100
178,163207059
180,161282389
182,163182596
184,155147312
186,149264166
188,160738430
190,153948520
192,148115576
194,152937879
196,147252647
198,156100351
200,158037804
202,153830491
204,159516218
206,157675853
210,148491300
214,152804191
216,158030596
218,151404856
220,161390711
222,159283446
226,156975592
228,166217723
230,125348869
234,111407900
236,110552606
238,119889072
240,112890656
242,135940610
244,111722086
246,116255087
248,132374179
250,113839740
252,102917818
254,126066736
256,107017682
258,103324233
260,100614719
262,102809398
264,111283185
266,104036395
268,113744765
270,120261435
272,109000805
274,114215812
276,118929238
278,139725768
280,117602234
282,155065572
284,133294978
290,152729032
292,85635963
294,86927309
296,79220307
298,73526897
300,90533680
302,89622769
304,70928202
306,99093518
308,91396103
310,93857271
312,74323998
314,80474732
316,77847028
318,98298789
320,98327699
322,87918515
324,90548808
326,77739895
328,98592370
330,95173014
332,92487338
334,78762953
336,95167109
338,97313634
342,101502651
346,142546068
348,103184327
350,69152413
352,45515982
354,69882106
356,52567994
358,57823399
362,47392243
364,47148226
366,55670346
368,59250191
370,64687135
372,60649426
374,69607287
378,48332255
380,48292139
382,59412983
384,55136704
386,58877663
388,66252042
390,46761881
392,44855912
394,44104393
396,57887387
400,167310059
402,149741282
406,71039589
408,34090942
410,31226525
412,43132173
414,40980832
416,28879901
418,28250702
420,40540138
422,39578810
424,39299418
426,43744036
428,37520756
430,29789593
432,30463032
434,35517066
436,40648842
438,34699229
440,35182050
442,33207055
444,27918573
446,34184769
448,36122516
450,36608991
452,35042291
454,40498281
458,161608557
462,168382261
464,136635178
466,16010713
468,3483034
470,27232923
472,165808083
474,23076804
476,26283470
478,27119703
480,167339535
482,22974385
484,167649949
486,26881867
488,161477748
490,19968139
492,27804821
494,168018635
496,168171872
498,164687604
500,26611462
502,3017135
504,1627936
506,168172029
508,21380280
510,166063415
512,27544109
516,120097346
520,160668152
522,166459594
524,150851179
526,92159590
528,108135824
530,54589996
532,156014902
534,136571989
536,45988194
538,60568562
540,136178856
542,138795560
544,75966975
546,82696300
548,98711827
550,80950277
552,56221237
554,112982628
556,107227375
558,140046300
560,108379890
562,125264621
564,112583514
566,56278047
568,47552539
570,110315391
572,167850347
574,135870308
580,166210613
582,29674029
584,168296719
586,22547426
588,30154588
590,161458418
592,42945286
594,155135851
596,148718259
598,42768418
600,162613223
602,164086739
604,151390976
606,157589407
608,146356908
610,167816436
612,162090561
614,146056179
616,44743555
618,18954087
620,164632311
622,28338396
624,44611308
626,150852033
628,155752239
632,154999781
636,131962564
638,102335047
640,71119089
642,59419356
644,123187294
646,97763570
648,145054772
650,67078792
652,138512279
654,116186986
656,140889063
658,109322369
660,119256483
662,57804405
664,122927023
666,139056492
668,110839504
670,80279499
672,52313562
674,138485396
676,55377782
678,70575581
680,77126331
682,118180922
684,125361359
686,89747753
688,167067900
692,162525073
696,134703147
698,37799957
700,139594739
702,152357173
704,165701027
706,165025228
708,38723445
710,34658030
712,112851721
714,166100607
716,118216413
718,148790189
720,165118510
722,168218936
724,108598756
726,166885201
728,46961193
730,166134082
732,48449831
734,31845703
736,89828189
738,94472269
740,148311801
742,98985114
744,30186514
750,165648295
752,166296968
754,158520156
756,65121053
758,4287664
760,43571441
762,88592196
764,88006749
766,56329409
768,28803382
770,68439901
772,64609702
774,108737337
776,115930918
778,27024566
780,52998929
782,168111897
784,38901825
786,167178621
788,166726015
790,144726415
792,67497018
794,25203688
796,40520179
798,118153435
800,106462284
802,141956079
804,156533442
808,143843510
810,168247740
814,146860178
816,135914413
818,58281775
820,139178152
822,137704769
824,141526762
826,166717925
828,144121055
830,62034949
832,135858872
834,40393819
836,52336652
838,167794164
840,119579184
842,27596300
844,155066679
846,156467307
848,163059322
850,35112064
852,164651275
854,43760581
856,42009751
858,36427188
860,22600060
862,149001670
866,66338111
870,163847778
872,90134446
874,126341083
876,88689987
878,147901123
880,32515589
882,59030597
884,38190262
886,81990583
888,134726084
890,151769458
892,78441729
894,106965681
896,49539363
898,167914218
900,150119117
902,92604366
904,92899360
906,163406045
908,164280104
910,107454541
