,id
0,168337151
2,159824907
4,165413807
6,153290544
8,166848123
10,144054252
12,159941186
14,166891460
16,166451231
18,159829464
20,123411005
22,161336208
24,133343541
26,156236774
28,154426424
30,160808600
32,145919636
34,162445684
36,150699308
38,165192632
40,165997913
42,153425490
44,158693711
46,132160742
48,165022262
50,168150906
52,167140582
54,168376367
56,168215516
58,123395151
62,168115226
64,114562988
66,152143738
68,74937289
70,167086596
72,166967127
74,165323791
76,168291516
78,168090736
80,165225028
82,113198365
84,136067742
86,164000401
88,141309151
90,168076919
92,168298910
94,160904630
96,168078929
98,168066188
100,168114048
102,107269488
104,121008503
106,168107219
108,167323212
110,167706912
112,46949605
114,108231785
122,152021165
124,119479133
126,166724716
128,151162410
130,152198154
132,142350406
134,165039184
136,158449030
138,151974066
140,165690316
142,158870596
144,154146152
146,165946741
148,143726740
150,168061129
152,166457202
154,168201172
156,157280786
158,138334109
160,161176027
162,147428397
164,150086673
166,62316707
168,65054944
170,131216588
174,158263171
178,135866229
182,167988271
184,166506689
186,154905203
188,161566952
190,161484358
192,157751188
194,167283525
196,167840376
198,98978706
200,154314045
202,157782657
204,165748598
206,165935529
208,46406106
210,168172833
212,165752334
214,89476230
216,147439650
218,121519828
220,130819495
222,160611573
224,167711091
226,166736409
228,111702878
230,143915378
238,168325068
242,164465337
244,167934240
246,106838892
248,162084619
250,162283632
252,167900686
254,166316455
256,165943442
258,167880195
260,163474190
262,96355062
264,164095382
266,166034098
268,167638866
270,167742191
272,96718893
274,133312157
276,158845001
278,167678697
280,167948826
282,166881363
284,165769117
286,167806824
288,136873335
292,168187813
294,163294619
298,146464125
302,142623994
304,143162463
306,116334774
308,167585266
310,167790402
312,164780077
314,167488125
316,128661203
318,150369433
320,107909440
322,167004261
324,139357531
326,158645635
328,167716286
330,158262448
332,165810986
334,162361355
336,166960917
338,164623382
340,155400485
342,167622924
344,167130661
346,167613902
348,148888454
350,165212899
354,126097324
358,129741875
362,167630673
364,165977832
366,150943690
368,154650878
370,147756032
372,165160272
374,154237273
376,167042271
378,163350950
380,159486900
382,157510673
384,167370468
386,167308023
388,165337962
390,167331945
392,167368916
394,167443651
396,167529992
398,121744385
400,167334368
402,167305297
404,162648117
406,167415680
408,80295674
410,111247496
412,167041481
414,118836368
422,166645717
424,147218765
426,136565342
428,167254887
430,167322056
432,167217315
434,167303504
436,167216813
438,167304574
440,160605153
442,163993855
444,144483582
446,152735897
448,167252869
450,162715347
452,167176996
454,166551198
456,167254577
458,167139170
460,164471551
462,165232836
464,46229718
466,167317345
468,162220456
470,160416519
472,41178281
474,148345567
482,167307397
484,166917505
486,167124137
488,166914486
490,142745561
492,164130591
494,142801902
496,167270139
498,166839754
500,150657694
502,166806813
504,165114926
506,166830470
508,112921148
510,167092988
512,161919745
514,148516683
516,167108352
518,166914679
520,139617340
522,95228330
524,167006827
526,167150405
528,165920195
532,149539350
534,135011874
536,163334461
542,114759179
544,71039589
550,163847778
554,116787724
556,124884217
560,160081456
568,101611359
572,156237173
578,137558953
580,164797862
584,145171397
592,162234215
594,160431801
598,150985290
602,107752651
604,107798432
610,122612726
616,47465719
620,141960809
622,148680836
626,165648010
630,143525323
634,103027606
638,152489338
640,29317765
644,98996020
650,95169418
652,103115564
654,40393084
662,158285762
668,138677805
670,124684133
676,122543321
678,101131929
682,80492886
686,101764870
692,52640370
694,73438930
700,147934649
702,120397033
706,121329667
710,109379425
716,105707841
718,148990954
722,131330664
724,167067900
726,165823101
736,65054258
738,167859026
740,153176575
748,149251141
750,163851530
752,168261543
758,29270824
762,167348392
766,153499197
770,163204945
772,165512215
774,95631489
784,151013771
788,157556281
794,152632700
796,95414129
802,163337577
806,146575172
810,106870189
814,146417804
818,166296968
820,158114281
826,152469392
830,145201384
836,109411618
838,144273454
842,145484854
846,35030670
850,167491917
854,151624452
856,44312581
858,141998061
872,143307257
874,167054193
880,30573730
884,147477878
886,149780976
890,149146517
894,137528951
898,103478510
906,161045684
908,103896936
910,12548656
918,105479331
920,159009705
930,158292537
932,144991229
934,151579772
940,166513496
944,152087842
946,167731984
954,144340702
956,73588434
958,134275075
962,92318015
968,151987851
974,141466381
982,143609026
988,148967616
990,45707914
998,125348869
1002,159046210
1004,152729032
1014,101284810
1016,143814600
1018,142471374
1026,160087487
1030,152199071
1034,86996420
1038,161622218
1042,152161419
1046,146658970
1048,154733717
1052,77380714
1062,52215470
1064,150247355
1070,157311848
1074,149741282
1076,154249262
1082,164011002
1086,167310059
1088,155296020
1094,152848525
1100,166920613
1102,153546651
1106,134853495
1108,69651047
1112,144780989
1118,116564132
1146,127356896
1148,161535362
1158,164693341
1160,66338111
1166,94581065
1170,167067147
1172,77674119
1180,142080856
1182,168147000
1184,168178110
1196,145016062
1202,165159692
1206,150482404
1210,61048310
1226,26653236
1228,108733938
1234,127138648
1240,138743067
1242,134014223
1252,148140820
1256,166442662
1268,162277832
1270,141474492
1276,165514702
1278,167338237
1280,167272150
1286,162182399
1288,38283281
1292,73198825
1298,163776909
1300,167913808
1304,149282325
1310,167850347
1316,67676487
1324,164781187
1330,149527926
