,age,blood,car,constellation,education,ethnic,height,house,id,js_age,js_education,js_ethnic,js_height,js_location,js_marriaged,js_member,js_photo,location,marriaged,membership,nickname,salary,shengxiao,weight
0,29岁,--,已购车（中档型）,双鱼座,本科,汉族,173cm,与父母同住,38065258,32岁以下,大专,不限,155-170厘米 *,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,低调的摩卡,5000～10000元,龙,--
1,29岁,--,--,双子座,本科,--,168cm,--,168408930,19-31岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,黄瓜愉快的在夏宫,2000元以下,龙,--
2,21岁,--,--,双子座,本科,--,173cm,--,168420807,18-30岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,一座城一个人,5000～10000元,鼠,--
3,20岁,--,--,处女座,本科,--,177cm,--,155610098,18-30岁之间,双学士或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,Mr点帅,20000～50000元,牛,--
4,26岁,--,--,双子座,本科,--,173cm,--,165780053,18-30岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,JGU,5000～10000元,羊,--
5,28岁,--,--,双子座,大专,--,177cm,--,168373686,18-30岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,在卢塞恩蹊跷的如曼,5000～10000元,蛇,74公斤
6,21岁,--,--,处女座,高中中专及以下,--,172cm,--,163420863,18-22岁之间,不限,不限,155-170厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,别失八里,2000～5000元,鼠,--
7,32岁,--,--,狮子座,本科,--,175cm,--,155404272,20-30岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,快递小乌龟,5000～10000元,牛,--
8,27岁,--,已经购车,巨蟹座,高中中专及以下,--,181cm,与父母同住,93494836,21-24岁之间,不限,不限,155-170厘米,浙江,未婚,不限,有照片,绍兴,未婚,普通会员,陌生人,5000～10000元,马,--
9,28岁,--,--,白羊座,高中中专及以下,--,167cm,--,156566320,20-28岁之间,不限,不限,155-170厘米 *,不限,未婚,不限,不限,绍兴,未婚,普通会员,慢热,5000～10000元,蛇,--
10,26岁,保密,已购车（中档型）,水瓶座,大专,汉族,175cm,与父母同住,74611552,22-28岁之间,大专或以上,不限,157-167厘米,浙江绍兴,未婚,不限,不限,绍兴,未婚,普通会员,楓洡,2000～5000元,马,--
11,26岁,--,--,双子座,本科,--,172cm,--,168227086,19-27岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,不限,绍兴,未婚,普通会员,健谈的长寿花在阿尔泰,5000～10000元,羊,--
12,24岁,O型,已购车（中档型）,狮子座,大专,汉族,180cm,与父母同住,156048091,21-25岁之间,不限,不限,155-170厘米 *,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,秦跢,10000～20000元,鸡,78公斤
13,27岁,A型,已购车（中档型）,天秤座,高中中专及以下,汉族,170cm,已购房（无贷款）,142684964,18-26岁之间,不限,不限,155-163厘米,浙江绍兴,未婚,不限,不限,绍兴,未婚,普通会员,明明,5000～10000元,马,65公斤
14,24岁,--,--,天蝎座,本科,汉族,176cm,--,167730564,18-30岁之间,不限,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,慈祥的忆柳在撒哈拉,5000～10000元,猴,--
15,28岁,--,暂未购车,狮子座,大专,汉族,165cm,已购房（有贷款）,63068682,18-24岁之间,不限,不限,155-162厘米,浙江绍兴,未婚,不限,有照片,绍兴,未婚,普通会员,佳缘征婚,2000～5000元,蛇,120公斤
16,25岁,--,--,射手座,大专,--,170cm,--,167850297,18-30岁之间,高中中专及以下或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,离异,普通会员,内向的新巧在神户,5000～10000元,羊,--
17,27岁,--,--,水瓶座,本科,--,168cm,--,168414941,18-30岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,爱在心里,10000～20000元,马,--
18,23岁,保密,暂未购车,双子座,本科,汉族,178cm,已购住房,165206283,19-23岁之间,大专或以上,不限,164-170厘米,浙江绍兴,未婚,星级会员,有照片,绍兴,未婚,普通会员,孙林,2000～5000元,狗,--
19,25岁,AB型,--,水瓶座,高中中专及以下,汉族,166cm,--,166677426,18-25岁之间,不限,不限,158-166厘米 *,浙江绍兴,未婚,不限,不限,绍兴,未婚,普通会员,蒜黄匀称的在国会,5000～10000元,猴,58公斤
20,29岁,--,--,双子座,本科,--,168cm,--,167938788,19-31岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,傲蕾风趣的在蒙特雷,2000元以下,龙,--
21,28岁,--,--,巨蟹座,本科,--,171cm,--,167955663,18-30岁之间,大专或以上,不限,158-175厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,千仞,10000～20000元,蛇,--
22,29岁,O型,已经购车,双子座,大专,汉族,176cm,--,155486787,26-30岁之间,高中中专及以下,不限,158-168厘米,浙江绍兴,不限,不限,有照片,绍兴,"离异,有小孩归自己",普通会员,天空之城,2000～5000元,龙,--
23,27岁,--,--,魔羯座,本科,--,168cm,--,167248314,25-29岁之间,不限,不限,155-170厘米,浙江绍兴,不限,不限,有照片,绍兴,未婚,普通会员,祝能呈,5000～10000元,蛇,--
