,age,blood,car,constellation,education,ethnic,height,house,id,js_age,js_education,js_ethnic,js_height,js_location,js_marriaged,js_member,js_photo,location,marriaged,membership,nickname,salary,shengxiao,weight
0,59岁,B型,暂未购车,魔羯座,高中中专及以下,--,166cm,已购房（无贷款）,164432867,50-60岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,有照片,衢州,离异,高级会员,清平乐,2000～5000元,鸡,64公斤
1,28岁,B型,暂未购车,金牛座,大专,汉族,170cm,已购房（无贷款）,160838899,21-27岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,有照片,衢州,未婚,高级会员,gdgrfgf,5000～10000元,蛇,55公斤
2,66岁,--,--,狮子座,高中中专及以下,--,170cm,--,163413133,50-60岁之间,不限,汉族,155-170厘米,浙江衢州,离异,不限,不限,衢州,离异,高级会员,江,2000～5000元,兔,--
3,26岁,--,暂未购车,天秤座,硕士,--,183cm,暂未购房,168650675,19-27岁之间,本科,不限,155-170厘米 *,浙江衢州,未婚,不限,有照片,衢州,未婚,高级会员,江阔云低,10000～20000元,羊,--
4,33岁,B型,暂未购车,狮子座,本科,汉族,168cm,已购房（无贷款）,169130492,28-38岁之间,不限,不限,140-170厘米,"浙江衢州,辽宁,山东,江苏",离异、丧偶,不限,不限,衢州,未婚,普通会员,小强,2000～5000元,鼠,50公斤
5,52岁,B型,--,射手座,本科,汉族,171cm,已购房（无贷款）,154463590,18-56岁之间,不限,不限,152厘米或以上,浙江杭州,不限,不限,不限,衢州,未婚,普通会员,正正,5000～10000元,龙,65公斤
6,53岁,O型,暂未购车,天秤座,本科,汉族,164cm,已购房（有贷款）,157450396,45-53岁之间,不限,不限,155-168厘米,浙江,不限,不限,有照片,衢州,"离异,有小孩归自己",普通会员,zzz,5000～10000元,龙,--
7,50岁,--,已购车（豪华型）,魔羯座,高中中专及以下,--,176cm,已购房（无贷款）,166141972,38-46岁之间,不限,不限,158-170厘米,浙江衢州,不限,不限,不限,衢州,离异,普通会员,简单,10000～20000元,马,--
8,27岁,--,已购车（豪华型）,天蝎座,本科,--,173cm,已购房（无贷款）,156537567,20-30岁之间,不限,不限,155-170厘米,浙江,不限,不限,有照片,衢州,未婚,高级会员,不如意,--,蛇,68公斤
9,27岁,AB型,已购车（经济型）,射手座,本科,汉族,170cm,--,166242333,21-29岁之间,大专,汉族,155-170厘米,浙江,不限,不限,不限,衢州,未婚,高级会员,呆子,5000～10000元,蛇,52公斤
10,55岁,A型,已购车（中档型）,射手座,本科,汉族,167cm,已购房（无贷款）,155137080,46-52岁之间,不限,不限,157-165厘米,浙江衢州,不限,不限,有照片,衢州,离异,高级会员,一生何求,--,牛,--
11,40岁,B型,需要时购置,狮子座,高中中专及以下,汉族,160cm,已购房（无贷款）,160848774,33-41岁之间,不限,汉族,155-170厘米,浙江衢州,未婚,不限,不限,衢州,未婚,普通会员,147,2000～5000元,蛇,60公斤
12,31岁,A型,已购车（中档型）,处女座,高中中专及以下,汉族,170cm,与父母同住,160060478,28-32岁之间,高中中专及以下,不限,155-170厘米 *,浙江,未婚 *,不限,有照片,衢州,未婚,高级会员,土豆,5000～10000元,虎,55公斤
13,35岁,A型,暂未购车,射手座,本科,汉族,180cm,独自租房,161569710,20-37岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,不限,衢州,"离异,有小孩归对方",普通会员,逆流成河,5000～10000元,鸡,70公斤
14,36岁,AB型,已购车（豪华型）,金牛座,本科,汉族,168cm,已购房（无贷款）,160477239,18-37岁之间,不限,不限,158-170厘米,浙江,不限,不限,有照片,衢州,"离异,有小孩归自己",高级会员,笑看风云,10000～20000元,鸡,68公斤
15,55岁,AB型,已购车（中档型）,魔羯座,本科,汉族,165cm,已购房（无贷款）,160963677,45-55岁之间,高中中专及以下或以上,汉族,158-164厘米,浙江,不限,不限,有照片,衢州,"离异,有小孩归对方",普通会员,金医师,5000～10000元,牛,55公斤
16,30岁,B型,暂未购车,天秤座,本科,汉族,168cm,已购房（有贷款）,161297308,24-32岁之间,不限,不限,160-166厘米,浙江衢州,不限,不限,有照片,衢州,"离异,无小孩",高级会员,谷莠子,2000～5000元,虎,66公斤
17,42岁,O型,已购车（中档型）,双鱼座,大专,汉族,172cm,已购房（无贷款）,159873007,35-40岁之间,不限,不限,155-170厘米,浙江,未婚、离异,不限,不限,衢州,未婚,普通会员,吔,2000～5000元,兔,80公斤
18,33岁,保密,已购车（中档型）,天蝎座,本科,汉族,170cm,需要时购置,159648453,24-34岁之间,不限,不限,156-173厘米 *,浙江衢州,未婚,不限,不限,衢州,"离异,无小孩",高级会员,春风得意,20000～50000元,猪,65公斤
19,38岁,A型,暂未购车,魔羯座,本科,汉族,170cm,暂未购房,165423726,34-39岁之间,不限,不限,155-163厘米,浙江衢州,不限,不限,有照片,衢州,"离异,无小孩",高级会员,懵,5000～10000元,马,--
20,39岁,A型,暂未购车,处女座,高中中专及以下,汉族,166cm,已购房（无贷款）,160661934,32-40岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,不限,衢州,未婚,高级会员,猛龙过江,2000～5000元,马,--
21,41岁,O型,已购车（经济型）,处女座,大专,汉族,171cm,已购房（无贷款）,160054645,34-42岁之间,不限,不限,155-170厘米,浙江,不限,不限,不限,衢州,"离异,有小孩归对方",高级会员,阿良,5000～10000元,龙,63公斤
22,24岁,B型,已购车（经济型）,处女座,本科,汉族,170cm,与父母同住,169024532,18-27岁之间,不限,不限,155-175厘米,浙江,不限,不限,有照片,衢州,未婚,高级会员,荒唐的想想,2000～5000元,鸡,--
23,46岁,保密,暂未购车,处女座,本科,汉族,171cm,暂未购房,161574654,37-45岁之间,高中中专及以下,汉族,158-165厘米,浙江,不限,不限,有照片,衢州,"离异,有小孩归自己",普通会员,等风的过路人,--,猪,75公斤
24,22岁,--,暂未购车,双子座,大专,--,169cm,住单位房,167140582,22-30岁之间,不限,不限,173厘米或以上,不限,不限,不限,不限,金华,未婚,高级会员,米老鼠温柔的在加拿大,2000～5000元,猪,--
25,45岁,O型,暂未购车,金牛座,本科,汉族,170cm,需要时购置,143952176,30-35岁之间,大专,不限,155-170厘米,浙江衢州,未婚,不限,不限,衢州,未婚,普通会员,江山,5000～10000元,鼠,72公斤
26,43岁,O型,需要时购置,天蝎座,高中中专及以下,汉族,165cm,与父母同住,137319677,27-41岁之间,不限,不限,155-163厘米,浙江衢州,离异,不限,有照片,衢州,"离异,无小孩",高级会员,恋春,2000～5000元,牛,--
27,53岁,--,暂未购车,巨蟹座,高中中专及以下,汉族,170cm,需要时购置,127354128,40-45岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,不限,衢州,"离异,有小孩归对方",普通会员,青春已不在,2000～5000元,龙,75公斤
28,44岁,--,已购车（中档型）,白羊座,高中中专及以下,汉族,170cm,与父母同住,150798980,36-44岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,不限,衢州,"离异,有小孩归自己",普通会员,&amp;风&amp;,--,牛,75公斤
29,35岁,--,--,处女座,本科,--,170cm,--,150160879,25-40岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,不限,衢州,离异,高级会员,强哥,5000～10000元,狗,--
30,58岁,O型,已购车（经济型）,巨蟹座,高中中专及以下,--,176cm,已购房（无贷款）,148937797,48-55岁之间,不限,不限,155-180厘米,"四川,贵州,江西",不限,不限,有照片,衢州,"离异,无小孩",高级会员,无花果,2000～5000元,猪,75公斤
31,40岁,其它,需要时购置,双子座,大专,汉族,175cm,已购房（无贷款）,131924769,18-40岁之间,不限,不限,150-180厘米,浙江,不限,不限,不限,衢州,未婚,高级会员,关上昨天的门,5000～10000元,蛇,--
32,28岁,其它,已购车（经济型）,天秤座,高中中专及以下,汉族,170cm,与父母同住,140107834,25-30岁之间,不限,汉族,不限,浙江,未婚,星级会员,有照片,衢州,未婚,普通会员,波波,2000～5000元,蛇,70公斤
33,52岁,A型,已经购车,双子座,本科,汉族,177cm,已购住房,144710966,28-50岁之间,不限,不限,155-170厘米,浙江衢州,未婚、离异,不限,有照片,衢州,"离异,有小孩归自己",高级会员,红苹果,10000～20000元,蛇,68公斤
34,22岁,B型,暂未购车,处女座,高中中专及以下,汉族,170cm,暂未购房,152867747,18-22岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,不限,衢州,未婚,普通会员,咕嘟,2000元以下,猪,--
35,47岁,O型,已经购车,天秤座,大专,汉族,172cm,已购住房,130378632,38-46岁之间,不限,不限,155-170厘米,浙江,不限,不限,有照片,衢州,"离异,有小孩归对方",普通会员,梦想起航,10000～20000元,鸡,70公斤
36,25岁,O型,暂未购车,处女座,高中中专及以下,汉族,167cm,已购房（有贷款）,133950329,18-24岁之间,不限,不限,155-170厘米,不限,未婚,不限,不限,衢州,未婚,高级会员,吴越,2000～5000元,猴,55公斤
37,28岁,B型,已购车（中档型）,射手座,本科,汉族,180cm,已购房（有贷款）,146043579,22-32岁之间,不限,不限,155-175厘米,不限,不限,不限,有照片,衢州,未婚,普通会员,JOKER,5000～10000元,龙,92公斤
38,58岁,O型,需要时购置,处女座,本科,汉族,170cm,已购房（无贷款）,151488575,50-58岁之间,不限,不限,155-170厘米,浙江,不限,不限,不限,衢州,"离异,有小孩归对方",高级会员,杨柳,5000～10000元,猪,--
39,28岁,--,--,魔羯座,大专,汉族,180cm,需要时购置,152596585,20-28岁之间,不限,不限,155-170厘米 *,浙江衢州,未婚,不限,不限,衢州,未婚,高级会员,白开水,5000～10000元,龙,60公斤
40,31岁,其它,暂未购车,天蝎座,本科,汉族,178cm,已购房（有贷款）,151967274,22-32岁之间,不限,不限,155-175厘米,浙江衢州,不限,不限,不限,衢州,未婚,高级会员,Kay,5000～10000元,牛,59公斤
41,29岁,保密,已购车（经济型）,天秤座,大专,汉族,178cm,与父母同住,136637084,23-27岁之间,不限,不限,158-175厘米,浙江衢州,未婚,不限,有照片,衢州,未婚,普通会员,"嗨,是你吗?",2000～5000元,龙,63公斤
42,38岁,B型,已购车（经济型）,射手座,高中中专及以下,汉族,175cm,--,151978591,28-39岁之间,不限,不限,155-170厘米,浙江,不限,不限,不限,衢州,"离异,无小孩",普通会员,圈,5000～10000元,马,70公斤
43,38岁,O型,已购车（经济型）,水瓶座,本科,汉族,176cm,已购房（无贷款）,151141789,30-38岁之间,不限,不限,155-170厘米,浙江衢州,不限,不限,不限,衢州,"离异,无小孩",普通会员,爱的港湾,5000～10000元,羊,--
44,51岁,AB型,已购车（经济型）,魔羯座,本科,汉族,165cm,已购房（有贷款）,132176766,40-50岁之间,大专,不限,155-166厘米,"浙江杭州,浙江金华,浙江衢州",不限,星级会员,有照片,衢州,"离异,有小孩归自己",普通会员,熟苹果,5000～10000元,蛇,72公斤
