,id
0,169643562
1,135200536
2,126340791
3,135125013
4,139618020
5,156851819
6,149310043
7,169492044
8,164179206
9,132537469
10,120244055
11,158917517
12,118872470
13,163995824
14,118116088
15,166701357
16,117680144
17,145086094
18,169643825
19,168953379
20,115854614
21,158772083
22,163377097
23,162308613
24,65418930?
25,66004353?
26,113573301
27,105495383
28,81709432?
29,88656292?
30,110911910
31,75503917?
32,113518297
33,90952890?
34,64419895?
35,96900474?
36,66045779?
37,87491967?
38,70918175?
39,91085318?
40,79505522?
41,109852236
42,76675358?
43,72744371?
44,101805046
45,112186271
46,102602956
47,68280429?
48,47495601?
49,24013299?
50,23581208?
51,29376102?
52,48943321?
53,58571044?
54,27681382?
55,40401022?
56,28827300?
57,55709186?
58,43882276?
59,47696387?
60,25371646?
61,63163498?
62,44009008?
63,61698469?
64,34203311?
65,38056659?
66,46806084?
67,52955204?
68,27029686?
69,37059589?
70,27947733?
71,40210629?
72,18951056?
73,152310703
74,153706433
75,165889211
76,163734253
77,158676251
78,20469541?
79,169599535
80,158607370
81,161370629
82,162215727
83,169461692
84,158277493
85,18893273?
86,23453514?
87,161143544
88,12825318?
89,16974965?
90,153794134
91,152125965
92,168087857
93,151882841
94,163253564
95,22446199?
96,88230231?
97,148992251
98,150768988
99,146616353
100,83543563?
101,76044663?
102,87170701?
103,85348799?
104,126341647
105,69731497?
106,103536868
107,116005552
108,133435127
109,136415584
110,127169302
111,90486303?
112,71644824?
113,139637069
114,70097177?
115,143175979
116,98918675?
117,95414889?
118,65246364?
119,131015655
120,48217357?
121,28604536?
122,61435892?
123,21037935?
124,43607674?
125,30315777?
126,29207515?
127,47569896?
128,53613372?
129,42013598?
130,27070946?
131,47857396?
132,32510883?
133,29273432?
134,29399732?
135,41252816?
136,33490404?
137,26090883?
138,45581607?
139,41993244?
140,39720060?
141,29169804?
142,53965090?
143,33984720?
144,134320884
145,138513277
146,97674446?
147,82140806?
148,160890882
149,118695863
150,15597739?
151,104056690
152,18086297?
153,20811683?
154,91789890?
155,96109608?
156,14162033?
157,139196676
158,110694624
159,168884419
160,167173339
161,164971435
162,144021973
163,160684266
164,167794806
165,155164281
166,146866718
167,20665598?
168,22472581?
169,34740857?
170,71583021?
171,169395069
172,25451991?
173,77390752?
174,21616584?
175,69296752?
176,18317757?
177,48290432?
178,45109819?
179,24688115?
180,34560682?
181,67029833?
182,169394947
183,49511947?
184,169395045
185,47126709?
186,27688267?
187,79737098?
188,2666783?f
189,169394865
190,31649199?
191,169395091
192,144866873
193,163570678
194,133631096
195,169394688
196,100417177
197,49445290?
198,169394584
199,44701171?
200,168494721
201,62672044?
202,153405262
203,167220755
204,91842185?
205,42831271?
206,164975339
207,138516793
208,49017833?
209,169394722
210,163255317
211,38637008?
212,82162467?
213,50112363?
214,111283035
215,154900980
216,37993209?
217,152562031
218,98840867?
219,119103140
220,62940335?
221,41955406?
222,125745348
223,43040419?
224,26682741?
225,119323305
226,48763342?
227,37153261?
228,32845189?
229,27457826?
230,37317507?
231,115899770
232,139340186
233,43654471?
234,157060178
235,49235501?
236,71351862?
237,23320895?
238,13712784?
239,39527283?
240,162747325
241,83842264?
242,159848392
243,19683386?
244,112397195
245,160236273
246,164143976
247,22125319?
248,3539078?f
