url,actors,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/1461147/,"[""冯宝宝"", ""刘青云"", ""叶玉卿""]",372,"[""姜大伟""]","[""剧情"", ""惊悚"", ""恐怖""]",7.5,不一样的妈妈 不一樣的媽媽,(1995),{}
https://movie.douban.com/subject/2356939/,"[""尔冬升"", ""白彪"", ""李殿朗""]",241,"[""李百龄""]","[""动作""]",6.1,至尊一剑 至尊一劍,(1984),{}
https://movie.douban.com/subject/1293996/,"[""玛琳·黛德丽"", ""克里夫·布洛克"", ""黄柳霜"", ""华纳·欧兰德""]",712,"[""约瑟夫·冯·斯登堡""]","[""剧情"", ""爱情"", ""冒险""]",7.0,上海快车 Shanghai Express,(1932),{}
https://movie.douban.com/subject/1856799/,"[""Orgil Makhaan"", ""Unubold Batbayar"", ""Unurjargal Jigjidsuren""]",400,"[""Edward Bazalgette""]","[""传记"", ""历史""]",6.3,成吉思汗 BBC Genghis Khan,(2005),{}
https://movie.douban.com/subject/1298785/,"[""洪金宝"", ""于莉"", ""张耀扬"", ""袁洁莹"", ""黄光亮"", ""霍瑞华"", ""成奎安"", ""何家驹""]",611,"[""柯星沛""]","[""喜剧"", ""动作"", ""恐怖"", ""奇幻""]",6.3,猛鬼入侵黑社会,(1991),{}
https://movie.douban.com/subject/1305770/,"[""邱淑贞"", ""郑伊健"", ""王敏德"", ""李蕙敏"", ""江华"", ""陈辉虹"", ""黎应就""]",1605,"[""叶伟民""]","[""喜剧""]",6.0,不道德的礼物,(1995),{}
https://movie.douban.com/subject/26434823/,"[""王菀之"", ""周柏豪"", ""陈嘉宝"", ""庄思敏"", ""连诗雅"", ""李静仪"", ""林盛斌"", ""郑敬基"", ""郑欣宜"", ""蒋志光""]",2173,"[""黄柏基""]","[""喜剧""]",4.3,没女神探 沒女神探,(2015),{}
https://movie.douban.com/subject/1441176/,"[""王祖贤"", ""高捷"", ""黄耀明"", ""单立文""]",3388,"[""邱刚健""]","[""剧情"", ""悬疑"", ""惊悚""]",7.2,阿婴 阿嬰,(1990),{}
https://movie.douban.com/subject/25934051/,"[""刘心悠"", ""周柏豪"", ""庄思敏"", ""姜皓文"", ""何佩瑜"", ""许雅婷"", ""马志威"", ""麦子乐"", ""林盛斌"", ""倪晨曦""]",4636,"[""黄柏基""]","[""喜剧"", ""爱情""]",5.9,爱情攻略 小姐誘心,(2014),{}
https://movie.douban.com/subject/1301213/,"[""傅声"", ""郑少秋"", ""惠英红"", ""刘家辉""]",438,"[""刘家良""]","[""喜剧"", ""动作""]",6.9,御猫三戏锦毛鼠 御貓三戲錦毛鼠,(1982),{}
https://movie.douban.com/subject/1307487/,"[""许冠文"", ""许冠英"", ""梅艳芳"", ""胡慧中"", ""乔宏""]",1068,"[""陈欣健""]","[""喜剧"", ""犯罪""]",6.6,神探朱古力,(1986),{}
https://movie.douban.com/subject/1308735/,"[""刘家良"", ""惠英红"", ""王龙威"", ""麦德罗""]",472,"[""刘家良""]","[""喜剧"", ""动作""]",7.4,长辈 長輩,(1981),{}
https://movie.douban.com/subject/1298648/,"[""刘德华"", ""莫少聪"", ""罗美薇"", ""王钟""]",823,"[""潘文杰""]","[""动作""]",6.8,人海孤鸿,(1989),{}
https://movie.douban.com/subject/25831828/,"[""陈湘琪"", ""东明相"", ""温贞菱"", ""黄采仪"", ""游安顺"", ""白明华""]",881,"[""钱翔""]","[""剧情""]",6.8,回光奏鸣曲 迴光奏鳴曲,(2014),{}
https://movie.douban.com/subject/1305536/,"[""尔冬升"", ""余安安"", ""凌云"", ""樊梅生"", ""谷峰"", ""陈萍"", ""狄龙"", ""姜大卫"", ""顾冠忠""]",2443,"[""楚原""]","[""剧情"", ""动作"", ""武侠"", ""古装""]",7.1,三少爷的剑 三少爺的劍,(1977),{}
https://movie.douban.com/subject/1800766/,"[""乐蒂"", ""陈厚"", ""胡金铨"", ""高宝树""]",393,"[""胡金铨""]","[""家庭"", ""历史"", ""战争""]",6.7,大地儿女 大地兒女,(1965),{}
https://movie.douban.com/subject/25724870/,"[""陈豪"", ""蒙亭宜"", ""林子聪"", ""邵仲衡"", ""张雪芹"", ""邵音音"", ""张纹嘉"", ""杨梓铎"", ""颜培珊"", ""张颍君"", ""郑丽莎"", ""何英毅"", ""黄子良"", ""黄晖翔""]",1275,"[""黄浩然""]","[""剧情""]",6.8,点对点 點對點,(2014),{}
https://movie.douban.com/subject/21870792/,"[""许玮甯"", ""莫子仪"", ""白梓轩"", ""邱彦翔"", ""黄璐""]",126,"[""陈宏一""]","[""剧情"", ""喜剧"", ""爱情""]",6.4,相爱的七种设计 相愛的七種設計,(2014),{}
https://movie.douban.com/subject/25870236/,"[""杨千嬅"", ""古天乐"", ""吴耀汉"", ""吴浣仪"", ""姜皓文"", ""刘玉翠"", ""狄哲龙"", ""冯淬帆"", ""马浴柯"", ""火火"", ""黄文慧"", ""王诗雅"", ""何涴潆"", ""傅舜盈"", ""陈丽儿"", ""李咏珊""]",23892,"[""关信辉""]","[""剧情""]",7.8,可爱的你 五個小孩的校長,(2015),{}
https://movie.douban.com/subject/25767590/,"[""孙坚"", ""毛晓彤"", ""范逸臣"", ""杨洋"", ""魏大勋"", ""苑琼丹"", ""张阳阳"", ""付梦妮""]",1356,"[""鸿水""]","[""喜剧"", ""爱情""]",4.1,我是奋青,(2015),{}
https://movie.douban.com/subject/26715610/,"[""李斌"", ""李泽睿"", ""王丙冠"", ""何琛琛"", ""徐宇辉""]",,"[""孙煜杉""]","[""剧情"", ""爱情"", ""奇幻""]",,坏女人必须死,(2016),{}
https://movie.douban.com/subject/26653168/,"[""周柏豪"", ""连诗雅"", ""罗兰"", ""卢海鹏"", ""艾威"", ""温家伟"", ""泰臣"", ""冉冉"", ""叶良财""]",455,"[""叶天行""]","[""惊悚"", ""恐怖""]",3.0,吉祥酒店,(2015),{}
https://movie.douban.com/subject/26725050/,[],,[],[],,笑傲家族闹新春,(2016),{}
https://movie.douban.com/subject/26422345/,"[""柯达"", ""刘循子墨"", ""孔连顺"", ""张本煜"", ""王玲玉""]",2063,"[""马诗歌""]","[""喜剧""]",5.6,大侠黄飞鸿,(2015),{}
https://movie.douban.com/subject/26341742/,"[""曾志伟"", ""曾宝仪"", ""王太利"", ""肖央"", ""杨千嬅"", ""丁子高"", ""韩庚"", ""吴昕"", ""冯喆"", ""朱珠"", ""邓紫棋"", ""张芸京"", ""金钟国"", ""李光洙""]",3106,"[""朱玲""]","[""冒险"", ""真人秀""]",6.5,极速前进 第二季,(2015),{}
https://movie.douban.com/subject/26724844/,[],,[],"[""歌舞"", ""家庭""]",,2016年东方卫视春节联欢晚会,(2016),{}
