url,daymoney,days,industry,jobdescribe,lasting,location,title,...
http://www.shixiseng.com/intern/inn_bmeyx5ygk503,60-80/天 丨,"6天/周

丨","其他,农林",上班地址：湛江市开发区永平南路6号 岗位职责： 1. 流程讨论与整理：参与现有各业务单位未来作业流程与整理 2. 流程执行跟踪：配合关键用户完成确定的数据收集任务、文档处理任务，对作业执行任务结果进行跟踪汇报； 3. 问题收集与建议： 收集业务单位在验证未来流程中的工作难点和未来建议，形成未来系统要求说明； 4. 基础资料整理：根据未来流程所需数据要求，配合关键用户完成基础资料和业务数据收集整理； 5. 系统实施： 参加公司 ERP系统实施项目，配合关键用户完成系统的单元测试、集成测试、数据准备、操作手册制订、终端用户培训工作。 基本要求： 1. 性别：不限，年龄： 25-35岁；有无工作经验均可； 2. 学历及专业：计算机、信息管理等相关专业专科及以上学历优先； 3. 身体健康，无职业病，无传染病，有管理者气质； 4. 积极主动，具有稳定性，能长期在我司工作，能接受加班与出差。 技能要求： 1. 熟练使用 OFFICE软件，包括EXCEL、WORD、Powerpoint等； 2. 有一定的管理经验或统计、分析经验； 3. 具备良好的执行力，能按时按质按量完成交付的工作，乐于接受新思想新思维。 4. 英语四级及以上者优先,实习3个月,湛江 丨,信息化储备专员（实习生）,{}
http://www.shixiseng.com/intern/inn_3qsejohbzb02,100-200/天 丨,"1天/周

丨",计算机/互联网,数据采集实习生 岗位职责： 1、根据项目要求采集数据，并进行初步整理分析； 2、理解工作流程和要求，熟练掌握相关录入规则； 3、配合完成项目负责人交付的其他任务。 岗位要求： 1、有较强的信息汇总分析能力和书面表达能力； 2、对工作充满热情，有足够的抗压能力； 3、具有良好适应能力和团队协作精神； 4、做事细致认真，有较强的责任感； 5、基本的计算机操作技能，熟悉office办公软件的运用； 6、可远程工作，每周至少保证3天工作量。,实习9个月,北京 丨,数据采集实习生,{}
http://www.shixiseng.com/intern/inn_tbuhigjx7kz4,200-225/天 丨,"4天/周

丨",互联网,岗位描述 1、投入OpenStack前沿研究，跟进技术发展方向 2、参与社区贡献，修复漏洞，解决运行中问题 3、提高私有云性能，测试调优 4、其他研究方向包括但不限于容器及相关调度技术，以及同OpenStack集成的方案探索等 岗位要求 1、在校学生，能保证一年左右的实习时间 2、有Linux基础，自主学习能力强，在校有参与开源项目者优先 3、具备一定的英语书写和阅读能力 4、良好的团队合作能力和责任心 ​,实习13个月,北京 丨,云计算实习生,{}
http://www.shixiseng.com/intern/inn_dku8yuzssnas,138-150/天 丨,"4天/周

丨",互联网金融,岗位职责： 1. 对多金融市场重要品种的数据整理，数据挖掘和量化分析 2. 负责投资组合的建模、效果跟踪及优化 3. 提出并初步实现策略的编写，回测，调试，优化 岗位要求： 1. 金融工程、统计、数学或计算机及相关专业研究生 2. 熟悉常用投资组合模型、统计套利模型和量化策略，有量化投资工作经验优先。 3. 熟悉各类数据分析工具，能独立构建分析模型。 4. 熟悉常用机器学习算法。 5. 熟悉 Python 或 R 语言；熟练使用 SQL 。 6. 每周至少实习 4-5 天，保证 3-6 个月,实习6个月,北京 丨,金融工程实习生 -- 量化分析方向,{}
http://www.shixiseng.com/intern/inn_rntubclcotbg,80-150/天 丨,"5天/周

丨","金融,计算机/互联网",岗位职责： 协助数喆数据（ADAS）调研部主管完成各项调研任务规划/调研队伍管理/前期考察/数据清理， 按要求完成后可提供实习证明， 对优秀实习生可通过二次面试转为学生管培生或全职员工。 任职要求：实习期间工资80一天，出差有出差补助、交通补助、住宿报销。,实习3个月,石家庄 丨,数据调研部实习生,{}
http://www.shixiseng.com/intern/inn_zayfizlf8oq5,300-350/天 丨,"4天/周

丨",移动互联网,"1.目标是从互联网海量信息中抓取并筛选出有价值的内容，并转换为适合移动端展示的格式以推荐给用户，涉及到的环节包括爬虫，抽取，去重，质量识别等； 2.主要工作集中在爬虫和抽取环节； 3.由于需要覆盖大量长尾数据，对内容的精确抽取涉及到非常多的挑战； 4.帮助头条覆盖更多的内容，并将内容以更加精准的形式展现给用户。 职位要求： 1.对技术有热情, 既有高远目标，也能脚踏实地； 2.有扎实的数据结构和算法功底, 强悍的编码能力； 3.熟悉linux开发环境，熟悉C++和python语言的优先； 4.理解http，熟悉html,DOM,xpath优先。",实习5个月,北京 丨,数据抓取实习生,{}
http://www.shixiseng.com/intern/inn_6uzhpficctcw,240-250/天 丨,"4天/周

丨",计算机/互联网,未来的数据科学家们，你们在为缺乏数据，缺乏高质量得数据，缺乏足够量的数据等问题苦恼吗？在为寻求分析问题，寻求商业分析问题，寻求高价值商业分析问题而头痛吗？还在为缺乏实验环境，缺乏行业经验、缺乏数据科学家大咖指导的问题踌躇不前吗？来IBM吧，在这里这些问题都不是事。在这里只要你足够专注、勤奋、追求卓越，你一定会能快速的成长为数据科学家，进而成长为职场精英！ 工作职责： 1. 理解商业需求，将统计分析、机器学习，人工智能与数据挖掘的知识应用到复杂商业数据问题的解决中； 2. 在实际项目中对海量行业数据进行加工、处理及分析； 3. 利用统计分析、机器学习，人工智能与数据挖掘的知识，构建商业问题相关模型，设计模型求解算法完成模型求解，实现数据洞察和商业价值； 4. 建立和完善大数据认知分析体系，跟踪模型的实施效果，持续优化算法和分析策略。 技能要求： 1. 拥有统计分析、数据挖掘、机器学习、自然语言处理、以及人工智能等相关背景，博士学历； 2. 拥有统计分析、数据挖掘、机器学习、自然语言处理、以及人工智能学术研究经验或工程实施经验，熟悉常用数据挖掘算法（如分类、聚类、回归、关联规则、神经网络、推荐系统等）及其原理； 3. 熟练掌握至少一种统计建模、机器学习与数据挖掘编程语言，如R、Python、SPSS、Scala、Go等； 4. 良好的沟通能力、学习能力和团队协作能力； 5. 熟悉Java编程，有Java工程项目开发经验者优先； 6. 勤奋踏实、工作积极主动、有责任心，能够在压力下工作。,实习5个月,"南京,北京,上海,深圳 丨",数据科学家实习生,{}
http://www.shixiseng.com/intern/inn_ak692n1q72la,80-98/天 丨,"5天/周

丨",会务展览,"岗位描述： 1. 配合展会项目完成前期专业观众数据整理、数据分析、观众邀请、数据更新、预登记服务等； 2. 配合展会项目完成后期数据录入、观众回访、数据统计及分析 . 岗位要求： 1. 普通话标准，阳光自信，会展、市场营销、电子商务、策划等相关专业优先，公司提供实习证明； 2. 具有良好的执行能力、表达能力和团队协作能力，思维活跃，能吃苦耐劳； 3. 工作仔细认真，善于思考，积极进取，具有优秀的沟通技巧和人际交往能力； 4. 应届毕业生及大三、大四学生均可 , 对表现优秀者实习期满可提升为正式员工。 薪酬福利： 1、 固定工资 1500 元 / 月 + 绩效工资 + 全勤奖 200 元 2、 双休及法定节假日 3、 工作时间： 9 ： 00 —— 12 ： 00 13 ： 30 —— 17 ： 30 4、 每周部门小活动 5、 专业技能培训及就业指导 * 联系方式 公司地址：武汉市武昌区楚河汉街总部国际大厦 E 座 27 楼 联系部门：市场营销部数据中心",实习3个月,武汉 丨,数据中心实习生,{}
http://www.shixiseng.com/intern/inn_pi4knorcynfz,200-260/天 丨,"4天/周

丨","互联网,电子商务","工作职责：
对公司核心业务问题进行抽象挖掘和建模，并持续优化 任职资格： 1、计算机或者数学等相关专业，在机器学习，数据挖掘，统计学理论，最优化理论等领域有一定积累，985、211学校优先,至少能实习3个月，每周不少于4天 ； 2、熟悉机器学习和数据挖掘领域前沿技术，在国际顶级会议和期刊以第一作者发表过高水平论文者优先 ； 3、有机器学习、数据挖掘等相关项目实际经验者，或者知名数据挖掘比赛（例如KDD Cup等）中取得领先名次者优先； 4、编程基础扎实，熟悉算法数据结构，有Scala 或Python开发经验优先； 5、有大数据相关系统，拥有map-reduce、spark、实时计算等经验优先； 6、踏实勤奋，自我驱动，善于沟通。",实习6个月,北京 丨,数据挖掘实习生(J14437),{}
http://www.shixiseng.com/intern/inn_egztjgumlj9s,120-160/天 丨,"3天/周

丨",生物/医疗,Job Description 公司名称：强生 - 西安杨森 招聘部门：客户发展商务部 工作地点：北京市朝阳区华贸中心写字楼 3 座 18 层 工作时间：每周 3 天及以上， 6 个月左右 期望到岗时间：尽快 工作内容： 1. 协助市场部进行日常数据的统计和分析，实时反馈全国各地产品的销售表现和增长趋势； 2. 文档协议管理，出具活动通知、并盖章、存档、邮寄； 3. 协助市场部行政、会务等工作。 岗位要求： 1. 保证一个星期至少能工作 3 天，能保证 6 个月的实习期间（时间不合适慎投 ~ ） 2. 办公软件使用娴熟，尤其是 Excel 技能要好，对 IT 系统操作上手比较快 - 认真负责，细心且关注细节，良好的沟通能力 4. 良好的逻辑分析能力，能够快速学习，善于归纳总结 职位诱惑： 1. 世界五百强外企实习经验 3. 部门的人都很 nice 4. 高大上的办公环境,实习6个月,北京 丨,强生-西安杨森-客户发展商务部实习生（数据分析方向）,{}
